Pass_ID,EH_ID,Mouse_strain,infection_isolate,Eimeria_species,HI_original_host,infection_concentration,infection_volume,infection_date,feces_collection_time,feces_weight(g),cage_number,number_of_mice,mean_oocyst_bigsquare_neubauer,vol_counting_mL,oocyst_per_mL,oocyst_in_tube,OPG,dpi,full_dpi,weight
Pass_001,NA,NMRI,E64,E.ferrisi,0.08,150oocysts_per_mouse,10microL,15/11/2017,11h00,NA,1,2,0,1,0,0,NA,2,dpi1_2,NA
Pass_001,NA,NMRI,E64,E.ferrisi,0.08,150oocysts_per_mouse,10microL,15/11/2017,11h00,NA,2,2,0,1,0,0,NA,2,dpi1_2,NA
Pass_001,NA,NMRI,E88,E.falciformis,0.2,150oocysts_per_mouse,10microL,15/11/2017,11h00,NA,1,2,0,1,0,0,NA,2,dpi1_2,NA
Pass_001,NA,NMRI,E88,E.falciformis,0.2,150oocysts_per_mouse,10microL,15/11/2017,11h00,NA,2,2,0,1,0,0,NA,2,dpi1_2,NA
Pass_001,NA,NMRI,Eflab,E.falciformis,NMRI,150oocysts_per_mouse,10microL,15/11/2017,11h00,NA,1,2,0,1,0,0,NA,2,dpi1_2,NA
Pass_001,NA,NMRI,Eflab,E.falciformis,NMRI,150oocysts_per_mouse,10microL,15/11/2017,11h00,NA,2,2,0,1,0,0,NA,2,dpi1_2,NA
Pass_001,NA,NMRI,E139,E.ferrisi,0.85,150oocysts_per_mouse,10microL,15/11/2017,11h00,NA,1,2,0,1,0,0,NA,2,dpi1_2,NA
Pass_001,NA,NMRI,E139,E.ferrisi,0.85,150oocysts_per_mouse,10microL,15/11/2017,11h00,NA,2,2,0,1,0,0,NA,2,dpi1_2,NA
Pass_001,NA,NMRI,E64,E.ferrisi,0.08,150oocysts_per_mouse,10microL,15/11/2017,9h00,1.38,1,2,0,1,0,0,0,3,dpi3,NA
Pass_001,NA,NMRI,E64,E.ferrisi,0.08,150oocysts_per_mouse,10microL,15/11/2017,9h00,1.193,2,2,0,1,0,0,0,3,dpi3,NA
Pass_001,NA,NMRI,E88,E.falciformis,0.2,150oocysts_per_mouse,10microL,15/11/2017,9h00,1.012,1,2,0,1,0,0,0,3,dpi3,NA
Pass_001,NA,NMRI,E88,E.falciformis,0.2,150oocysts_per_mouse,10microL,15/11/2017,9h00,1.66,2,2,0,1,0,0,0,3,dpi3,NA
Pass_001,NA,NMRI,Eflab,E.falciformis,NMRI,150oocysts_per_mouse,10microL,15/11/2017,9h00,2.355,1,2,0,1,0,0,0,3,dpi3,NA
Pass_001,NA,NMRI,Eflab,E.falciformis,NMRI,150oocysts_per_mouse,10microL,15/11/2017,9h00,1.528,2,2,0,1,0,0,0,3,dpi3,NA
Pass_001,NA,NMRI,E139,E.ferrisi,0.85,150oocysts_per_mouse,10microL,15/11/2017,9h00,1.107,1,2,0,1,0,0,0,3,dpi3,NA
Pass_001,NA,NMRI,E139,E.ferrisi,0.85,150oocysts_per_mouse,10microL,15/11/2017,9h00,1.945,2,2,0,1,0,0,0,3,dpi3,NA
Pass_001,NA,NMRI,E64,E.ferrisi,0.08,150oocysts_per_mouse,10microL,15/11/2017,19h,1.416,1,2,0,1,0,0,0,4,dpi4,NA
Pass_001,NA,NMRI,E64,E.ferrisi,0.08,150oocysts_per_mouse,10microL,15/11/2017,19h,1.391,2,2,0,1,0,0,0,4,dpi4,NA
Pass_001,NA,NMRI,E88,E.falciformis,0.2,150oocysts_per_mouse,10microL,15/11/2017,19h,2.307,1,2,0,1,0,0,0,4,dpi4,NA
Pass_001,NA,NMRI,E88,E.falciformis,0.2,150oocysts_per_mouse,10microL,15/11/2017,19h,2.517,2,2,0,1,0,0,0,4,dpi4,NA
Pass_001,NA,NMRI,Eflab,E.falciformis,NMRI,150oocysts_per_mouse,10microL,15/11/2017,19h,1.933,1,2,0,1,0,0,0,4,dpi4,NA
Pass_001,NA,NMRI,Eflab,E.falciformis,NMRI,150oocysts_per_mouse,10microL,15/11/2017,19h,1.344,2,2,0,1,0,0,0,4,dpi4,NA
Pass_001,NA,NMRI,E139,E.ferrisi,0.85,150oocysts_per_mouse,10microL,15/11/2017,19h,1.224,1,2,0,1,0,0,0,4,dpi4,NA
Pass_001,NA,NMRI,E139,E.ferrisi,0.85,150oocysts_per_mouse,10microL,15/11/2017,19h,2.301,2,2,0,1,0,0,0,4,dpi4,NA
Pass_001,NA,NMRI,E64,E.ferrisi,0.08,150oocysts_per_mouse,10microL,15/11/2017,9h00,1.244,1,2,0,1,0,0,0,7,dpi5_7,NA
Pass_001,NA,NMRI,E64,E.ferrisi,0.08,150oocysts_per_mouse,10microL,15/11/2017,9h00,1.339,2,2,0,1,0,0,0,7,dpi5_7,NA
