experiment,#,EH_ID,dpi,weight,weight_dpi0,feces_weight,primary_infection,relative_weight
P2,1,LM0320,0,37.99,37.99,NA,Eflab,100
P2,2,LM0321,0,40.02,40.02,NA,Eflab,100
P2,3,LM0322,0,40.6,40.6,NA,Eflab,100
P2,4,LM0323,0,39.33,39.33,NA,E88,100
P2,5,LM0324,0,37.9,37.9,NA,E88,100
P2,6,LM0325,0,47.63,47.63,NA,E64,100
P2,7,LM0326,0,34.17,34.17,NA,E64,100
P2,8,LM0327,0,36.6,36.6,NA,E139,100
P2,9,LM0328,0,39.8,39.8,NA,E139,100
P2,10,LM0329,0,40.71,40.71,NA,E64,100
P2,11,LM0330,0,39.99,39.99,NA,E88,100
P2,12,LM0331,0,43.08,43.08,NA,E139,100
P2,1,LM0320,1,37.53,37.99,NA,Eflab,98.7891550408002
P2,2,LM0321,1,38.95,40.02,NA,Eflab,97.3263368315842
P2,3,LM0322,1,39.79,40.6,NA,Eflab,98.0049261083744
P2,4,LM0323,1,37.74,39.33,NA,E88,95.9572845156369
P2,5,LM0324,1,37.25,37.9,NA,E88,98.2849604221636
P2,6,LM0325,1,44.98,47.63,NA,E64,94.4362796556792
P2,7,LM0326,1,33.49,34.17,NA,E64,98.0099502487562
P2,8,LM0327,1,35.2,36.6,NA,E139,96.1748633879781
P2,9,LM0328,1,38.21,39.8,NA,E139,96.0050251256282
P2,10,LM0329,1,39.59,40.71,NA,E64,97.2488332105134
P2,11,LM0330,1,39.51,39.99,NA,E88,98.7996999249812
P2,12,LM0331,1,41.86,43.08,NA,E139,97.1680594243268
P2,1,LM0320,2,37.55,37.99,NA,Eflab,98.8418004738089
P2,2,LM0321,2,39.37,40.02,NA,Eflab,98.375812093953
P2,3,LM0322,2,40.12,40.6,NA,Eflab,98.8177339901478
P2,4,LM0323,2,37.82,39.33,NA,E88,96.1606915840325
P2,5,LM0324,2,36.34,37.9,NA,E88,95.8839050131926
P2,6,LM0325,2,44.8,47.63,4.39,E64,94.0583665756876
P2,7,LM0326,2,33.6,34.17,4.61,E64,98.3318700614574
P2,8,LM0327,2,35.38,36.6,5.13,E139,96.6666666666667
P2,9,LM0328,2,38.3,39.8,5.12,E139,96.2311557788945
P2,10,LM0329,2,39.72,40.71,5.74,E64,97.5681650700074
P2,11,LM0330,2,39.73,39.99,NA,E88,99.3498374593648
P2,12,LM0331,2,42.58,43.08,6.34,E139,98.8393686165274
P2,1,LM0320,3,37.83,37.99,NA,Eflab,99.5788365359305
P2,2,LM0321,3,39.53,40.02,NA,Eflab,98.7756121939031
P2,3,LM0322,3,39.58,40.6,NA,Eflab,97.487684729064
P2,4,LM0323,3,38.07,39.33,NA,E88,96.7963386727689
P2,5,LM0324,3,37.39,37.9,NA,E88,98.6543535620053
P2,6,LM0325,3,44.82,47.63,NA,E64,94.1003569179089
P2,7,LM0326,3,33.36,34.17,NA,E64,97.6294995610184
P2,8,LM0327,3,35.71,36.6,NA,E139,97.568306010929
P2,9,LM0328,3,38.67,39.8,NA,E139,97.1608040201005
P2,10,LM0329,3,39.24,40.71,NA,E64,96.3890935887988
