,EH_ID,experiment,dpi,labels,weight,relative_weight,weight_dpi0,feces_weight,dpi_dissect,batch,infection_history,mouse_strain,birthday,sex,primary_infection,challenge_infection
1,LM0400,E11,1,E11aDOY,15.59,97.6817042606516,15.96,0.64,NA,a,E64:E64,SCHUNT,5.11.2020,F,E64,NA
2,LM0400,E11,6,E11aBHT,16.47,91.7037861915367,17.96,0.93,NA,a,E64:E64,SCHUNT,5.11.2020,F,E64,NA
3,LM0400,E11,11,E11aCLR,18.28,101.781737193764,17.96,2.2,NA,a,E64:E64,SCHUNT,5.11.2020,F,E64,NA
4,LM0400,E11,4,E11aCHT,17.66,98.3296213808463,17.96,0.89,NA,a,E64:E64,SCHUNT,5.11.2020,F,E64,NA
5,LM0400,E11,9,E11aBEQ,17.94,99.8886414253898,17.96,1.95,NA,a,E64:E64,SCHUNT,5.11.2020,F,E64,NA
6,LM0400,E11,10,E11aFPR,18.22,101.447661469933,17.96,2.58,NA,a,E64:E64,SCHUNT,5.11.2020,F,E64,NA
7,LM0400,E11,2,E11aESV,17.28,96.2138084632517,17.96,1.24,NA,a,E64:E64,SCHUNT,5.11.2020,F,E64,NA
8,LM0400,E11,7,E11aBLU,16.8,93.5412026726058,17.96,1.23,NA,a,E64:E64,SCHUNT,5.11.2020,F,E64,NA
9,LM0400,E11,5,E11aKMQ,16.51,91.9265033407572,17.96,0.59,NA,a,E64:E64,SCHUNT,5.11.2020,F,E64,NA
10,LM0400,E11,3,E11aHLX,18.12,100.890868596882,17.96,0.83,NA,a,E64:E64,SCHUNT,5.11.2020,F,E64,NA
11,LM0400,E11,8,E11aCFM,18.04,100.445434298441,17.96,1.45,NA,a,E64:E64,SCHUNT,5.11.2020,F,E64,NA
12,LM0401,E11,10,E11aJTU,19.81,97.9723046488625,20.22,0.88,NA,a,UNI:UNI,SCHUNT,28.10.2020,F,UNI,NA
13,LM0401,E11,5,E11aCDP,20.51,101.434223541048,20.22,1.01,NA,a,UNI:UNI,SCHUNT,28.10.2020,F,UNI,NA
14,LM0401,E11,1,E11aNST,20.12,99.5054401582592,20.22,0.46,NA,a,UNI:UNI,SCHUNT,28.10.2020,F,UNI,NA
15,LM0401,E11,6,E11aINX,20.77,102.720079129575,20.22,0.99,NA,a,UNI:UNI,SCHUNT,28.10.2020,F,UNI,NA
16,LM0401,E11,11,E11aPUY,19.41,95.9940652818991,20.22,1.74,NA,a,UNI:UNI,SCHUNT,28.10.2020,F,UNI,NA
17,LM0401,E11,4,E11aATV,20.12,99.5054401582592,20.22,0.9,NA,a,UNI:UNI,SCHUNT,28.10.2020,F,UNI,NA
18,LM0401,E11,9,E11aDGL,19.8,97.9228486646884,20.22,1.38,NA,a,UNI:UNI,SCHUNT,28.10.2020,F,UNI,NA
19,LM0401,E11,2,E11aJNW,20.43,101.038575667656,20.22,0.79,NA,a,UNI:UNI,SCHUNT,28.10.2020,F,UNI,NA
20,LM0401,E11,7,E11aAHT,20.35,100.642927794263,20.22,1.07,NA,a,UNI:UNI,SCHUNT,28.10.2020,F,UNI,NA
21,LM0401,E11,8,E11aORY,19.53,96.5875370919881,20.22,0.97,NA,a,UNI:UNI,SCHUNT,28.10.2020,F,UNI,NA
22,LM0401,E11,3,E11aPRV,20.18,99.8021760633037,20.22,1.08,NA,a,UNI:UNI,SCHUNT,28.10.2020,F,UNI,NA
23,LM0402,E11,4,E11aHOV,18.33,93.9036885245902,19.52,0.74,NA,a,UNI:E64,SCHUNT,1.10.2020,F,UNI,NA
24,LM0402,E11,9,E11aCLS,19.1,97.8483606557377,19.52,1.13,NA,a,UNI:E64,SCHUNT,1.10.2020,F,UNI,NA
25,LM0402,E11,7,E11aDNW,18.36,94.0573770491803,19.52,0.96,NA,a,UNI:E64,SCHUNT,1.10.2020,F,UNI,NA
26,LM0402,E11,5,E11aFIQ,18.46,94.5696721311476,19.52,1.13,NA,a,UNI:E64,SCHUNT,1.10.2020,F,UNI,NA
27,LM0402,E11,10,E11aBRY,18.46,94.5696721311476,19.52,0.73,NA,a,UNI:E64,SCHUNT,1.10.2020,F,UNI,NA
28,LM0402,E11,2,E11aNOY,18.62,95.3893442622951,19.52,0.8,NA,a,UNI:E64,SCHUNT,1.10.2020,F,UNI,NA
29,LM0402,E11,3,E11aDJX,17.95,91.9569672131147,19.52,1.26,NA,a,UNI:E64,SCHUNT,1.10.2020,F,UNI,NA
30,LM0402,E11,8,E11aAHX,18.6,95.2868852459017,19.52,0.7,NA,a,UNI:E64,SCHUNT,1.10.2020,F,UNI,NA
31,LM0402,E11,1,E11aCMO,17.7,90.6762295081967,19.52,0.68,NA,a,UNI:E64,SCHUNT,1.10.2020,F,UNI,NA
32,LM0402,E11,6,E11aBCL,18.38,94.1598360655738,19.52,0.62,NA,a,UNI:E64,SCHUNT,1.10.2020,F,UNI,NA
33,LM0402,E11,11,E11aCEP,18.44,94.4672131147541,19.52,0.6,NA,a,UNI:E64,SCHUNT,1.10.2020,F,UNI,NA
34,LM0403,E11,1,E11aCFU,15.48,102.380952380952,15.12,0.63,NA,a,E88:E88,PWD,23.10.2020,M,E88,NA
35,LM0403,E11,6,E11aDMZ,14.02,92.7248677248677,15.12,0.87,NA,a,E88:E88,PWD,23.10.2020,M,E88,NA
36,LM0403,E11,11,E11aDJP,NA,NA,15.12,NA,NA,a,E88:E88,PWD,23.10.2020,M,E88,NA
37,LM0403,E11,4,E11aCET,14.57,96.3624338624339,15.12,1.45,NA,a,E88:E88,PWD,23.10.2020,M,E88,NA
38,LM0403,E11,9,E11aQRT,12.5,82.6719576719577,15.12,0.13,NA,a,E88:E88,PWD,23.10.2020,M,E88,NA
39,LM0403,E11,10,E11aGXZ,NA,NA,15.12,NA,NA,a,E88:E88,PWD,23.10.2020,M,E88,NA
40,LM0403,E11,2,E11aMTW,14.75,97.5529100529101,15.12,1.15,NA,a,E88:E88,PWD,23.10.2020,M,E88,NA
41,LM0403,E11,7,E11aEMX,14.05,92.9232804232804,15.12,1.29,NA,a,E88:E88,PWD,23.10.2020,M,E88,NA
42,LM0403,E11,5,E11aDIM,14.43,95.4365079365079,15.12,0.94,NA,a,E88:E88,PWD,23.10.2020,M,E88,NA
43,LM0403,E11,3,E11aLOS,14.76,97.6190476190476,15.12,1.02,NA,a,E88:E88,PWD,23.10.2020,M,E88,NA
44,LM0403,E11,8,E11aSVZ,12.5,82.6719576719577,15.12,0.23,NA,a,E88:E88,PWD,23.10.2020,M,E88,NA
45,LM0404,E11,9,E11aLRU,15.79,95.8131067961165,16.48,1.22,NA,a,E64:E64,PWD,23.10.2020,M,E64,NA
46,LM0404,E11,10,E11aOTV,15.37,93.2645631067961,16.48,1.78,NA,a,E64:E64,PWD,23.10.2020,M,E64,NA
47,LM0404,E11,8,E11aASW,15.75,95.5703883495146,16.48,1.38,NA,a,E64:E64,PWD,23.10.2020,M,E64,NA
48,LM0404,E11,1,E11aCFJ,15.64,94.9029126213592,16.48,0.43,NA,a,E64:E64,PWD,23.10.2020,M,E64,NA
49,LM0404,E11,6,E11aRWZ,15.27,92.6577669902913,16.48,1.06,NA,a,E64:E64,PWD,23.10.2020,M,E64,NA
50,LM0404,E11,11,E11aIMO,15.5,94.0533980582524,16.48,1.98,NA,a,E64:E64,PWD,23.10.2020,M,E64,NA
51,LM0404,E11,4,E11aDEN,15.45,93.75,16.48,1.22,NA,a,E64:E64,PWD,23.10.2020,M,E64,NA
