"","EH_ID","dpi","Position","CD4","Treg","Div_Treg","Treg17","Th1","Div_Th1","Th17","Div_Th17","CD8","Act_CD8","Div_Act_CD8","IFNy_CD4","IFNy_CD8","batch","labels","experiment","weight","weight_dpi0","relative_weight","feces_weight","infection"
"1","LM0400",8,"Spleen",27.2,5.9,19.3,4.27,4.4,21.7,0.92,19.2,6.86,12.5,20.3,5.36,38.1,"b","E11bIJQ","E11",18.36,18.05,101.717451523546,NA,"challenge"
"2","LM0400",8,"Spleen",27.2,5.9,19.3,4.27,4.4,21.7,0.92,19.2,6.86,12.5,20.3,5.36,38.1,"b","E11aCFM","E11",18.04,17.96,100.445434298441,1.45,"primary"
"3","LM0400",8,"mLN",55.9,6.21,26.4,17.5,5.01,44.1,1.47,29.7,14.4,14.4,29.1,2.87,23.5,"b","E11bIJQ","E11",18.36,18.05,101.717451523546,NA,"challenge"
"4","LM0400",8,"mLN",55.9,6.21,26.4,17.5,5.01,44.1,1.47,29.7,14.4,14.4,29.1,2.87,23.5,"b","E11aCFM","E11",18.04,17.96,100.445434298441,1.45,"primary"
"5","LM0401",8,"Spleen",36,5.16,22.1,4.98,4.95,22.5,1.08,17.6,8.61,10.7,13,3.67,17.6,"b","E11bAHY","E11",18.28,18.68,97.8586723768737,NA,"challenge"
"6","LM0401",8,"Spleen",36,5.16,22.1,4.98,4.95,22.5,1.08,17.6,8.61,10.7,13,3.67,17.6,"b","E11aORY","E11",19.53,20.22,96.5875370919881,0.97,"primary"
"7","LM0401",8,"mLN",61.4,4.1,21.4,15.5,1.46,33.8,0.99,17,16.4,4.37,11.6,0.34,16.2,"b","E11bAHY","E11",18.28,18.68,97.8586723768737,NA,"challenge"
"8","LM0401",8,"mLN",61.4,4.1,21.4,15.5,1.46,33.8,0.99,17,16.4,4.37,11.6,0.34,16.2,"b","E11aORY","E11",19.53,20.22,96.5875370919881,0.97,"primary"
"9","LM0402",8,"Spleen",29.6,4.97,15.7,6.01,6.72,48.9,1.51,25.3,7.57,11.9,37.6,6.43,32.1,"b","E11bDLP","E11",17.35,20.23,85.7637172516065,NA,"challenge"
"10","LM0402",8,"Spleen",29.6,4.97,15.7,6.01,6.72,48.9,1.51,25.3,7.57,11.9,37.6,6.43,32.1,"b","E11aAHX","E11",18.6,19.52,95.2868852459017,0.7,"primary"
"11","LM0402",8,"mLN",47.2,5.66,30.2,18.5,6.8,63.4,1.52,47.9,15.6,11.2,38.9,2.84,18.2,"b","E11bDLP","E11",17.35,20.23,85.7637172516065,NA,"challenge"
"12","LM0402",8,"mLN",47.2,5.66,30.2,18.5,6.8,63.4,1.52,47.9,15.6,11.2,38.9,2.84,18.2,"b","E11aAHX","E11",18.6,19.52,95.2868852459017,0.7,"primary"
"13","LM0404",8,"mLN",48.2,12.4,17.9,7.52,3.99,52.9,2.2,36.6,26.1,14,38.1,1.67,21.1,"b","E11bBSZ","E11",17.81,18.15,98.1267217630854,NA,"challenge"
"14","LM0404",8,"mLN",48.2,12.4,17.9,7.52,3.99,52.9,2.2,36.6,26.1,14,38.1,1.67,21.1,"b","E11aASW","E11",15.75,16.48,95.5703883495146,1.38,"primary"
"15","LM0404",8,"Spleen",12.3,14.6,16.9,4.65,6.65,37.4,3.29,20.4,11.6,8.29,40.3,5.15,17.6,"b","E11bBSZ","E11",17.81,18.15,98.1267217630854,NA,"challenge"
"16","LM0404",8,"Spleen",12.3,14.6,16.9,4.65,6.65,37.4,3.29,20.4,11.6,8.29,40.3,5.15,17.6,"b","E11aASW","E11",15.75,16.48,95.5703883495146,1.38,"primary"
"17","LM0407",8,"Spleen",27.3,6.37,19.5,4.39,8.86,53.9,1.1,25.8,6.36,17.5,44.7,6.43,32.2,"b","E11aVXY","E11",23.21,23.58,98.4308736217133,0.96,"primary"
"18","LM0407",8,"Spleen",27.3,6.37,19.5,4.39,8.86,53.9,1.1,25.8,6.36,17.5,44.7,6.43,32.2,"b","E11bAOS","E11",24.89,25.05,99.3612774451098,NA,"challenge"
"19","LM0407",8,"mLN",50.1,7.08,22.2,14.2,4.95,59.5,1.07,23.7,13.8,11.2,43,2.24,35.6,"b","E11aVXY","E11",23.21,23.58,98.4308736217133,0.96,"primary"
"20","LM0407",8,"mLN",50.1,7.08,22.2,14.2,4.95,59.5,1.07,23.7,13.8,11.2,43,2.24,35.6,"b","E11bAOS","E11",24.89,25.05,99.3612774451098,NA,"challenge"
"21","LM0408",8,"Spleen",17.1,12.7,17.8,2.59,4.08,43.2,2.1,16.3,17.6,10.4,40.7,3.11,4.03,"b","E11aERS","E11",15.35,15.42,99.5460440985733,1.15,"primary"
"22","LM0408",8,"Spleen",17.1,12.7,17.8,2.59,4.08,43.2,2.1,16.3,17.6,10.4,40.7,3.11,4.03,"b","E11bINQ","E11",12.76,16.4,77.8048780487805,NA,"challenge"
"23","LM0408",8,"mLN",41.9,11.9,22.2,5.66,4.86,55.8,1.26,26.5,27.9,13.3,54.1,1.85,12.2,"b","E11aERS","E11",15.35,15.42,99.5460440985733,1.15,"primary"
"24","LM0408",8,"mLN",41.9,11.9,22.2,5.66,4.86,55.8,1.26,26.5,27.9,13.3,54.1,1.85,12.2,"b","E11bINQ","E11",12.76,16.4,77.8048780487805,NA,"challenge"
"25","LM0410",8,"Spleen",13.3,13.4,18,6.2,6.45,47,4.14,27,11.1,5.07,40.4,8.72,13.2,"b","E11aIKT","E11",17.41,16.98,102.532391048292,1.19,"primary"
"26","LM0410",8,"Spleen",13.3,13.4,18,6.2,6.45,47,4.14,27,11.1,5.07,40.4,8.72,13.2,"b","E11bOTY","E11",17.93,17.01,105.408583186361,NA,"challenge"
"27","LM0410",8,"mLN",46.8,10.9,24.1,5.86,4.2,66.3,1.52,48,28.4,13.9,41.8,2.6,23.5,"b","E11aIKT","E11",17.41,16.98,102.532391048292,1.19,"primary"
"28","LM0410",8,"mLN",46.8,10.9,24.1,5.86,4.2,66.3,1.52,48,28.4,13.9,41.8,2.6,23.5,"b","E11bOTY","E11",17.93,17.01,105.408583186361,NA,"challenge"
"29","LM0411",8,"mLN",41.6,12.9,23,6.09,3.8,56.5,2.16,35.9,25.2,10.7,44.3,2.05,15.1,"b","E11bBNU","E11",13.74,16.5,83.2727272727273,NA,"challenge"
"30","LM0411",8,"mLN",41.6,12.9,23,6.09,3.8,56.5,2.16,35.9,25.2,10.7,44.3,2.05,15.1,"b","E11aBKP","E11",16.03,15.9,100.817610062893,1.3,"primary"
"31","LM0411",8,"Spleen",13.4,15.6,16.7,3.91,5.05,45.1,3.72,16.6,14.1,17.3,24.1,3.47,7.44,"b","E11bBNU","E11",13.74,16.5,83.2727272727273,NA,"challenge"
"32","LM0411",8,"Spleen",13.4,15.6,16.7,3.91,5.05,45.1,3.72,16.6,14.1,17.3,24.1,3.47,7.44,"b","E11aBKP","E11",16.03,15.9,100.817610062893,1.3,"primary"
"33","LM0412",8,"mLN",44.3,6.69,40.9,11,6.35,71.9,1.47,56.2,13.9,20.9,52.2,2.92,31.4,"b","E11aQRY","E11",23.92,23.57,101.48493848112,1.58,"primary"
"34","LM0412",8,"mLN",44.3,6.69,40.9,11,6.35,71.9,1.47,56.2,13.9,20.9,52.2,2.92,31.4,"b","E11bEFU","E11",21.91,28.05,78.1105169340463,NA,"challenge"
"35","LM0412",8,"Spleen",30,7.8,24.2,4.44,5.47,54.8,1.32,27.4,7.8,11.7,43.5,3.94,24.7,"b","E11aQRY","E11",23.92,23.57,101.48493848112,1.58,"primary"
"36","LM0412",8,"Spleen",30,7.8,24.2,4.44,5.47,54.8,1.32,27.4,7.8,11.7,43.5,3.94,24.7,"b","E11bEFU","E11",21.91,28.05,78.1105169340463,NA,"challenge"
"37","LM0413",8,"Spleen",33.7,5.69,24.1,4.15,6.42,24.4,1.37,13.8,7.68,15.4,14.6,5.66,33.1,"b","E11bPWY","E11",19.51,20.37,95.7781050564556,NA,"challenge"
"38","LM0413",8,"Spleen",33.7,5.69,24.1,4.15,6.42,24.4,1.37,13.8,7.68,15.4,14.6,5.66,33.1,"b","E11aTVX","E11",20.69,21.88,94.5612431444241,1.21,"primary"
"39","LM0413",8,"mLN",32.6,3.81,43.2,13.5,4.17,53.8,4.81,11.1,14.4,12.1,28.8,1.96,25.1,"b","E11bPWY","E11",19.51,20.37,95.7781050564556,NA,"challenge"
"40","LM0413",8,"mLN",32.6,3.81,43.2,13.5,4.17,53.8,4.81,11.1,14.4,12.1,28.8,1.96,25.1,"b","E11aTVX","E11",20.69,21.88,94.5612431444241,1.21,"primary"
"41","LM0415",8,"Spleen",33,5.64,20.5,7.42,7.39,54.9,1.17,31.4,8.2,16.6,39.8,5,26.6,"b","E11aAHU","E11",20.83,20.99,99.237732253454,1.16,"primary"
"42","LM0415",8,"Spleen",33,5.64,20.5,7.42,7.39,54.9,1.17,31.4,8.2,16.6,39.8,5,26.6,"b","E11bDGH","E11",20.91,23.12,90.4411764705882,NA,"challenge"
"43","LM0415",8,"mLN",49.7,6.95,30,19.5,5.04,62.2,1.41,42,14.8,10.9,41.4,1.06,10.3,"b","E11aAHU","E11",20.83,20.99,99.237732253454,1.16,"primary"
"44","LM0415",8,"mLN",49.7,6.95,30,19.5,5.04,62.2,1.41,42,14.8,10.9,41.4,1.06,10.3,"b","E11bDGH","E11",20.91,23.12,90.4411764705882,NA,"challenge"
"45","LM0417",8,"mLN",43.4,5.48,24.9,13.1,5.66,62.7,1.32,36.1,14.5,18.6,40.2,1.89,16.7,"b","E11aRVX","E11",23.9,23.38,102.224123182207,1.83,"primary"
"46","LM0417",8,"mLN",43.4,5.48,24.9,13.1,5.66,62.7,1.32,36.1,14.5,18.6,40.2,1.89,16.7,"b","E11bAEM","E11",18.72,24.85,75.3319919517103,NA,"challenge"
"47","LM0417",8,"Spleen",34.4,5.73,21.5,3.36,3.55,51.3,0.88,14.5,8.22,13.5,40.9,3.39,22.6,"b","E11aRVX","E11",23.9,23.38,102.224123182207,1.83,"primary"
"48","LM0417",8,"Spleen",34.4,5.73,21.5,3.36,3.55,51.3,0.88,14.5,8.22,13.5,40.9,3.39,22.6,"b","E11bAEM","E11",18.72,24.85,75.3319919517103,NA,"challenge"
"49","LM0420",8,"mLN",46.3,8.69,32.7,13.3,9.29,51.8,1.28,27.1,13.9,19.4,32.9,6.73,28.3,"b","E11bABD","E11",17.16,19,90.3157894736842,NA,"challenge"
"50","LM0420",8,"mLN",46.3,8.69,32.7,13.3,9.29,51.8,1.28,27.1,13.9,19.4,32.9,6.73,28.3,"b","E11aJMQ","E11",15.41,18.05,85.3739612188366,0.48,"primary"
"51","LM0420",8,"Spleen",26.7,9.68,21.7,3.97,8.1,42.5,1.29,16.5,6.28,13.6,30,11.3,47.8,"b","E11bABD","E11",17.16,19,90.3157894736842,NA,"challenge"
"52","LM0420",8,"Spleen",26.7,9.68,21.7,3.97,8.1,42.5,1.29,16.5,6.28,13.6,30,11.3,47.8,"b","E11aJMQ","E11",15.41,18.05,85.3739612188366,0.48,"primary"
"53","LM0422",8,"Spleen",15.2,16.4,32.7,2.32,5.29,73.1,2.4,20,16.7,14.2,28.3,4.77,3.42,"b","E11aCLO","E11",13.25,14.43,91.8225918225918,1.23,"primary"
"54","LM0422",8,"Spleen",15.2,16.4,32.7,2.32,5.29,73.1,2.4,20,16.7,14.2,28.3,4.77,3.42,"b","E11bELU","E11",10.87,14.8,73.4459459459459,NA,"challenge"
"55","LM0422",8,"mLN",31.6,12.3,26.1,4.03,6.46,81.7,1.23,46.3,23.8,20.9,48.6,2.36,8.07,"b","E11aCLO","E11",13.25,14.43,91.8225918225918,1.23,"primary"
"56","LM0422",8,"mLN",31.6,12.3,26.1,4.03,6.46,81.7,1.23,46.3,23.8,20.9,48.6,2.36,8.07,"b","E11bELU","E11",10.87,14.8,73.4459459459459,NA,"challenge"
