"EH_ID","Eim_MC","delta","experiment"
"LM0400","pos",-4.81833506876557,"E11"
"LM0401","neg",NA,"E11"
"LM0402","pos",-5.8576836446198,"E11"
"LM0403","pos",3.51378635930233,"E11"
"LM0404","pos",-0.895232759794368,"E11"
"LM0405","pos",3.51772137112757,"E11"
"LM0406","pos",3.83399124815707,"E11"
"LM0407","pos",-9.65220398233476,"E11"
"LM0408","pos",6.61128322944637,"E11"
"LM0409","pos",2.47075301719116,"E11"
"LM0410","pos",-8.52642175811008,"E11"
"LM0411","pos",3.58310722268937,"E11"
"LM0412","pos",5.36599735143947,"E11"
"LM0413","pos",-7.9430189889161,"E11"
"LM0414","pos",4.63688608296797,"E11"
"LM0415","pos",-9.7265494860117,"E11"
"LM0416","pos",NA,"E11"
"LM0417","pos",4.8236460523187,"E11"
"LM0418","pos",4.32519143906177,"E11"
"LM0419","pos",0.944152571021863,"E11"
"LM0420","pos",-0.231707159876766,"E11"
"LM0421","pos",2.8147414754045,"E11"
"LM0422","pos",6.81736431564327,"E11"
"LM0423","pos",6.4510975113072,"E11"
"LM0424","neg",-9.8561884622146,"E11"
"LM0425","neg",NA,"E11"
"LM0426","neg",-0.640594900906464,"E11"
"LM0427","neg",NA,"E11"
"LM0428","pos",-8.79139222871207,"E11"
"LM0429","pos",3.96151293841837,"E11"
"LM0430","neg",NA,"E11"
"LM0431","pos",-5.9558401852755,"E11"
