"","EH_ID","dpi","Position","batch","Pop","count","labels","experiment","weight","weight_dpi0","relative_weight","feces_weight","infection"
"1","LM0400",8,"Spleen","b","CD4",27.2,"E11bIJQ","E11",18.36,18.05,101.717451523546,NA,"challenge"
"2","LM0400",8,"Spleen","b","CD4",27.2,"E11aCFM","E11",18.04,17.96,100.445434298441,1.45,"primary"
"3","LM0400",8,"Spleen","b","Treg",5.9,"E11bIJQ","E11",18.36,18.05,101.717451523546,NA,"challenge"
"4","LM0400",8,"Spleen","b","Treg",5.9,"E11aCFM","E11",18.04,17.96,100.445434298441,1.45,"primary"
"5","LM0400",8,"Spleen","b","Div_Treg",19.3,"E11bIJQ","E11",18.36,18.05,101.717451523546,NA,"challenge"
"6","LM0400",8,"Spleen","b","Div_Treg",19.3,"E11aCFM","E11",18.04,17.96,100.445434298441,1.45,"primary"
"7","LM0400",8,"Spleen","b","Treg17",4.27,"E11bIJQ","E11",18.36,18.05,101.717451523546,NA,"challenge"
"8","LM0400",8,"Spleen","b","Treg17",4.27,"E11aCFM","E11",18.04,17.96,100.445434298441,1.45,"primary"
"9","LM0400",8,"Spleen","b","Th1",4.4,"E11bIJQ","E11",18.36,18.05,101.717451523546,NA,"challenge"
"10","LM0400",8,"Spleen","b","Th1",4.4,"E11aCFM","E11",18.04,17.96,100.445434298441,1.45,"primary"
"11","LM0400",8,"Spleen","b","Div_Th1",21.7,"E11bIJQ","E11",18.36,18.05,101.717451523546,NA,"challenge"
"12","LM0400",8,"Spleen","b","Div_Th1",21.7,"E11aCFM","E11",18.04,17.96,100.445434298441,1.45,"primary"
"13","LM0400",8,"Spleen","b","Th17",0.92,"E11bIJQ","E11",18.36,18.05,101.717451523546,NA,"challenge"
"14","LM0400",8,"Spleen","b","Th17",0.92,"E11aCFM","E11",18.04,17.96,100.445434298441,1.45,"primary"
"15","LM0400",8,"Spleen","b","Div_Th17",19.2,"E11bIJQ","E11",18.36,18.05,101.717451523546,NA,"challenge"
"16","LM0400",8,"Spleen","b","Div_Th17",19.2,"E11aCFM","E11",18.04,17.96,100.445434298441,1.45,"primary"
"17","LM0400",8,"Spleen","b","CD8",6.86,"E11bIJQ","E11",18.36,18.05,101.717451523546,NA,"challenge"
"18","LM0400",8,"Spleen","b","CD8",6.86,"E11aCFM","E11",18.04,17.96,100.445434298441,1.45,"primary"
"19","LM0400",8,"Spleen","b","Act_CD8",12.5,"E11bIJQ","E11",18.36,18.05,101.717451523546,NA,"challenge"
"20","LM0400",8,"Spleen","b","Act_CD8",12.5,"E11aCFM","E11",18.04,17.96,100.445434298441,1.45,"primary"
"21","LM0400",8,"Spleen","b","Div_Act_CD8",20.3,"E11bIJQ","E11",18.36,18.05,101.717451523546,NA,"challenge"
"22","LM0400",8,"Spleen","b","Div_Act_CD8",20.3,"E11aCFM","E11",18.04,17.96,100.445434298441,1.45,"primary"
"23","LM0400",8,"Spleen","b","IFNy_CD4",5.36,"E11bIJQ","E11",18.36,18.05,101.717451523546,NA,"challenge"
"24","LM0400",8,"Spleen","b","IFNy_CD4",5.36,"E11aCFM","E11",18.04,17.96,100.445434298441,1.45,"primary"
"25","LM0400",8,"Spleen","b","IFNy_CD8",38.1,"E11bIJQ","E11",18.36,18.05,101.717451523546,NA,"challenge"
"26","LM0400",8,"Spleen","b","IFNy_CD8",38.1,"E11aCFM","E11",18.04,17.96,100.445434298441,1.45,"primary"
"27","LM0400",8,"mLN","b","CD8",14.4,"E11bIJQ","E11",18.36,18.05,101.717451523546,NA,"challenge"
"28","LM0400",8,"mLN","b","CD8",14.4,"E11aCFM","E11",18.04,17.96,100.445434298441,1.45,"primary"
"29","LM0400",8,"mLN","b","Act_CD8",14.4,"E11bIJQ","E11",18.36,18.05,101.717451523546,NA,"challenge"
"30","LM0400",8,"mLN","b","Act_CD8",14.4,"E11aCFM","E11",18.04,17.96,100.445434298441,1.45,"primary"
"31","LM0400",8,"mLN","b","Div_Act_CD8",29.1,"E11bIJQ","E11",18.36,18.05,101.717451523546,NA,"challenge"
"32","LM0400",8,"mLN","b","Div_Act_CD8",29.1,"E11aCFM","E11",18.04,17.96,100.445434298441,1.45,"primary"
"33","LM0400",8,"mLN","b","IFNy_CD4",2.87,"E11bIJQ","E11",18.36,18.05,101.717451523546,NA,"challenge"
