 Locality , Genome , Strain , IDD , Dam , Gen , Sir , IDS , Sir.1 , Gen.1 , Born , Fpar , LS , MM , FF , ID , PIN , Sex , Gen.2 , Wean , BW10 , BW20 , Clip , Departure , NOTE , Parent1 , Parent2 , HybridStatus , ageAtdpi0expe1a , Batch , InfectionStrain , EH_id 
 Buskovice , mus , BUSNA_BUSNA , SY ,8209,62, BUSNA , SY ,8208,62,2018-04-20,1,3,1,2, EX ,871, M ,63, 1M ,5.61,10.03, L2 ,NA,  , BUSNA , BUSNA , parental strains ,11.4285714285714,1, E88 , LM0181 
 Buskovice , mus , BUSNA_BUSNA , SY ,8209,62, BUSNA , SY ,8208,62,2018-04-20,1,3,1,2, EX ,872, F ,63, 1F ,5.32,8.92, L3 ,NA,  , BUSNA , BUSNA , parental strains ,11.4285714285714,1, E88 , LM0193 
 Buskovice , mus , BUSNA_BUSNA , SY ,5146,59, BUSNA , SY ,5144,59,2018-04-26,7,4, 1+? , 2+? , EX ,1037, F ,60, 1F ,7.47,9.79, P3 ,NA,  , BUSNA , BUSNA , parental strains ,10.5714285714286,1, E88 , LM0202 
 BUSNA x PWD , mus x mus , BUSNA_PWD , SY ,6115,60, PWD , SY ,7040,43,2018-04-01,3,4,2,2, EX ,752, M , F1 , 1M ,6.44,12.24, P2 ,NA,  , BUSNA , PWD , outbred hybrids ,14.1428571428571,1, E88 , LM0192 
 BUSNA x STRA , mus x dom , BUSNA_STRA , SY ,6114,60, STRA , SY ,6345,55,2018-02-23,2,3,0,3, EX ,620, F , F1 , 1F ,7.55,12.35, P2 ,NA,  , BUSNA , STRA , inter subsp. hybrids ,19.4285714285714,1, E88 , LM0197 
 BUSNA x STRA , mus x dom , BUSNA_STRA , SY ,6114,60, STRA , SY ,6345,55,2018-02-23,2,3,0,3, EX ,621, F , F1 , 1F ,7.07,12.2, P3 ,NA,  , BUSNA , STRA , inter subsp. hybrids ,19.4285714285714,1, E88 , LM0191 
 PWD x BUSNA , mus x mus , PWD_BUSNA , SY ,2996,46, BUSNA , SY ,6113,60,2018-03-23,6,9,4,5, EX ,727, F , F1 , 1F ,4.73,8.44, P3 ,NA,  , PWD , BUSNA , outbred hybrids ,15.4285714285714,1, E88 , LM0179 
 PWD x BUSNA , mus x mus , PWD_BUSNA , SY ,2996,46, BUSNA , SY ,6113,60,2018-03-23,6,9,4,5, EX ,728, F , F1 , 1F ,4.31,7.59, L2 ,NA,  , PWD , BUSNA , outbred hybrids ,15.4285714285714,1, E88 , LM0183 
 Prague , mus , PWD_PWD , SY ,5343,42, PWD , SY ,5340,42,2018-03-07,3,9,5,4, EX ,665, F ,43, 1F ,3.98,4.41, L2 ,NA,  , PWD , PWD , parental strains ,17.7142857142857,1, E88 , LM0190 
 Prague , mus , PWD_PWD , SY ,5343,42, PWD , SY ,5340,42,2018-03-07,3,9,5,4, EX ,666, F ,43, 1F ,4.2,4.97, L3 ,NA,  , PWD , PWD , parental strains ,17.7142857142857,1, E88 , LM0187 
 Prague , mus , PWD_PWD , SY ,5343,42, PWD , SY ,5340,42,2018-04-01,4,4,2,2, EX ,758, F ,43, 1F ,5.22,7.18, L4 ,NA,  , PWD , PWD , parental strains ,14.1428571428571,1, E88 , LM0189 
 PWD x SCHUNT , mus x dom , PWD_SCHUNT , SY ,5681,42, SCHUNT , SY ,8172,37,2018-05-07,5,8,4,4, EX ,977, M , F1 , 1M ,5.64,9.76, L3 ,NA,  , PWD , SCHUNT , inter subsp. hybrids ,9,1, E88 , LM0186 
 SCHUNT x PWD , dom x mus , SCHUNT_PWD , SY ,6904,37, PWD , SY ,5342,42,2018-03-23,1,7,5,2, EX ,720, M , F1 , 1M ,5.75,10.17, P2 ,NA,  , SCHUNT , PWD , inter subsp. hybrids ,15.4285714285714,1, E88 , LM0182 
 SCHUNT x PWD , dom x mus , SCHUNT_PWD , SY ,6904,37, PWD , SY ,5342,42,2018-03-23,1,7,5,2, EX ,722, M , F1 , 1M ,5.39,10.01, P4 ,NA,  , SCHUNT , PWD , inter subsp. hybrids ,15.4285714285714,1, E88 , LM0195 
 Schweben 2 , dom , SCHUNT_SCHUNT , SY ,5726,36, SCHUNT , SY ,5725,36,2018-04-13,5,5,2,3, EX ,824, F ,37, 1F ,6.84,10.87, L5 ,NA,  , SCHUNT , SCHUNT , parental strains ,12.4285714285714,1, E88 , LM0198 
 Schweben 2 , dom , SCHUNT_SCHUNT , SY ,7907,37, SCHUNT , SY ,7904,37,2018-05-01,3,6,5,1, EX ,920, M ,38, 1M ,5.82,9.51, L2 ,NA,  , SCHUNT , SCHUNT , parental strains ,9.85714285714286,1, E88 , LM0194 
