Locality,Genome,Strain,IDD,Dam,Gen,Sir,IDS,Sir.1,Gen.1,Born,Fpar,LS,MM,FF,ID,PIN,Sex,Gen.2,Wean,BW10,BW20,Clip,Departure,NOTE,Parent1,Parent2,HybridStatus,ageAtdpi0expe1a,Batch,InfectionStrain,EH_ID
Schweben 2,dom,SCHUNT_SCHUNT,SY,7907,37,SCHUNT,SY,7904,37,2018-05-01,3,6,5,1,EX,923,M,38,1M,5.79,9.68,L5,NA,,SCHUNT,SCHUNT,parental strains,9.857142857,2,E64,LM0260
Buskovice,mus,BUSNA_BUSNA,SY,5146,59,BUSNA,SY,5144,59,2018-05-16,8,5,1,4,EX,1039,M,60,1M,5.67,9.21,P2,NA,,BUSNA,BUSNA,parental strains,7.714285714,2,E64,LM0262
PWD x SCHUNT,mus x dom,PWD_SCHUNT,SY,5681,42,SCHUNT,SY,8172,37,2018-05-07,5,8,4,4,EX,980,F,F1,1F,5.84,9.88,P2,NA,,PWD,SCHUNT,inter subsp. hybrids,9,2,E64,LM0263
BUSNA x STRA,mus x dom,BUSNA_STRA,SY,6114,60,STRA,SY,6345,55,2018-04-04,3,1,1,0,EX,786,M,F1,1M,7,11.22,L2,NA,,BUSNA,STRA,inter subsp. hybrids,13.71428571,2,E64,LM0265
STRA x SCHUNT,dom,STRA_SCHUNT,SY,5825,55,SCHUNT,SY,3470,36,2018-03-21,3,11,7,4,EX,713,F,F1,1F,6.31,11.58,L2,NA,,STRA,SCHUNT,outbred hybrids,15.71428571,2,E64,LM0269
SCHUNT x STRA,dom,SCHUNT_STRA,SY,3472,36,STRA,SY,7281,56,2018-04-10,4,7,5,2,EX,816,F,F1,1F,6.1,10.96,P2,NA,,SCHUNT,STRA,outbred hybrids,12.85714286,2,E64,LM0270
,mus x dom,BUSNA_STRA,SY,8279,62,STRA,SY,6456,55,2018-05-31,2,5,4,1,EX,1135,F,F1,1F,7.03,11.61,L2,NA,REZERVA,BUSNA,STRA,inter subsp. hybrids,5.571428571,2,E88,LM0272
STRA x SCHUNT,dom,STRA_SCHUNT,SY,5825,55,SCHUNT,SY,3470,36,2018-03-21,3,11,7,4,EX,714,F,F1,1F,5.74,10.88,L3,NA,,STRA,SCHUNT,outbred hybrids,15.71428571,2,E88,LM0273
SCHUNT x PWD,dom x mus,SCHUNT_PWD,SY,6904,37,PWD,SY,5342,42,2018-05-08,3,7,4,3,EX,990,F,F1,1F,6.27,11.2,P2,NA,REZERVA,SCHUNT,PWD,inter subsp. hybrids,8.857142857,2,E88,LM0275
Straas2,dom,STRA_STRA,SY,4827,55,STRA,SY,4823,55,2018-04-03,3,7,2,5,EX,776,F,56,1F,7.37,12.43,P5,NA,,STRA,STRA,parental strains,13.85714286,2,E88,LM0276
