;Well;Fluor;Target;Content;Sample;Melt Temp
;A01;SYBR;CXCL9;Unkn;LM28;None
;A02;SYBR;IL-10;Unkn;LM28;None
;A03;SYBR;IL-12;Unkn;LM28;None
;A04;SYBR;IL-6;Unkn;LM28;73
;A05;SYBR;IFN-y;Unkn;LM28;78
;A06;SYBR;STAT6;Unkn;LM28;82
;A07;SYBR;TGF-b;Unkn;LM28;82,5
;A08;SYBR;Ppia;Pos Ctrl;LM28;82,5
;A09;SYBR;Ppip;Pos Ctrl;LM28;82,5
;A10;SYBR;CDC42;Pos Ctrl;LM28;None
;A11;SYBR;;Neg Ctrl;;None
;B01;SYBR;CXCL9;Unkn;LM28;None
;B02;SYBR;IL-10;Unkn;LM28;None
;B03;SYBR;IL-12;Unkn;LM28;None
;B04;SYBR;IL-6;Unkn;LM28;73
;B05;SYBR;IFN-y;Unkn;LM28;77,5
;B06;SYBR;STAT6;Unkn;LM28;81,5
;B07;SYBR;TGF-b;Unkn;LM28;81
;B08;SYBR;Ppia;Pos Ctrl;LM28;82
;B09;SYBR;Ppip;Pos Ctrl;LM28;82
;B10;SYBR;CDC42;Pos Ctrl;LM28;None
;B11;SYBR;;Neg Ctrl;;None
;C01;SYBR;CXCL9;Unkn;LM30;None
;C02;SYBR;IL-10;Unkn;LM30;None
;C03;SYBR;IL-12;Unkn;LM30;None
;C04;SYBR;IL-6;Unkn;LM30;73,5
;C05;SYBR;IFN-y;Unkn;LM30;79
;C06;SYBR;STAT6;Unkn;LM30;80,5
;C07;SYBR;TGF-b;Unkn;LM30;82
;C08;SYBR;Ppia;Pos Ctrl;LM30;81,5
;C09;SYBR;Ppip;Pos Ctrl;LM30;None
;C10;SYBR;CDC42;Pos Ctrl;LM30;None
;C11;SYBR;;Neg Ctrl;;None
;D01;SYBR;CXCL9;Unkn;LM30;None
;D02;SYBR;IL-10;Unkn;LM30;None
;D03;SYBR;IL-12;Unkn;LM30;None
;D04;SYBR;IL-6;Unkn;LM30;74,5
;D05;SYBR;IFN-y;Unkn;LM30;79
;D06;SYBR;STAT6;Unkn;LM30;81,5
;D07;SYBR;TGF-b;Unkn;LM30;81,5
;D08;SYBR;Ppia;Pos Ctrl;LM30;81
;D09;SYBR;Ppip;Pos Ctrl;LM30;None
;D10;SYBR;CDC42;Pos Ctrl;LM30;None
;D11;SYBR;;Neg Ctrl;;None
;E01;SYBR;CXCL9;Unkn;LM33;76
;E02;SYBR;IL-10;Unkn;LM33;76
;E03;SYBR;IL-12;Unkn;LM33;None
;E04;SYBR;IL-6;Unkn;LM33;75
;E05;SYBR;IFN-y;Unkn;LM33;77,5
;E06;SYBR;STAT6;Unkn;LM33;81
;E07;SYBR;TGF-b;Unkn;LM33;82
;E08;SYBR;Ppia;Pos Ctrl;LM33;None
;E09;SYBR;Ppip;Pos Ctrl;LM33;None
;E10;SYBR;CDC42;Pos Ctrl;LM33;None
;E11;SYBR;;Neg Ctrl;;None
;F01;SYBR;CXCL9;Unkn;LM33;75
;F02;SYBR;IL-10;Unkn;LM33;76,5
;F03;SYBR;IL-12;Unkn;LM33;None
;F04;SYBR;IL-6;Unkn;LM33;75
;F05;SYBR;IFN-y;Unkn;LM33;77
;F06;SYBR;STAT6;Unkn;LM33;81
;F07;SYBR;TGF-b;Unkn;LM33;81,5
;F08;SYBR;Ppia;Pos Ctrl;LM33;82
;F09;SYBR;Ppip;Pos Ctrl;LM33;82
;F10;SYBR;CDC42;Pos Ctrl;LM33;None
;F11;SYBR;;Neg Ctrl;;None
;G01;SYBR;CXCL9;Unkn;LM35;76
;G02;SYBR;IL-10;Unkn;LM35;77,5
;G03;SYBR;IL-12;Unkn;LM35;78,5
;G04;SYBR;IL-6;Unkn;LM35;75,5
;G05;SYBR;IFN-y;Unkn;LM35;78,5
;G06;SYBR;STAT6;Unkn;LM35;81,5
;G07;SYBR;TGF-b;Unkn;LM35;82
;G08;SYBR;Ppia;Pos Ctrl;LM35;81,5
;G09;SYBR;Ppip;Pos Ctrl;LM35;82
;G10;SYBR;CDC42;Pos Ctrl;LM35;79,5
;G11;SYBR;;Neg Ctrl;;None
;H01;SYBR;CXCL9;Unkn;LM35;77
;H02;SYBR;IL-10;Unkn;LM35;78,5
;H03;SYBR;IL-12;Unkn;LM35;79,5
;H04;SYBR;IL-6;Unkn;LM35;75
;H05;SYBR;IFN-y;Unkn;LM35;78,5
;H06;SYBR;STAT6;Unkn;LM35;81
;H07;SYBR;TGF-b;Unkn;LM35;82
;H08;SYBR;Ppia;Pos Ctrl;LM35;81,5
;H09;SYBR;Ppip;Pos Ctrl;LM35;82
;H10;SYBR;CDC42;Pos Ctrl;LM35;79
;H11;SYBR;;Neg Ctrl;;None
