;Well;Fluor;Target;Content;Sample;Melt Temperature;Peak Height;Begin Temperature;End Temperature;Well Note
;A01;SYBR;CXCL9;Unkn;MouseCaecum1;78,5;307,007331249575;73,5;83,5;
;A02;SYBR;IL-10;Unkn;MouseCaecum1;80;261,889726787866;67,5;86,5;
;A03;SYBR;IL-12;Unkn;MouseCaecum1;85;143,641467942107;82,5;88,5;
;A04;SYBR;IL-6;Unkn;MouseCaecum1;76,5;235,752108337855;67,5;82;
;A05;SYBR;IFN-g;Unkn;MouseCaecum1;None;None;None;None;
;A06;SYBR;STAT6;Unkn;MouseCaecum1;None;None;None;None;
;A07;SYBR;TGF-b;Unkn;MouseCaecum1;None;None;None;None;
;A08;SYBR;Ppia;Unkn;MouseCaecum1;82;190,661414990409;75,5;87,5;
;A09;SYBR;Ppib;Pos Ctrl;MouseCaecum1;82;269,621317514538;67,5;88,5;
;A10;SYBR;CDC42;Pos Ctrl;MouseCaecum1;79;206,70069214299;71,5;83,5;
;A11;SYBR;;Neg Ctrl;;None;None;None;None;
;B01;SYBR;CXCL9;Unkn;MouseCaecum1;77,5;281,585745719374;71;82;
;B02;SYBR;IL-10;Unkn;MouseCaecum1;79;169,723327436188;71,5;82,5;
;B03;SYBR;IL-12;Unkn;MouseCaecum1;80;168,334287548073;73;83;
;B04;SYBR;IL-6;Unkn;MouseCaecum1;76;268,329265330348;67,5;81;
;B05;SYBR;IFN-g;Unkn;MouseCaecum1;None;None;None;None;
;B06;SYBR;STAT6;Unkn;MouseCaecum1;82;271,094585801611;69;86;
;B07;SYBR;TGF-b;Unkn;MouseCaecum1;82;316,21575924313;75;87,5;
;B08;SYBR;Ppia;Unkn;MouseCaecum1;82;321,193161331615;69,5;88;
;B09;SYBR;Ppib;Pos Ctrl;MouseCaecum1;82;324,416987695125;75;86,5;
;B10;SYBR;CDC42;Pos Ctrl;MouseCaecum1;79;288,147820269561;67,5;83,5;
;B11;SYBR;;Neg Ctrl;;None;None;None;None;
;C01;SYBR;CXCL9;Unkn;MouseCaecum2;76,5;174,740919252045;70,5;81,5;
;C02;SYBR;IL-10;Unkn;MouseCaecum2;None;None;None;None;
;C03;SYBR;IL-12;Unkn;MouseCaecum2;83,5;243,777294772918;67,5;87;
;C04;SYBR;IL-6;Unkn;MouseCaecum2;75,5;352,925915227321;67,5;82;
;C05;SYBR;IFN-g;Unkn;MouseCaecum2;80;249,259635512928;68,5;88,5;
;C06;SYBR;STAT6;Unkn;MouseCaecum2;82,5;359,840435227676;73;87;
;C07;SYBR;TGF-b;Unkn;MouseCaecum2;82,5;241,282856027532;69,5;95;
;C08;SYBR;Ppia;Unkn;MouseCaecum2;81,5;311,249196495173;70;87;
;C09;SYBR;Ppib;Pos Ctrl;MouseCaecum2;85,5;261,700976566523;75;88,5;
