EH_ID,primary_infection,challenge_infection,mouse_strain,experiment 
LM_0348,E139,E88,NMRI,P4
LM_0349,E139,E88,NMRI,P4
LM_0350,E139,E64,NMRI,P4
LM_0351,E139,UNI,NMRI,P4
LM_0352,E64,E88,NMRI,P4
LM_0353,E64,E88,NMRI,P4
LM_0354,E64,E64,NMRI,P4
LM_0355,E64,UNI,NMRI,P4
LM_0356,E88,E88,NMRI,P4
LM_0357,E88,E88,NMRI,P4
LM_0358,E88,E64,NMRI,P4
LM_0359,E88,UNI,NMRI,P4
LM_0360,Eflab,E88,NMRI,P4
LM_0361,Eflab,E88,NMRI,P4
LM_0362,Eflab,E64,NMRI,P4
LM_0363,Eflab,UNI,NMRI,P4
LM_0364,UNI,E88,NMRI,P4
LM_0365,UNI,E88,NMRI,P4
LM_0366,UNI,E64,NMRI,P4
LM_0367,UNI,UNI,NMRI,P4
