EH_ID,Species,mouse_strain,K_ID,date_of_birth,N.passaging.before,sex,primary_infection,experiment
LM0304,Cryptosporidium spp.,NMRI,K7,20_08_18,0,M,C666,E9
LM0305,Cryptosporidium spp.,NMRI,K5,16_08_18,0,M,C666,E9
LM0306,Cryptosporidium spp.,NMRI,K7,20_08_18,0,M,C666,E9
LM0307,Cryptosporidium spp.,NMRI,K6,17_08_18,0,M,C666,E9
LM0308,Cryptosporidium spp.,NMRI,K7,20_08_18,0,M,C667,E9
LM0309,Cryptosporidium spp.,NMRI,K6,17_08_18,0,M,C667,E9
LM0310,Cryptosporidium spp.,NMRI,K6,17_08_18,0,M,C667,E9
LM0311,Cryptosporidium spp.,NMRI,K6,17_08_18,0,M,C667,E9
LM0312,Cryptosporidium spp.,NMRI,K5,16_08_18,0,M,C546,E9
LM0313,Cryptosporidium spp.,NMRI,K3,12_08_18,0,M,C546,E9
LM0314,Cryptosporidium spp.,NMRI,K7,20_08_18,0,M,C546,E9
LM0315,Cryptosporidium spp.,NMRI,K5,16_08_18,0,M,C546,E9
LM0316,Cryptosporidium spp.,NMRI,K3,12_08_18,0,M,C578,E9
LM0317,Cryptosporidium spp.,NMRI,K3,12_08_18,0,M,C578,E9
LM0318,Cryptosporidium spp.,NMRI,K5,16_08_18,0,M,C578,E9
LM0319,Cryptosporidium spp.,NMRI,K3,12_08_18,0,M,C578,E9
