EH_ID,infection_history,primary_infection,challenge_infection,mouse_strain,sex,experiment
LM_0368,E64:E64,E64,E64,SCHUNT_SCHUNT,NA,E10
LM_0369,E64:E64,E64,E64,SCHUNT_SCHUNT,NA,E10
LM_0370,E64:E64,E64,E64,PWD_PWD,NA,E10
LM_0371,E64:E64,E64,E64,PWD_PWD,NA,E10
LM_0372,E64:E88,E64,E88,SCHUNT_SCHUNT,NA,E10
LM_0373,E64:E88,E64,E88,SCHUNT_SCHUNT,NA,E10
LM_0374,E64:E88,E64,E88,PWD_PWD,NA,E10
LM_0375,E64:E88,E64,E88,PWD_PWD,NA,E10
LM_0376,E64:UNI,E64,UNI,SCHUNT_SCHUNT,NA,E10
LM_0377,E64:UNI,E64,UNI,SCHUNT_SCHUNT,NA,E10
LM_0378,E64:UNI,E64,UNI,PWD_PWD,NA,E10
LM_0379,E64:UNI,E64,UNI,PWD_PWD,NA,E10
LM_0380,E88:E88,E88,E88,SCHUNT_SCHUNT,NA,E10
LM_0381,E88:E88,E88,E88,SCHUNT_SCHUNT,NA,E10
LM_0382,E88:E88,E88,E88,PWD_PWD,NA,E10
LM_0383,E88:E88,E88,E88,PWD_PWD,NA,E10
LM_0384,E88:E64,E88,E64,SCHUNT_SCHUNT,NA,E10
LM_0385,E88:E64,E88,E64,SCHUNT_SCHUNT,NA,E10
LM_0386,E88:E64,E88,E64,PWD_PWD,NA,E10
LM_0387,E88:E64,E88,E64,PWD_PWD,NA,E10
LM_0388,E88:UNI,E88,UNI,SCHUNT_SCHUNT,NA,E10
LM_0389,E88:UNI,E88,UNI,SCHUNT_SCHUNT,NA,E10
LM_0390,E88:UNI,E88,UNI,PWD_PWD,NA,E10
LM_0391,E88:UNI,E88,UNI,PWD_PWD,NA,E10
LM_0392,UNI:UNI,UNI,UNI,SCHUNT_SCHUNT,NA,E10
LM_0393,UNI:UNI,UNI,UNI,SCHUNT_SCHUNT,NA,E10
LM_0394,UNI:UNI,UNI,UNI,PWD_PWD,NA,E10
LM_0395,UNI:UNI,UNI,UNI,PWD_PWD,NA,E10
LM_0396,UNI:E64,UNI,E64,SCHUNT_SCHUNT,NA,E10
LM_0397,UNI:E64,UNI,E64,PWD_PWD,NA,E10
LM_0398,UNI:E88,UNI,E88,SCHUNT_SCHUNT,NA,E10
LM_0399,UNI:E88,UNI,E88,PWD_PWD,NA,E10
