dpi_dissection,primary_infection,EH_ID,mouse_strain,experiment
3,Eflab,LM0051,NMRI,E1
3,Efwild,LM0026,NMRI,E1
3,EI70,LM0057,NMRI,E1
3,EI64,LM0067,NMRI,E1
3,Uninf,LM0095,NMRI,E1
3,Eflab,LM0063,NMRI,E1
3,Efwild,LM0076,NMRI,E1
3,EI70,LM0039,NMRI,E1
3,EI64,LM0069,NMRI,E1
3,Uninf,LM0086,NMRI,E1
3,Eflab,LM0090,NMRI,E1
3,Efwild,LM0044,NMRI,E1
3,EI70,LM0040,NMRI,E1
3,EI64,LM0041,NMRI,E1
3,Uninf,LM0081,NMRI,E1
5,Eflab,LM0083,NMRI,E1
5,Efwild,LM0082,NMRI,E1
5,EI70,LM0050,NMRI,E1
5,EI64,LM0064,NMRI,E1
5,Uninf,LM0052,NMRI,E1
5,Eflab,LM0068,NMRI,E1
5,Efwild,LM0077,NMRI,E1
5,EI70,LM0070,NMRI,E1
5,EI64,LM0061,NMRI,E1
5,Uninf,LM0047,NMRI,E1
5,Eflab,LM0093,NMRI,E1
5,Efwild,LM0055,NMRI,E1
5,EI70,LM0022,NMRI,E1
5,EI64,LM0092,NMRI,E1
5,Uninf,LM0088,NMRI,E1
7,Eflab,LM0075,NMRI,E1
7,Efwild,LM0094,NMRI,E1
7,EI70,LM0074,NMRI,E1
7,EI64,LM0029,NMRI,E1
7,Uninf,LM0085,NMRI,E1
7,Eflab,LM0079,NMRI,E1
7,Efwild,LM0024,NMRI,E1
7,EI70,LM0037,NMRI,E1
7,EI64,LM0084,NMRI,E1
7,Uninf,LM0042,NMRI,E1
7,Eflab,LM0059,NMRI,E1
7,Efwild,LM0046,NMRI,E1
7,EI70,LM0062,NMRI,E1
7,EI64,LM0043,NMRI,E1
7,Uninf,LM0065,NMRI,E1
9,Eflab,LM0033,NMRI,E1
9,Efwild,LM0045,NMRI,E1
9,EI70,LM0036,NMRI,E1
9,EI64,LM0056,NMRI,E1
9,Uninf,LM0091,NMRI,E1
9,Eflab,LM0073,NMRI,E1
9,Efwild,LM0028,NMRI,E1
9,EI70,LM0038,NMRI,E1
9,EI64,LM0035,NMRI,E1
9,Uninf,LM0023,NMRI,E1
9,Eflab,LM0080,NMRI,E1
9,Efwild,LM0030,NMRI,E1
9,EI70,LM0060,NMRI,E1
9,EI64,LM0066,NMRI,E1
9,Uninf,LM0089,NMRI,E1
11,Eflab,LM0021,NMRI,E1
11,Efwild,LM0048,NMRI,E1
11,EI70,LM0034,NMRI,E1
11,EI64,LM0072,NMRI,E1
11,Uninf,LM0032,NMRI,E1
11,Eflab,LM0025,NMRI,E1
11,Efwild,LM0027,NMRI,E1
11,EI70,LM0087,NMRI,E1
11,EI64,LM0078,NMRI,E1
11,Uninf,LM0049,NMRI,E1
11,Eflab,LM0031,NMRI,E1
11,Efwild,LM0054,NMRI,E1
11,EI70,LM0058,NMRI,E1
11,EI64,LM0071,NMRI,E1
11,Uninf,LM0053,NMRI,E1
