Sample ID	Date and Time	Conc.	Unit	260/280	260/230	Sample Type
LM_0231	10/15/2019 12:18:28 PM	1588.2	ng/ul	1.68	1.83	ssDNA
LM_0287	10/15/2019 12:19:11 PM	1805	ng/ul	1.69	1.86	ssDNA
LM_0285	10/15/2019 12:19:50 PM	1698.2	ng/ul	1.67	1.77	ssDNA
LM_0269	10/15/2019 12:20:26 PM	1932.2	ng/ul	1.68	1.67	ssDNA
LM_0265	10/15/2019 12:21:02 PM	1707.5	ng/ul	1.69	1.77	ssDNA
LM_0293	10/15/2019 12:21:35 PM	1645.6	ng/ul	1.69	1.74	ssDNA
LM_0263	10/15/2019 12:22:14 PM	2201.8	ng/ul	1.75	2.01	ssDNA
LM_0282	10/15/2019 12:22:52 PM	1879.7	ng/ul	1.69	1.78	ssDNA
LM_0278	10/15/2019 12:23:22 PM	1639.9	ng/ul	1.69	1.93	ssDNA
LM_0289	10/15/2019 12:23:55 PM	1700.5	ng/ul	1.7	1.91	ssDNA
LM_0252	10/15/2019 12:24:28 PM	1597.6	ng/ul	1.71	1.9	ssDNA
LM_0288	10/15/2019 12:25:00 PM	1684.6	ng/ul	1.7	1.75	ssDNA
LM_0273	10/15/2019 12:25:26 PM	1751.5	ng/ul	1.69	1.82	ssDNA
LM_0271	10/15/2019 12:25:55 PM	1531.6	ng/ul	1.69	1.84	ssDNA
LM_0264	10/15/2019 12:26:25 PM	1505.1	ng/ul	1.68	1.8	ssDNA
LM_0261	10/15/2019 12:26:50 PM	1698.8	ng/ul	1.68	1.5	ssDNA
LM_0259	10/15/2019 12:27:20 PM	1814.3	ng/ul	1.7	1.82	ssDNA
LM_0286	10/15/2019 12:27:49 PM	1649.9	ng/ul	1.68	1.57	ssDNA
LM_0276	10/15/2019 12:28:45 PM	1703.8	ng/ul	1.7	1.91	ssDNA
LM_0277	10/15/2019 12:29:34 PM	1703.6	ng/ul	1.7	1.82	ssDNA
LM_0272	10/15/2019 12:32:04 PM	1584.4	ng/ul	1.7	1.81	ssDNA
LM_0283	10/15/2019 12:32:39 PM	1476.3	ng/ul	1.67	1.93	ssDNA
LM_0294	10/15/2019 12:33:15 PM	1950	ng/ul	1.7	1.8	ssDNA
LM_0275	10/15/2019 12:33:46 PM	1656.6	ng/ul	1.69	1.95	ssDNA
