Exp_ID,Mouse_ID,dpi,weight,weight_dpi0,faeces_weight,infection_isolate
Pas_0519,1,0,37.99,37.99,NA,Eflab
Pas_0519,2,0,40.02,40.02,NA,Eflab
Pas_0519,3,0,40.6,40.6,NA,Eflab
Pas_0519,4,0,39.33,39.33,NA,E88
Pas_0519,5,0,37.9,37.9,NA,E88
Pas_0519,6,0,47.63,47.63,NA,E64
Pas_0519,7,0,34.17,34.17,NA,E64
Pas_0519,8,0,36.6,36.6,NA,E139
Pas_0519,9,0,39.8,39.8,NA,E139
Pas_0519,10,0,40.71,40.71,NA,E64
Pas_0519,11,0,39.99,39.99,NA,E88
Pas_0519,12,0,43.08,43.08,NA,E139
Pas_0519,1,1,37.53,37.99,NA,Eflab
Pas_0519,2,1,38.95,40.02,NA,Eflab
Pas_0519,3,1,39.79,40.6,NA,Eflab
Pas_0519,4,1,37.74,39.33,NA,E88
Pas_0519,5,1,37.25,37.9,NA,E88
Pas_0519,6,1,44.98,47.63,NA,E64
Pas_0519,7,1,33.49,34.17,NA,E64
Pas_0519,8,1,35.2,36.6,NA,E139
Pas_0519,9,1,38.21,39.8,NA,E139
Pas_0519,10,1,39.59,40.71,NA,E64
Pas_0519,11,1,39.51,39.99,NA,E88
Pas_0519,12,1,41.86,43.08,NA,E139
Pas_0519,1,2,37.55,37.99,NA,Eflab
Pas_0519,2,2,39.37,40.02,NA,Eflab
Pas_0519,3,2,40.12,40.6,NA,Eflab
Pas_0519,4,2,37.82,39.33,NA,E88
Pas_0519,5,2,36.34,37.9,NA,E88
Pas_0519,6,2,44.8,47.63,4.39,E64
Pas_0519,7,2,33.6,34.17,4.61,E64
Pas_0519,8,2,35.38,36.6,5.13,E139
Pas_0519,9,2,38.3,39.8,5.12,E139
Pas_0519,10,2,39.72,40.71,5.74,E64
Pas_0519,11,2,39.73,39.99,NA,E88
Pas_0519,12,2,42.58,43.08,6.34,E139
Pas_0519,1,3,37.83,37.99,NA,Eflab
Pas_0519,2,3,39.53,40.02,NA,Eflab
Pas_0519,3,3,39.58,40.6,NA,Eflab
Pas_0519,4,3,38.07,39.33,NA,E88
Pas_0519,5,3,37.39,37.9,NA,E88
Pas_0519,6,3,44.82,47.63,NA,E64
Pas_0519,7,3,33.36,34.17,NA,E64
Pas_0519,8,3,35.71,36.6,NA,E139
Pas_0519,9,3,38.67,39.8,NA,E139
Pas_0519,10,3,39.24,40.71,NA,E64
Pas_0519,11,3,40.12,39.99,NA,E88
Pas_0519,12,3,42.49,43.08,NA,E139
Pas_0519,1,4,37.63,37.99,NA,Eflab
Pas_0519,2,4,39.16,40.02,NA,Eflab
Pas_0519,3,4,39.47,40.6,NA,Eflab
Pas_0519,4,4,38.35,39.33,NA,E88
Pas_0519,5,4,37.33,37.9,NA,E88
Pas_0519,6,4,44.03,47.63,NA,E64
Pas_0519,7,4,33.51,34.17,NA,E64
Pas_0519,8,4,35.42,36.6,NA,E139
Pas_0519,9,4,38.95,39.8,NA,E139
Pas_0519,10,4,37.66,40.71,NA,E64
Pas_0519,11,4,40.66,39.99,NA,E88
Pas_0519,12,4,41.72,43.08,NA,E139
Pas_0519,1,5,37.95,37.99,NA,Eflab
Pas_0519,2,5,39.32,40.02,NA,Eflab
Pas_0519,3,5,39.69,40.6,NA,Eflab
Pas_0519,4,5,38.32,39.33,NA,E88
Pas_0519,5,5,37.9,37.9,NA,E88
Pas_0519,6,5,44.53,47.63,NA,E64
Pas_0519,7,5,33.65,34.17,NA,E64
Pas_0519,8,5,35.39,36.6,NA,E139
Pas_0519,9,5,38.71,39.8,NA,E139
Pas_0519,10,5,37.71,40.71,NA,E64
Pas_0519,11,5,40.49,39.99,NA,E88
Pas_0519,12,5,40.46,43.08,NA,E139
Pas_0519,1,6,38.76,37.99,NA,Eflab
Pas_0519,2,6,39.49,40.02,NA,Eflab
Pas_0519,3,6,40.1,40.6,NA,Eflab
Pas_0519,4,6,38.54,39.33,NA,E88
Pas_0519,5,6,37.64,37.9,NA,E88
Pas_0519,6,6,44.47,47.63,11.27,E64
Pas_0519,7,6,33.94,34.17,10.69,E64
Pas_0519,8,6,35.26,36.6,13.59,E139
