Sample-ID,dpi,gram faeces used,dna_concentration_µl/ng,date
FEC_E5_AGO,,"0,05",198,28.01.2022
FEC_E5_BKT,,"0,05",337,28.01.2022
FEC_E5_CIO,,"0,04","245,5",28.01.2022
FEC_E5_DES,,"0,04","25,8",28.01.2022
FEC_E5_FHV,,"0,03","235,9",28.01.2022
FEC_E5_GQU,,"0,02","188,4",28.01.2022
FEC_E5_HJQ,,"0,04","177,8",28.01.2022
FEC_E5_HPQ,,"0,05","245,6",28.01.2022
FEC_E5_KOX,,"0,04","359,8",28.01.2022
FEC_E5_NSU,,"0,04","307,6",28.01.2022
FEC_E5_BTY,,"0,04",345,31.01.2022
FEC_E5_CRW,,"0,03",102,31.01.2022
FEC_E5_DIT,,"0,03","307,2",31.01.2022
FEC_E5_EFV,,"0,05","234,1",31.01.2022
FEC_E5_ELT,,"0,05","320,5",31.01.2022
FEC_E5_FGT,,"0,04","197,6",31.01.2022
FEC_E5_JLZ,,"0,05","263,2",31.01.2022
FEC_E5_KVZ,,"0,06","276,3",31.01.2022
FEC_E5_PQV,,"0,05","220,6",31.01.2022
FEC_E5_RXY,,"0,05","254,5",31.01.2022
FEC_E5_ADQ,,"0,05","105,4",02.02.2022
FEC_E5_AGM,,"0,03","227,4",02.02.2022
FEC_E5_AOQ,,"0,05","242,2",02.02.2022
FEC_E5_CFO,,"0,04","316,3",02.02.2022
FEC_E5_DUX,,"0,05","192,4",02.02.2022
FEC_E5_EMQ,,"0,04","180,1",02.02.2022
FEC_E5_GMN,,"0,05","130,2",02.02.2022
FEC_E5_HTY,,"0,05","98,7",02.02.2022
FEC_E5_ILQ,,"0,07","147,4",02.02.2022
FEC_E5_IOV,,"0,06","187,2",02.02.2022
FEC_E5_ABJ,,no sample,-,-
FEC_E5_OTY,,no sample,-,-
FEC_E5_FOZ,,no sample,-,-
FEC_E5_FNU,,no sample,-,-
