Experiment,Date,weight,shedding,infection_intensity,CEWE_ELISA,MES_ELISA,gene_expression,FACS,design
E3,04/2018,https://raw.githubusercontent.com/derele/Eimeria_Lab/master/data/Experiment_results/E3_042018_Eim_record.csv,https://raw.githubusercontent.com/derele/Eimeria_Lab/master/data/Experiment_results/E3_042018_Eim_oocyst.csv,,,,,,https://raw.githubusercontent.com/derele/Eimeria_Lab/master/data/Experimental_design/E3_042018_Eim_DESIGN.csv
E4,05/2018,https://raw.githubusercontent.com/derele/Eimeria_Lab/master/data/Experiment_results/E4_052018_Eim_record.csv,https://raw.githubusercontent.com/derele/Eimeria_Lab/master/data/Experiment_results/E4_052018_Eim_oocyst.csv,,,,,,https://raw.githubusercontent.com/derele/Eimeria_Lab/master/data/Experimental_design/E4_052018_Eim_DESIGN.csv
E8,01/2019,https://raw.githubusercontent.com/derele/Eimeria_Lab/master/data/Experiment_results/E8_012019_Eim_record.csv,https://raw.githubusercontent.com/derele/Eimeria_Lab/master/data/Experiment_results/E8_012019_Eim_oocyst.csv,,,,,,https://raw.githubusercontent.com/derele/Eimeria_Lab/master/data/Experimental_design/E8_012019_Eim_DESIGN.csv
P1,11/2018,,https://raw.githubusercontent.com/derele/Eimeria_Lab/master/data/Experiment_results/P1_112018_Eim_oocyst.csv,,,,,,NA
P2,5/2019,https://raw.githubusercontent.com/derele/Eimeria_Lab/master/data/Experiment_results/P2_052019_Eim_record.csv,,,,,,,NA
P4,08/2020,https://raw.githubusercontent.com/derele/Eimeria_Lab/master/data/Experiment_results/P4_082020_Eim_record.csv,https://raw.githubusercontent.com/derele/Eimeria_Lab/master/data/Experiment_results/P4_082020_Eim_oocyst.csv,https://raw.githubusercontent.com/derele/Eimeria_Lab/master/data/Experiment_results/P4_082020_Eim_CEWE_qPCR.csv,https://raw.githubusercontent.com/derele/Eimeria_Lab/master/data/Experiment_results/P4_082020_Eim_CEWE_ELISA.csv,https://raw.githubusercontent.com/derele/Eimeria_Lab/master/data/Experiment_results/P4_082020_Eim_MES_ELISA.csv,,https://raw.githubusercontent.com/derele/Eimeria_Lab/master/data/Experiment_results/P4_082020_Eim_FACS.csv,https://raw.githubusercontent.com/derele/Eimeria_Lab/master/data/Experimental_design/P4_082020_Eim_DESIGN.csv
E1,01/2017,https://raw.githubusercontent.com/derele/Eimeria_Lab/master/data/Experiment_results/E1_012017_Eim_record.csv,https://raw.githubusercontent.com/derele/Eimeria_Lab/master/data/Experiment_results/E1_012017_Eim_oocyst.csv,https://raw.githubusercontent.com/derele/Eimeria_Lab/master/data/Experiment_results/E1_012017_Eim_CEWE_qPCR.csv,,https://raw.githubusercontent.com/derele/Jan2017Exp/master/E1_012017_Eim_MES_ELISA.csv,,,https://raw.githubusercontent.com/derele/Eimeria_Lab/master/data/Experimental_design/E1_012017_Eim_DESIGN.csv
E2,05/2017,https://raw.githubusercontent.com/derele/Eimeria_Lab/master/data/Experiment_results/E2_052017_Eim_record.csv,https://raw.githubusercontent.com/derele/Eimeria_Lab/master/data/Experiment_results/E2_052017_Eim_oocyst.csv,,,,,,https://raw.githubusercontent.com/derele/Eimeria_Lab/master/data/Experimental_design/E2_052017_Eim_DESIGN.csv
E57,11/2018,https://raw.githubusercontent.com/derele/Eimeria_Lab/master/data/Experiment_results/E57_xxxxx_Eim_record.csv,https://raw.githubusercontent.com/derele/Eimeria_Lab/master/data/Experiment_results/E57_xxxxx_Eim_oocyst.csv,https://raw.githubusercontent.com/derele/Eimeria_Lab/master/data/Experiment_results/E7_112018_Eim_CEWE_qPCR.csv,https://raw.githubusercontent.com/derele/Eimeria_Lab/master/data/Experiment_results/E7_112018_Eim_CEWE_ELISA.csv,,https://raw.githubusercontent.com/derele/Eimeria_Lab/master/data/Experiment_results/E7_112018_Eim_CEWE_RT-qPCR.csv,https://raw.githubusercontent.com/derele/Eimeria_Lab/master/data/Experiment_results/E7_112018_Eim_FACS.csv,https://raw.githubusercontent.com/derele/Eimeria_Lab/master/data/Experimental_design/E57_xxxxx_Eim_DESIGN.csv
E9,04/2019,,,,,,,,https://raw.githubusercontent.com/derele/Eimeria_Lab/master/data/Experimental_design/E9_042019_Cry_DESIGN.csv
