;Well;Fluor;Target;Content;Sample;Melt Temperature;Peak Height;Begin Temperature;End Temperature;Well Note
;A01;SYBR;CXCL9;Unkn;LM36;78;372,240996195405;71;86;
;A02;SYBR;IL-10;Unkn;LM36;78,5;318,925449292883;71,5;82;
;A03;SYBR;IL-12;Unkn;LM36;79;256,403905089655;72;87;
;A04;SYBR;IL-6;Unkn;LM36;75,5;256,795175375199;68;81;
;A05;SYBR;IFN-y;Unkn;LM36;79,5;372,976823394741;69;88;
;A06;SYBR;STAT6;Unkn;LM36;82;190,045100850219;67,5;86;
;A07;SYBR;TGF-b;Unkn;LM36;83;256,091897004892;79;89;
;A08;SYBR;Ppia;Pos Ctrl;LM36;83;202,114014207915;78,5;87;
;A09;SYBR;Ppip;Pos Ctrl;LM36;None;None;None;None;
;A10;SYBR;CDC42;Pos Ctrl;LM36;None;None;None;None;
;A11;SYBR;;Neg Ctrl;;None;None;None;None;
;B01;SYBR;CXCL9;Unkn;LM36;78;448,317384689555;70,5;83,5;
;B02;SYBR;IL-10;Unkn;LM36;78,5;388,590609426089;67,5;83;
;B03;SYBR;IL-12;Unkn;LM36;79;228,578214017101;67,5;85,5;
;B04;SYBR;IL-6;Unkn;LM36;75;290,646150250273;67,5;79,5;
;B05;SYBR;IFN-y;Unkn;LM36;79;432,774475187255;67,5;86,5;
;B06;SYBR;STAT6;Unkn;LM36;81,5;263,213148641219;73,5;86;
;B07;SYBR;TGF-b;Unkn;LM36;82,5;358,613874893414;69,5;89,5;
;B08;SYBR;Ppia;Pos Ctrl;LM36;82,5;298,994722990102;70,5;87,5;
;B09;SYBR;Ppip;Pos Ctrl;LM36;82,5;244,756329724451;71;88,5;
;B10;SYBR;CDC42;Pos Ctrl;LM36;None;None;None;None;
;B11;SYBR;;Neg Ctrl;;None;None;None;None;
;C01;SYBR;CXCL9;Unkn;LM37;77,5;401,47179518533;67,5;85,5;
;C02;SYBR;IL-10;Unkn;LM37;78,5;342,795621535171;67,5;82;
;C03;SYBR;IL-12;Unkn;LM37;78,5;313,378587354818;67,5;85;
;C04;SYBR;IL-6;Unkn;LM37;75;311,147966471528;67,5;81,5;
;C05;SYBR;IFN-y;Unkn;LM37;79;412,545069452134;70,5;87;
;C06;SYBR;STAT6;Unkn;LM37;81,5;284,119947967363;71,5;87;
;C07;SYBR;TGF-b;Unkn;LM37;82,5;383,811410954078;68,5;88,5;
;C08;SYBR;Ppia;Pos Ctrl;LM37;82,5;304,547056859939;78;89;
;C09;SYBR;Ppip;Pos Ctrl;LM37;82,5;239,999078379665;70,5;92,5;
;C10;SYBR;CDC42;Pos Ctrl;LM37;None;None;None;None;
