;Well;Fluor;Target;Content;Sample;Melt Temp
;A01;SYBR;CXCL9;Unkn;LM36;78
;A02;SYBR;IL-10;Unkn;LM36;78,5
;A03;SYBR;IL-12;Unkn;LM36;79
;A04;SYBR;IL-6;Unkn;LM36;75,5
;A05;SYBR;IFN-y;Unkn;LM36;79,5
;A06;SYBR;STAT6;Unkn;LM36;82
;A07;SYBR;TGF-b;Unkn;LM36;83
;A08;SYBR;Ppia;Pos Ctrl;LM36;83
;A09;SYBR;Ppip;Pos Ctrl;LM36;None
;A10;SYBR;CDC42;Pos Ctrl;LM36;None
;A11;SYBR;;Neg Ctrl;;None
;B01;SYBR;CXCL9;Unkn;LM36;78
;B02;SYBR;IL-10;Unkn;LM36;78,5
;B03;SYBR;IL-12;Unkn;LM36;79
;B04;SYBR;IL-6;Unkn;LM36;75
;B05;SYBR;IFN-y;Unkn;LM36;79
;B06;SYBR;STAT6;Unkn;LM36;81,5
;B07;SYBR;TGF-b;Unkn;LM36;82,5
;B08;SYBR;Ppia;Pos Ctrl;LM36;82,5
;B09;SYBR;Ppip;Pos Ctrl;LM36;82,5
;B10;SYBR;CDC42;Pos Ctrl;LM36;None
;B11;SYBR;;Neg Ctrl;;None
;C01;SYBR;CXCL9;Unkn;LM37;77,5
;C02;SYBR;IL-10;Unkn;LM37;78,5
;C03;SYBR;IL-12;Unkn;LM37;78,5
;C04;SYBR;IL-6;Unkn;LM37;75
;C05;SYBR;IFN-y;Unkn;LM37;79
;C06;SYBR;STAT6;Unkn;LM37;81,5
;C07;SYBR;TGF-b;Unkn;LM37;82,5
;C08;SYBR;Ppia;Pos Ctrl;LM37;82,5
;C09;SYBR;Ppip;Pos Ctrl;LM37;82,5
;C10;SYBR;CDC42;Pos Ctrl;LM37;None
;C11;SYBR;;Neg Ctrl;;None
;D01;SYBR;CXCL9;Unkn;LM37;78
;D02;SYBR;IL-10;Unkn;LM37;78,5
;D03;SYBR;IL-12;Unkn;LM37;79
;D04;SYBR;IL-6;Unkn;LM37;75
;D05;SYBR;IFN-y;Unkn;LM37;79
;D06;SYBR;STAT6;Unkn;LM37;81,5
;D07;SYBR;TGF-b;Unkn;LM37;82,5
;D08;SYBR;Ppia;Pos Ctrl;LM37;82,5
;D09;SYBR;Ppip;Pos Ctrl;LM37;82,5
;D10;SYBR;CDC42;Pos Ctrl;LM37;79,5
;D11;SYBR;;Neg Ctrl;;None
;E01;SYBR;CXCL9;Unkn;LM38;77,5
;E02;SYBR;IL-10;Unkn;LM38;78,5
;E03;SYBR;IL-12;Unkn;LM38;78,5
;E04;SYBR;IL-6;Unkn;LM38;75
;E05;SYBR;IFN-y;Unkn;LM38;80,5
;E06;SYBR;STAT6;Unkn;LM38;81,5
;E07;SYBR;TGF-b;Unkn;LM38;82,5
;E08;SYBR;Ppia;Pos Ctrl;LM38;82,5
;E09;SYBR;Ppip;Pos Ctrl;LM38;82,5
;E10;SYBR;CDC42;Pos Ctrl;LM38;79,5
;E11;SYBR;;Neg Ctrl;;None
;F01;SYBR;CXCL9;Unkn;LM38;77,5
;F02;SYBR;IL-10;Unkn;LM38;78,5
;F03;SYBR;IL-12;Unkn;LM38;78,5
;F04;SYBR;IL-6;Unkn;LM38;75
;F05;SYBR;IFN-y;Unkn;LM38;80,5
;F06;SYBR;STAT6;Unkn;LM38;81,5
;F07;SYBR;TGF-b;Unkn;LM38;82,5
;F08;SYBR;Ppia;Pos Ctrl;LM38;82,5
;F09;SYBR;Ppip;Pos Ctrl;LM38;82,5
;F10;SYBR;CDC42;Pos Ctrl;LM38;79,5
;F11;SYBR;;Neg Ctrl;;None
;G01;SYBR;CXCL9;Unkn;LM39;77,5
;G02;SYBR;IL-10;Unkn;LM39;78,5
;G03;SYBR;IL-12;Unkn;LM39;79
;G04;SYBR;IL-6;Unkn;LM39;75
;G05;SYBR;IFN-y;Unkn;LM39;79
;G06;SYBR;STAT6;Unkn;LM39;81,5
;G07;SYBR;TGF-b;Unkn;LM39;82,5
;G08;SYBR;Ppia;Pos Ctrl;LM39;82,5
;G09;SYBR;Ppip;Pos Ctrl;LM39;82,5
;G10;SYBR;CDC42;Pos Ctrl;LM39;80
;G11;SYBR;;Neg Ctrl;;None
;H01;SYBR;CXCL9;Unkn;LM39;77,5
;H02;SYBR;IL-10;Unkn;LM39;78,5
;H03;SYBR;IL-12;Unkn;LM39;79
;H04;SYBR;IL-6;Unkn;LM39;75
;H05;SYBR;IFN-y;Unkn;LM39;78,5
;H06;SYBR;STAT6;Unkn;LM39;81,5
;H07;SYBR;TGF-b;Unkn;LM39;82,5
;H08;SYBR;Ppia;Pos Ctrl;LM39;83
;H09;SYBR;Ppip;Pos Ctrl;LM39;83
;H10;SYBR;CDC42;Pos Ctrl;LM39;80
;H11;SYBR;;Neg Ctrl;;None
