;Well;Fluor;Target;Content;Sample;Melt Temp
;A01;SYBR;CXCL9;Unkn;MouseCaecum1;None
;A02;SYBR;IL-10;Unkn;MouseCaecum1;78
;A03;SYBR;IL-12;Unkn;MouseCaecum1;78,5
;A04;SYBR;IL-6;Unkn;MouseCaecum1;74,5
;A05;SYBR;IFN-g;Unkn;MouseCaecum1;79
;A06;SYBR;STAT6;Unkn;MouseCaecum1;82
;A07;SYBR;TGF-b;Unkn;MouseCaecum1;83
;A08;SYBR;Ppia;Unkn;MouseCaecum1;83
;A09;SYBR;Ppib;Pos Ctrl;MouseCaecum1;None
;A10;SYBR;CDC42;Pos Ctrl;MouseCaecum1;None
;A11;SYBR;;Neg Ctrl;;None
;B01;SYBR;CXCL9;Unkn;MouseCaecum1;77,5
;B02;SYBR;IL-10;Unkn;MouseCaecum1;78
;B03;SYBR;IL-12;Unkn;MouseCaecum1;78
;B04;SYBR;IL-6;Unkn;MouseCaecum1;74,5
;B05;SYBR;IFN-g;Unkn;MouseCaecum1;78,5
;B06;SYBR;STAT6;Unkn;MouseCaecum1;81,5
;B07;SYBR;TGF-b;Unkn;MouseCaecum1;82,5
;B08;SYBR;Ppia;Unkn;MouseCaecum1;None
;B09;SYBR;Ppib;Pos Ctrl;MouseCaecum1;None
;B10;SYBR;CDC42;Pos Ctrl;MouseCaecum1;None
;B11;SYBR;;Neg Ctrl;;None
;C01;SYBR;CXCL9;Unkn;MouseCaecum2;77
;C02;SYBR;IL-10;Unkn;MouseCaecum2;78
;C03;SYBR;IL-12;Unkn;MouseCaecum2;None
;C04;SYBR;IL-6;Unkn;MouseCaecum2;74,5
;C05;SYBR;IFN-g;Unkn;MouseCaecum2;79
;C06;SYBR;STAT6;Unkn;MouseCaecum2;82
;C07;SYBR;TGF-b;Unkn;MouseCaecum2;82,5
;C08;SYBR;Ppia;Unkn;MouseCaecum2;82,5
;C09;SYBR;Ppib;Pos Ctrl;MouseCaecum2;None
;C10;SYBR;CDC42;Pos Ctrl;MouseCaecum2;None
;C11;SYBR;;Neg Ctrl;;None
;D01;SYBR;CXCL9;Unkn;MouseCaecum2;77,5
;D02;SYBR;IL-10;Unkn;MouseCaecum2;78,5
;D03;SYBR;IL-12;Unkn;MouseCaecum2;None
;D04;SYBR;IL-6;Unkn;MouseCaecum2;74,5
;D05;SYBR;IFN-g;Unkn;MouseCaecum2;78,5
;D06;SYBR;STAT6;Unkn;MouseCaecum2;81,5
;D07;SYBR;TGF-b;Unkn;MouseCaecum2;82,5
;D08;SYBR;Ppia;Unkn;MouseCaecum2;82,5
;D09;SYBR;Ppib;Pos Ctrl;MouseCaecum2;None
;D10;SYBR;CDC42;Pos Ctrl;MouseCaecum2;None
;D11;SYBR;;Neg Ctrl;;None
;E01;SYBR;CXCL9;Unkn;MouseCaecum3;77,5
;E02;SYBR;IL-10;Unkn;MouseCaecum3;None
;E03;SYBR;IL-12;Unkn;MouseCaecum3;None
;E04;SYBR;IL-6;Unkn;MouseCaecum3;74,5
;E05;SYBR;IFN-g;Unkn;MouseCaecum3;None
;E06;SYBR;STAT6;Unkn;MouseCaecum3;81,5
;E07;SYBR;TGF-b;Unkn;MouseCaecum3;None
;E08;SYBR;Ppia;Unkn;MouseCaecum3;82
;E09;SYBR;Ppib;Pos Ctrl;MouseCaecum3;None
;E10;SYBR;CDC42;Pos Ctrl;MouseCaecum3;None
;E11;SYBR;;Neg Ctrl;;None
;F01;SYBR;CXCL9;Unkn;MouseCaecum3;77,5
;F02;SYBR;IL-10;Unkn;MouseCaecum3;None
;F03;SYBR;IL-12;Unkn;MouseCaecum3;None
;F04;SYBR;IL-6;Unkn;MouseCaecum3;74,5
;F05;SYBR;IFN-g;Unkn;MouseCaecum3;None
;F06;SYBR;STAT6;Unkn;MouseCaecum3;81,5
;F07;SYBR;TGF-b;Unkn;MouseCaecum3;82,5
;F08;SYBR;Ppia;Unkn;MouseCaecum3;82
;F09;SYBR;Ppib;Pos Ctrl;MouseCaecum3;None
;F10;SYBR;CDC42;Pos Ctrl;MouseCaecum3;None
;F11;SYBR;;Neg Ctrl;;None
;G01;SYBR;CXCL9;Unkn;MouseCaecum4;77,5
;G02;SYBR;IL-10;Unkn;MouseCaecum4;None
;G03;SYBR;IL-12;Unkn;MouseCaecum4;None
;G04;SYBR;IL-6;Unkn;MouseCaecum4;75
;G05;SYBR;IFN-g;Unkn;MouseCaecum4;78,5
;G06;SYBR;STAT6;Unkn;MouseCaecum4;81
;G07;SYBR;TGF-b;Unkn;MouseCaecum4;82
;G08;SYBR;Ppia;Unkn;MouseCaecum4;82
;G09;SYBR;Ppib;Pos Ctrl;MouseCaecum4;82,5
;G10;SYBR;CDC42;Pos Ctrl;MouseCaecum4;None
;G11;SYBR;;Neg Ctrl;;None
;H01;SYBR;CXCL9;Unkn;MouseCaecum4;None
;H02;SYBR;IL-10;Unkn;MouseCaecum4;None
;H03;SYBR;IL-12;Unkn;MouseCaecum4;None
;H04;SYBR;IL-6;Unkn;MouseCaecum4;74,5
;H05;SYBR;IFN-g;Unkn;MouseCaecum4;79
;H06;SYBR;STAT6;Unkn;MouseCaecum4;81,5
;H07;SYBR;TGF-b;Unkn;MouseCaecum4;82,5
;H08;SYBR;Ppia;Unkn;MouseCaecum4;82,5
;H09;SYBR;Ppib;Pos Ctrl;MouseCaecum4;None
;H10;SYBR;CDC42;Pos Ctrl;MouseCaecum4;None
;H11;SYBR;;Neg Ctrl;;None
