;Well;Fluor;Target;Content;Sample;Melt Temperature;Peak Height;Begin Temperature;End Temperature;Well Note
;A01;SYBR;CXCL9;Unkn;MouseCaecum1;None;None;None;None;
;A02;SYBR;IL-10;Unkn;MouseCaecum1;78;390,328397333855;73;83,5;
;A03;SYBR;IL-12;Unkn;MouseCaecum1;78,5;355,575724095932;73;83,5;
;A04;SYBR;IL-6;Unkn;MouseCaecum1;74,5;398,424167173079;67,5;80;
;A05;SYBR;IFN-g;Unkn;MouseCaecum1;79;546,700805593054;68;88;
;A06;SYBR;STAT6;Unkn;MouseCaecum1;82;288,226709173905;67,5;88;
;A07;SYBR;TGF-b;Unkn;MouseCaecum1;83;311,787196114718;78,5;90,5;
;A08;SYBR;Ppia;Unkn;MouseCaecum1;83;205,235868264669;72,5;88,5;
;A09;SYBR;Ppib;Pos Ctrl;MouseCaecum1;None;None;None;None;
;A10;SYBR;CDC42;Pos Ctrl;MouseCaecum1;None;None;None;None;
;A11;SYBR;;Neg Ctrl;;None;None;None;None;
;B01;SYBR;CXCL9;Unkn;MouseCaecum1;77,5;422,038897165838;67,5;82;
;B02;SYBR;IL-10;Unkn;MouseCaecum1;78;403,233423395587;67,5;83;
;B03;SYBR;IL-12;Unkn;MouseCaecum1;78;333,365809976471;71;85,5;
;B04;SYBR;IL-6;Unkn;MouseCaecum1;74,5;436,198377582956;67,5;79,5;
;B05;SYBR;IFN-g;Unkn;MouseCaecum1;78,5;598,083214425097;67,5;86,5;
;B06;SYBR;STAT6;Unkn;MouseCaecum1;81,5;311,763923896105;76;89,5;
;B07;SYBR;TGF-b;Unkn;MouseCaecum1;82,5;381,884286190753;70;89;
;B08;SYBR;Ppia;Unkn;MouseCaecum1;None;None;None;None;
;B09;SYBR;Ppib;Pos Ctrl;MouseCaecum1;None;None;None;None;
;B10;SYBR;CDC42;Pos Ctrl;MouseCaecum1;None;None;None;None;
;B11;SYBR;;Neg Ctrl;;None;None;None;None;
;C01;SYBR;CXCL9;Unkn;MouseCaecum2;77;397,304243066986;67,5;85;
;C02;SYBR;IL-10;Unkn;MouseCaecum2;78;243,922315811798;71;81,5;
;C03;SYBR;IL-12;Unkn;MouseCaecum2;None;None;None;None;
;C04;SYBR;IL-6;Unkn;MouseCaecum2;74,5;396,375435525231;67,5;81;
;C05;SYBR;IFN-g;Unkn;MouseCaecum2;79;361,134211291987;67,5;88,5;
;C06;SYBR;STAT6;Unkn;MouseCaecum2;82;350,887675904726;68,5;87;
;C07;SYBR;TGF-b;Unkn;MouseCaecum2;82,5;390,809323642922;79;88,5;
;C08;SYBR;Ppia;Unkn;MouseCaecum2;82,5;247,973760404187;71;90,5;
;C09;SYBR;Ppib;Pos Ctrl;MouseCaecum2;None;None;None;None;
;C10;SYBR;CDC42;Pos Ctrl;MouseCaecum2;None;None;None;None;
;C11;SYBR;;Neg Ctrl;;None;None;None;None;
;D01;SYBR;CXCL9;Unkn;MouseCaecum2;77,5;404,726884072741;67,5;84;
;D02;SYBR;IL-10;Unkn;MouseCaecum2;78,5;227,799350507756;70,5;81,5;
;D03;SYBR;IL-12;Unkn;MouseCaecum2;None;None;None;None;
;D04;SYBR;IL-6;Unkn;MouseCaecum2;74,5;431,808385718923;67,5;79,5;
;D05;SYBR;IFN-g;Unkn;MouseCaecum2;78,5;396,839009368459;67,5;89,5;
;D06;SYBR;STAT6;Unkn;MouseCaecum2;81,5;350,9942038708;72;95;
;D07;SYBR;TGF-b;Unkn;MouseCaecum2;82,5;408,133926468669;75,5;88;
;D08;SYBR;Ppia;Unkn;MouseCaecum2;82,5;318,972683126166;71;87;
;D09;SYBR;Ppib;Pos Ctrl;MouseCaecum2;None;None;None;None;
;D10;SYBR;CDC42;Pos Ctrl;MouseCaecum2;None;None;None;None;
;D11;SYBR;;Neg Ctrl;;None;None;None;None;
;E01;SYBR;CXCL9;Unkn;MouseCaecum3;77,5;400,883194276877;67,5;83;
;E02;SYBR;IL-10;Unkn;MouseCaecum3;None;None;None;None;
;E03;SYBR;IL-12;Unkn;MouseCaecum3;None;None;None;None;
;E04;SYBR;IL-6;Unkn;MouseCaecum3;74,5;318,934481125198;67,5;80,5;
;E05;SYBR;IFN-g;Unkn;MouseCaecum3;None;None;None;None;
;E06;SYBR;STAT6;Unkn;MouseCaecum3;81,5;243,744924888457;71;87,5;
;E07;SYBR;TGF-b;Unkn;MouseCaecum3;None;None;None;None;
;E08;SYBR;Ppia;Unkn;MouseCaecum3;82;227,574009473065;71;87;
;E09;SYBR;Ppib;Pos Ctrl;MouseCaecum3;None;None;None;None;
;E10;SYBR;CDC42;Pos Ctrl;MouseCaecum3;None;None;None;None;
;E11;SYBR;;Neg Ctrl;;None;None;None;None;
;F01;SYBR;CXCL9;Unkn;MouseCaecum3;77,5;366,446691210261;67,5;84,5;
;F02;SYBR;IL-10;Unkn;MouseCaecum3;None;None;None;None;
;F03;SYBR;IL-12;Unkn;MouseCaecum3;None;None;None;None;
