

Software Version;3.08.01



Experiment File Path:;C:\Users\User\Documents\Experiments\Lubomir\IFN-y_mouse_samples_Lubomir_Bednar_200203_0001.xpt
Protocol File Path:;C:\Users\User\Documents\Protocols\IFN-y_mouse_samples_Lubomir_Bednar.prt



Plate Number;Plate 1
Date;03.02.2020
Time;15:00:23
Reader Type:;Synergy HTX
Reader Serial Number:;1708301D
Reading Type;Reader

Procedure Details

Plate Type;96 WELL PLATE (Use plate lid)
Eject plate on completion;
Read;IFNy1
;Absorbance Endpoint
;Full Plate
;Wavelengths:  450
;Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8
Set Temperature;Incubator off
Shake;Orbital: 0:10 (MM:SS)
;Frequency: 205 cpm (5 mm)
Read;IFNy2
;Absorbance Endpoint
;Full Plate
;Wavelengths:  450
;Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8
Shake;Orbital: 0:10 (MM:SS)
;Frequency: 205 cpm (5 mm)
Read;IFNy3
;Absorbance Endpoint
;Full Plate
;Wavelengths:  450
;Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8
Plate Out;

Layout
;1;2;3;4;5;6;7;8;9;10;11;12
A;STD1;STD1;SPL1:1;SPL1:1;;;;;SPL4:1;SPL4:1;STDB1;STDB1;Well ID
;250;250;1;1;;;;;1;1;250;250;Conc/Dil
B;STD2;STD2;SPL1:2;SPL1:2;;;SPL3:2;SPL3:2;SPL4:2;SPL4:2;STDB2;STDB2;Well ID
;125;125;0,5;0,5;;;0,5;0,5;0,5;0,5;125;125;Conc/Dil
C;STD3;STD3;SPL1:3;SPL1:3;SPL2:3;SPL2:3;SPL3:3;SPL3:3;SPL4:3;SPL4:3;STDB3;STDB3;Well ID
;62,5;62,5;0,25;0,25;0,25;0,25;0,25;0,25;0,25;0,25;62,5;62,5;Conc/Dil
D;STD4;STD4;SPL1:4;SPL1:4;SPL2:4;SPL2:4;SPL3:4;SPL3:4;SPL4:4;SPL4:4;STDB4;STDB4;Well ID
;31,25;31,25;0,125;0,125;0,125;0,125;0,125;0,125;0,125;0,125;31,25;31,25;Conc/Dil
E;STD5;STD5;SPL1:5;SPL1:5;SPL2:5;SPL2:5;SPL3:5;SPL3:5;SPL4:5;SPL4:5;STDB5;STDB5;Well ID
;15,625;15,625;0,0625;0,0625;0,0625;0,0625;0,0625;0,0625;0,0625;0,0625;15,625;15,625;Conc/Dil
F;STD6;STD6;SPL1:6;SPL1:6;SPL2:6;SPL2:6;SPL3:6;SPL3:6;SPL4:6;SPL4:6;STDB6;STDB6;Well ID
;7,8125;7,8125;0,03125;0,03125;0,03125;0,03125;0,03125;0,03125;0,03125;0,03125;7,8125;7,8125;Conc/Dil
G;STD7;STD7;SPL1:7;SPL1:7;SPL2:7;SPL2:7;SPL3:7;SPL3:7;SPL4:7;SPL4:7;STDB7;STDB7;Well ID
;3,9063;3,9063;0,015625;0,015625;0,015625;0,015625;0,015625;0,015625;0,015625;0,015625;3,9063;3,9063;Conc/Dil
H;BLK;BLK;SPL1:8;SPL1:8;SPL2:8;SPL2:8;SPL3:8;SPL3:8;SPL4:8;SPL4:8;BLK;BLK;Well ID
;;;0,0078125;0,0078125;0,0078125;0,0078125;0,0078125;0,0078125;0,0078125;0,0078125;;;Conc/Dil



Actual Temperature:;24,1

IFNy1:450
;1;2;3;4;5;6;7;8;9;10;11;12
A;0,072;0,072;0,069;0,067;;;;;0,069;0,070;0,081;0,103;IFNy1:450
B;0,066;0,071;0,068;0,071;;;0,062;0,073;0,071;0,065;0,071;0,072;IFNy1:450
C;0,077;0,065;0,074;0,076;0,064;0,067;0,063;0,065;0,061;0,063;0,067;0,070;IFNy1:450
D;0,070;0,063;0,065;0,064;0,059;0,080;0,075;0,076;0,065;0,066;0,064;0,072;IFNy1:450
E;0,068;0,069;0,071;0,065;0,076;0,065;0,069;0,074;0,066;0,060;0,070;0,064;IFNy1:450
F;0,075;0,066;0,063;0,059;0,063;0,063;0,058;0,064;0,062;0,069;0,075;0,068;IFNy1:450
G;0,074;0,067;0,063;0,057;0,062;0,064;0,064;0,066;0,061;0,066;0,064;0,066;IFNy1:450
H;0,063;0,072;0,062;0,087;0,072;0,063;0,066;0,064;0,067;0,062;0,065;0,064;IFNy1:450



Actual Temperature:;24,1

IFNy2:450
;1;2;3;4;5;6;7;8;9;10;11;12
A;0,072;0,072;0,070;0,066;;;;;0,069;0,070;0,081;0,102;IFNy2:450
B;0,066;0,072;0,069;0,071;;;0,062;0,073;0,071;0,064;0,071;0,072;IFNy2:450
C;0,076;0,065;0,074;0,076;0,063;0,066;0,063;0,065;0,061;0,063;0,067;0,070;IFNy2:450
D;0,070;0,063;0,066;0,064;0,059;0,080;0,075;0,074;0,065;0,065;0,064;0,071;IFNy2:450
E;0,068;0,069;0,071;0,065;0,075;0,063;0,068;0,073;0,066;0,060;0,070;0,063;IFNy2:450
F;0,075;0,066;0,062;0,058;0,059;0,060;0,058;0,063;0,062;0,069;0,075;0,067;IFNy2:450
G;0,073;0,066;0,062;0,057;0,061;0,062;0,062;0,063;0,060;0,064;0,064;0,065;IFNy2:450
H;0,064;0,072;0,062;0,086;0,071;0,061;0,065;0,063;0,065;0,061;0,064;0,061;IFNy2:450



Actual Temperature:;24,1

IFNy3:450
;1;2;3;4;5;6;7;8;9;10;11;12
A;0,072;0,072;0,070;0,067;;;;;0,070;0,071;0,081;0,102;IFNy3:450
B;0,066;0,071;0,068;0,071;;;0,062;0,074;0,071;0,065;0,072;0,073;IFNy3:450
C;0,075;0,064;0,074;0,075;0,063;0,067;0,063;0,065;0,061;0,063;0,068;0,070;IFNy3:450
D;0,070;0,063;0,064;0,064;0,059;0,080;0,075;0,075;0,065;0,066;0,064;0,072;IFNy3:450
E;0,068;0,068;0,070;0,065;0,075;0,064;0,068;0,074;0,066;0,060;0,070;0,064;IFNy3:450
F;0,073;0,065;0,061;0,058;0,059;0,060;0,058;0,063;0,062;0,069;0,075;0,068;IFNy3:450
G;0,074;0,066;0,062;0,057;0,060;0,062;0,062;0,064;0,060;0,064;0,064;0,065;IFNy3:450
H;0,063;0,071;0,061;0,085;0,071;0,061;0,064;0,063;0,066;0,060;0,065;0,062;IFNy3:450

Blank IFNy1:450
;1;2;3;4;5;6;7;8;9;10;11;12
A;0,007;0,006;0,004;0,001;;;;;0,003;0,004;0,015;0,037;Blank IFNy1:450
B;-0,000;0,006;0,003;0,005;;;-0,004;0,007;0,005;-0,001;0,005;0,006;Blank IFNy1:450
C;0,011;-0,001;0,008;0,010;-0,002;0,001;-0,003;-0,001;-0,005;-0,003;0,001;0,004;Blank IFNy1:450
D;0,004;-0,003;-0,000;-0,002;-0,006;0,014;0,009;0,010;-0,001;0,000;-0,002;0,006;Blank IFNy1:450
E;0,002;0,003;0,006;-0,001;0,010;-0,001;0,003;0,009;0,000;-0,006;0,004;-0,002;Blank IFNy1:450
F;0,009;0,000;-0,003;-0,006;-0,003;-0,003;-0,008;-0,002;-0,004;0,003;0,010;0,002;Blank IFNy1:450
G;0,008;0,001;-0,003;-0,009;-0,004;-0,002;-0,002;0,000;-0,004;-0,000;-0,002;0,000;Blank IFNy1:450
H;-0,003;0,006;-0,003;0,021;0,006;-0,003;0,000;-0,002;0,001;-0,004;-0,001;-0,002;Blank IFNy1:450

Blank IFNy2:450
;1;2;3;4;5;6;7;8;9;10;11;12
A;0,007;0,006;0,004;0,001;;;;;0,004;0,005;0,016;0,036;Blank IFNy2:450
B;0,000;0,006;0,003;0,006;;;-0,004;0,008;0,005;-0,001;0,006;0,007;Blank IFNy2:450
C;0,011;-0,001;0,009;0,010;-0,002;0,001;-0,002;-0,001;-0,004;-0,002;0,002;0,004;Blank IFNy2:450
D;0,005;-0,002;0,000;-0,002;-0,006;0,014;0,010;0,009;-0,000;0,000;-0,002;0,005;Blank IFNy2:450
E;0,003;0,004;0,005;-0,000;0,010;-0,002;0,002;0,008;0,001;-0,005;0,004;-0,002;Blank IFNy2:450
F;0,009;0,001;-0,003;-0,007;-0,006;-0,006;-0,008;-0,002;-0,004;0,003;0,009;0,002;Blank IFNy2:450
G;0,008;0,001;-0,004;-0,009;-0,005;-0,003;-0,003;-0,003;-0,005;-0,002;-0,002;-0,000;Blank IFNy2:450
H;-0,002;0,007;-0,003;0,021;0,006;-0,004;-0,001;-0,003;-0,000;-0,004;-0,001;-0,004;Blank IFNy2:450

Blank IFNy3:450
;1;2;3;4;5;6;7;8;9;10;11;12
A;0,007;0,007;0,004;0,001;;;;;0,004;0,006;0,016;0,037;Blank IFNy3:450
B;0,001;0,006;0,003;0,006;;;-0,003;0,009;0,006;-0,001;0,006;0,008;Blank IFNy3:450
C;0,010;-0,001;0,009;0,010;-0,002;0,002;-0,002;-0,001;-0,004;-0,002;0,003;0,005;Blank IFNy3:450
D;0,005;-0,003;-0,002;-0,001;-0,006;0,014;0,010;0,010;0,000;0,001;-0,001;0,007;Blank IFNy3:450
E;0,003;0,003;0,004;-0,000;0,010;-0,002;0,002;0,009;0,001;-0,005;0,004;-0,001;Blank IFNy3:450
F;0,008;-0,000;-0,004;-0,007;-0,006;-0,005;-0,007;-0,003;-0,003;0,004;0,010;0,002;Blank IFNy3:450
G;0,008;0,000;-0,004;-0,009;-0,005;-0,003;-0,003;-0,002;-0,005;-0,001;-0,002;-0,000;Blank IFNy3:450
H;-0,002;0,006;-0,004;0,019;0,006;-0,004;-0,001;-0,003;0,000;-0,005;-0,001;-0,003;Blank IFNy3:450

