;Well;Fluor;Target;Content;Sample;Melt Temperature;Peak Height;Begin Temperature;End Temperature;Well Note
;A01;SYBR;CXCL9;Unkn;MouseCaecum1;78,5;338,165486617737;68;86;
;A02;SYBR;IL-10;Unkn;MouseCaecum1;79;368,570394696417;73,5;85;
;A03;SYBR;IL-12;Unkn;MouseCaecum1;80;338,602053888465;74;86;
;A04;SYBR;IL-6;Unkn;MouseCaecum1;76,5;250,417239582942;67,5;82;
;A05;SYBR;IFN-g;Unkn;MouseCaecum1;79;441,753054749326;68;86,5;
;A06;SYBR;STAT6;Unkn;MouseCaecum1;81,5;237,276567106242;68;85,5;
;A07;SYBR;TGF-b;Unkn;MouseCaecum1;82,5;320,526174168932;68;88;
;A08;SYBR;Ppia;Unkn;MouseCaecum1;82,5;289,058636910285;72,5;88;
;A09;SYBR;Ppib;Pos Ctrl;MouseCaecum1;82,5;272,944417980239;68;86,5;
;A10;SYBR;CDC42;Pos Ctrl;MouseCaecum1;79,5;227,599538018568;67,5;84;
;A11;SYBR;;Neg Ctrl;;None;None;None;None;
;B01;SYBR;CXCL9;Unkn;MouseCaecum1;79;392,347164991936;67,5;86;
;B02;SYBR;IL-10;Unkn;MouseCaecum1;79;386,775218756751;72;82,5;
;B03;SYBR;IL-12;Unkn;MouseCaecum1;80;323,916549354836;67,5;88,5;
;B04;SYBR;IL-6;Unkn;MouseCaecum1;76,5;259,709330605992;68;81,5;
;B05;SYBR;IFN-g;Unkn;MouseCaecum1;79;422,359680853061;72,5;87,5;
;B06;SYBR;STAT6;Unkn;MouseCaecum1;81,5;261,747672171865;74,5;85,5;
;B07;SYBR;TGF-b;Unkn;MouseCaecum1;82,5;356,084741904592;76;89,5;
;B08;SYBR;Ppia;Unkn;MouseCaecum1;82,5;321,758627139279;70,5;88;
;B09;SYBR;Ppib;Pos Ctrl;MouseCaecum1;82,5;293,863100946887;70,5;94;
;B10;SYBR;CDC42;Pos Ctrl;MouseCaecum1;None;None;None;None;
;B11;SYBR;;Neg Ctrl;;None;None;None;None;
;C01;SYBR;CXCL9;Unkn;MouseCaecum2;78,5;400,020097259328;71,5;83;
;C02;SYBR;IL-10;Unkn;MouseCaecum2;78,5;257,402333865887;71;82;
;C03;SYBR;IL-12;Unkn;MouseCaecum2;79,5;296,032950396344;73;87,5;
;C04;SYBR;IL-6;Unkn;MouseCaecum2;76,5;280,235179569412;68;83;
;C05;SYBR;IFN-g;Unkn;MouseCaecum2;None;None;None;None;
;C06;SYBR;STAT6;Unkn;MouseCaecum2;81,5;282,299137063721;67,5;90;
;C07;SYBR;TGF-b;Unkn;MouseCaecum2;82,5;390,814201374588;74,5;90;
;C08;SYBR;Ppia;Unkn;MouseCaecum2;82,5;337,754566050058;75;90;
;C09;SYBR;Ppib;Pos Ctrl;MouseCaecum2;82,5;294,143410183018;76;86,5;
;C10;SYBR;CDC42;Pos Ctrl;MouseCaecum2;79,5;254,276779032902;69,5;84;
;C11;SYBR;;Neg Ctrl;;None;None;None;None;
;D01;SYBR;CXCL9;Unkn;MouseCaecum2;78,5;377,614163300603;67,5;85;
;D02;SYBR;IL-10;Unkn;MouseCaecum2;None;None;None;None;
;D03;SYBR;IL-12;Unkn;MouseCaecum2;79,5;278,295976413543;72,5;87;
;D04;SYBR;IL-6;Unkn;MouseCaecum2;76,5;285,038125218493;68,5;86;
;D05;SYBR;IFN-g;Unkn;MouseCaecum2;78,5;484,984604329957;67,5;87;
;D06;SYBR;STAT6;Unkn;MouseCaecum2;81,5;285,874133807025;72,5;86;
;D07;SYBR;TGF-b;Unkn;MouseCaecum2;82,5;372,126445810151;73;86,5;
;D08;SYBR;Ppia;Unkn;MouseCaecum2;82,5;346,865272458354;75;88;
;D09;SYBR;Ppib;Pos Ctrl;MouseCaecum2;82,5;297,29162156339;75,5;90,5;
;D10;SYBR;CDC42;Pos Ctrl;MouseCaecum2;79,5;278,210149650572;69,5;90;
;D11;SYBR;;Neg Ctrl;;None;None;None;None;
;E01;SYBR;CXCL9;Unkn;MouseCaecum3;78;388,85719625135;67,5;85;
;E02;SYBR;IL-10;Unkn;MouseCaecum3;79;418,335537544099;67,5;82,5;
;E03;SYBR;IL-12;Unkn;MouseCaecum3;79,5;403,88948966297;71;87;
;E04;SYBR;IL-6;Unkn;MouseCaecum3;76;334,106182944475;67,5;84,5;
;E05;SYBR;IFN-g;Unkn;MouseCaecum3;78,5;556,789328501224;67,5;87,5;
;E06;SYBR;STAT6;Unkn;MouseCaecum3;81,5;322,059399204818;72;86;
;E07;SYBR;TGF-b;Unkn;MouseCaecum3;82;437,652381947912;73;86;
;E08;SYBR;Ppia;Unkn;MouseCaecum3;82;443,343469538296;73;87,5;
;E09;SYBR;Ppib;Pos Ctrl;MouseCaecum3;82;392,187158808316;73,5;86;
;E10;SYBR;CDC42;Pos Ctrl;MouseCaecum3;79;348,577074234637;74;84,5;
;E11;SYBR;;Neg Ctrl;;None;None;None;None;
;F01;SYBR;CXCL9;Unkn;MouseCaecum3;78,5;420,502193348058;67,5;85,5;
;F02;SYBR;IL-10;Unkn;MouseCaecum3;79;394,784251876701;75;83,5;
;F03;SYBR;IL-12;Unkn;MouseCaecum3;79,5;383,696686938177;67,5;90;
;F04;SYBR;IL-6;Unkn;MouseCaecum3;76,5;297,081559029355;68;82;
;F05;SYBR;IFN-g;Unkn;MouseCaecum3;79;514,779834716015;67,5;86;
;F06;SYBR;STAT6;Unkn;MouseCaecum3;81,5;302,445515712093;72;87,5;
;F07;SYBR;TGF-b;Unkn;MouseCaecum3;82,5;437,800767464582;74,5;86,5;
;F08;SYBR;Ppia;Unkn;MouseCaecum3;82,5;395,474119216172;74,5;87;
;F09;SYBR;Ppib;Pos Ctrl;MouseCaecum3;82,5;338,000094899804;75;90,5;
;F10;SYBR;CDC42;Pos Ctrl;MouseCaecum3;79;234,144436095526;75;86;
;F11;SYBR;;Neg Ctrl;;None;None;None;None;
;G01;SYBR;CXCL9;Unkn;MouseCaecum4;78,5;411,853481028477;72,5;84;
;G02;SYBR;IL-10;Unkn;MouseCaecum4;None;None;None;None;
;G03;SYBR;IL-12;Unkn;MouseCaecum4;79,5;274,361483722611;67,5;82,5;
;G04;SYBR;IL-6;Unkn;MouseCaecum4;76,5;315,485113260123;68;82;
;G05;SYBR;IFN-g;Unkn;MouseCaecum4;79;368,629650093473;67,5;86,5;
;G06;SYBR;STAT6;Unkn;MouseCaecum4;81,5;288,355824906937;74;87;
;G07;SYBR;TGF-b;Unkn;MouseCaecum4;82,5;349,731021636572;74,5;90,5;
;G08;SYBR;Ppia;Unkn;MouseCaecum4;82;359,304268799351;75;89;
;G09;SYBR;Ppib;Pos Ctrl;MouseCaecum4;82;338,429518961758;76;89,5;
;G10;SYBR;CDC42;Pos Ctrl;MouseCaecum4;79,5;314,011562208363;74,5;86;
;G11;SYBR;;Neg Ctrl;;None;None;None;None;
;H01;SYBR;CXCL9;Unkn;MouseCaecum4;78;350,646654479702;67,5;83;
