;Target;Sample;Mean Cq;Mean Efficiency Corrected Cq;Normalized Expression;Relative Normalized Expression;Regulation;Compared to Regulation Threshold;P-Value;Exceeds P-Value Threshold
;CDC42;MouseCaecum1;n. def.;n. def.;n. def.;n. def.;n. def.;No change;n. def.;No
;CDC42;MouseCaecum2;29,1600993465313;29,1600993465313;n. def.;n. def.;n. def.;No change;n. def.;No
;CDC42;MouseCaecum3;26,6138010951175;26,6138010951175;n. def.;n. def.;n. def.;No change;n. def.;No
;CDC42;MouseCaecum4;24,0543705929289;24,0543705929289;n. def.;n. def.;n. def.;No change;n. def.;No
;CXCL9;MouseCaecum1;39,8586317175848;39,8586317175848;n. def.;n. def.;n. def.;No change;n. def.;No
;CXCL9;MouseCaecum2;31,5596044808742;31,5596044808742;0,00251168810434043;n. def.;n. def.;No change;n. def.;No
;CXCL9;MouseCaecum3;23,1227833744358;23,1227833744358;0,101573526625897;n. def.;n. def.;No change;n. def.;No
;CXCL9;MouseCaecum4;14,5425374180894;14,5425374180894;12,5770682446164;n. def.;n. def.;No change;n. def.;No
;IFN-g;MouseCaecum1;31,3403928177779;31,3403928177779;n. def.;n. def.;n. def.;No change;n. def.;No
;IFN-g;MouseCaecum2;34,239303227849;34,239303227849;0,000392008971645314;n. def.;n. def.;No change;n. def.;No
;IFN-g;MouseCaecum3;24,7843740825214;24,7843740825214;0,0321064203786315;n. def.;n. def.;No change;n. def.;No
;IFN-g;MouseCaecum4;31,5102558311467;31,5102558311467;9,8126705281161E-05;n. def.;n. def.;No change;n. def.;No
;IL-10;MouseCaecum1;39,4285823088778;39,4285823088778;n. def.;n. def.;n. def.;No change;n. def.;No
;IL-10;MouseCaecum2;35,5294951904795;35,5294951904795;0,000160291142945929;n. def.;n. def.;No change;n. def.;No
;IL-10;MouseCaecum3;28,9854218826599;28,9854218826599;0,00174562312546294;n. def.;n. def.;No change;n. def.;No
;IL-10;MouseCaecum4;29,3034326069376;29,3034326069376;0,000453009388515402;n. def.;n. def.;No change;n. def.;No
;IL-12;MouseCaecum1;34,4208889307712;34,4208889307712;n. def.;n. def.;n. def.;No change;n. def.;No
;IL-12;MouseCaecum2;38,4834963524328;38,4834963524328;2,06855259933138E-05;n. def.;n. def.;No change;n. def.;No
;IL-12;MouseCaecum3;29,9006113002076;29,9006113002076;0,000925658983443102;n. def.;n. def.;No change;n. def.;No
;IL-12;MouseCaecum4;30,9465885927931;30,9465885927931;0,000145033378379736;n. def.;n. def.;No change;n. def.;No
;IL-6;MouseCaecum1;31,5170001428005;31,5170001428005;n. def.;n. def.;n. def.;No change;n. def.;No
;IL-6;MouseCaecum2;31,5140969220231;31,5140969220231;0,00259217817044215;n. def.;n. def.;No change;n. def.;No
;IL-6;MouseCaecum3;29,6238914418652;29,6238914418652;0,00112137791348653;n. def.;n. def.;No change;n. def.;No
;IL-6;MouseCaecum4;30,2634592843815;30,2634592843815;0,000232868301869273;n. def.;n. def.;No change;n. def.;No
;Ppia;MouseCaecum1;20,8263636797811;20,8263636797811;n. def.;n. def.;n. def.;No change;n. def.;No
;Ppia;MouseCaecum2;19,2251792743017;19,2251792743017;n. def.;n. def.;n. def.;No change;n. def.;No
;Ppia;MouseCaecum3;15,2348362727497;15,2348362727497;n. def.;n. def.;n. def.;No change;n. def.;No
;Ppia;MouseCaecum4;14,1663035190292;14,1663035190292;n. def.;n. def.;n. def.;No change;n. def.;No
;Ppib;MouseCaecum1;22,2996652580568;22,2996652580568;n. def.;n. def.;n. def.;No change;n. def.;No
;Ppib;MouseCaecum2;20,3821539421899;20,3821539421899;n. def.;n. def.;n. def.;No change;n. def.;No
;Ppib;MouseCaecum3;17,6215017839309;17,6215017839309;n. def.;n. def.;n. def.;No change;n. def.;No
;Ppib;MouseCaecum4;16,3651094205192;16,3651094205192;n. def.;n. def.;n. def.;No change;n. def.;No
;STAT6;MouseCaecum1;33,9142347217006;33,9142347217006;n. def.;n. def.;n. def.;No change;n. def.;No
;STAT6;MouseCaecum2;30,5949716363294;30,5949716363294;0,00490172711314893;n. def.;n. def.;No change;n. def.;No
;STAT6;MouseCaecum3;26,4745831876275;26,4745831876275;0,00994920199225295;n. def.;n. def.;No change;n. def.;No
;STAT6;MouseCaecum4;26,0130308537742;26,0130308537742;0,00443217427035493;n. def.;n. def.;No change;n. def.;No
;TGF-b;MouseCaecum1;30,618917917817;30,618917917817;n. def.;n. def.;n. def.;No change;n. def.;No
;TGF-b;MouseCaecum2;29,2393438940722;29,2393438940722;0,0125439335033092;n. def.;n. def.;No change;n. def.;No
;TGF-b;MouseCaecum3;24,1670328085141;24,1670328085141;0,0492527097029116;n. def.;n. def.;No change;n. def.;No
;TGF-b;MouseCaecum4;23,1723635409166;23,1723635409166;0,0317499391377775;n. def.;n. def.;No change;n. def.;No
