;Well;Fluor;Target;Content;Sample;Melt Temperature;Peak Height;Begin Temperature;End Temperature;Well Note
;A01;Cy5;;Unkn;;None;None;None;None;
;A02;Cy5;;Unkn;;None;None;None;None;
;A03;Cy5;;Unkn;;93;6,75781995076201;87;95;
;A04;Cy5;;Unkn;;None;None;None;None;
;A05;Cy5;;Unkn;;None;None;None;None;
;A06;Cy5;;Unkn;;None;None;None;None;
;A07;Cy5;;Unkn;;None;None;None;None;
;A08;Cy5;;Unkn;;None;None;None;None;
;A09;Cy5;;Unkn;;None;None;None;None;
;A10;Cy5;;Unkn;;None;None;None;None;
;A11;Cy5;;Unkn;;94,5;9,57944607438105;92,5;95;
;A12;Cy5;;Unkn;;None;None;None;None;
;B01;Cy5;;Unkn;;None;None;None;None;
;B02;Cy5;;Unkn;;None;None;None;None;
;B03;Cy5;;Unkn;;94;7,25269590703309;90;95;
;B04;Cy5;;Unkn;;None;None;None;None;
;B05;Cy5;;Unkn;;None;None;None;None;
;B06;Cy5;;Unkn;;None;None;None;None;
;B07;Cy5;;Unkn;;None;None;None;None;
;B08;Cy5;;Unkn;;94,5;10,8463956301012;90,5;95;
;B09;Cy5;;Unkn;;None;None;None;None;
;B10;Cy5;;Unkn;;None;None;None;None;
;B11;Cy5;;Unkn;;None;None;None;None;
;B12;Cy5;;Unkn;;None;None;None;None;
;C01;Cy5;;Unkn;;None;None;None;None;
;C02;Cy5;;Unkn;;94,5;7,14274566550537;86;95;
;C03;Cy5;;Unkn;;None;None;None;None;
;C04;Cy5;;Unkn;;None;None;None;None;
;C05;Cy5;;Unkn;;None;None;None;None;
;C06;Cy5;;Unkn;;None;None;None;None;
;C07;Cy5;;Unkn;;94,5;8,86802846732093;92,5;95;
;C08;Cy5;;Unkn;;94,5;8,27636727052271;90,5;95;
;C09;Cy5;;Unkn;;94,5;7,04771192604204;92;95;
;C10;Cy5;;Unkn;;94,5;8,73643297215224;87;95;
;C11;Cy5;;Unkn;;94,5;11,1003096244204;92,5;95;
;C12;Cy5;;Unkn;;None;None;None;None;
;D01;Cy5;;Unkn;;94,5;7,29195734978268;91,5;95;
;D02;Cy5;;Unkn;;None;None;None;None;
;D03;Cy5;;Unkn;;94,5;7,97538249779586;90,5;95;
;D04;Cy5;;Unkn;;None;None;None;None;
;D05;Cy5;;Unkn;;94,5;9,00985783942241;88;95;
;D06;Cy5;;Unkn;;94,5;7,32724555281422;91,5;95;
;D07;Cy5;;Unkn;;94,5;6,9552929808257;88;95;
;D08;Cy5;;Unkn;;93;7,27083962012924;88,5;95;
;D09;Cy5;;Unkn;;None;None;None;None;
;D10;Cy5;;Unkn;;None;None;None;None;
;D11;Cy5;;Unkn;;None;None;None;None;
;D12;Cy5;;Unkn;;91,5;6,84111182147385;87,5;92,5;
;E01;Cy5;;Unkn;;None;None;None;None;
;E02;Cy5;;Unkn;;None;None;None;None;
;E03;Cy5;;Unkn;;None;None;None;None;
;E04;Cy5;;Unkn;;None;None;None;None;
;E05;Cy5;;Unkn;;None;None;None;None;
;E06;Cy5;;Unkn;;None;None;None;None;
;E07;Cy5;;Unkn;;None;None;None;None;
;E08;Cy5;;Unkn;;94,5;6,72623768719728;92;95;
;E09;Cy5;;Unkn;;None;None;None;None;
;E10;Cy5;;Unkn;;None;None;None;None;
;E11;Cy5;;Unkn;;94,5;8,23439214094222;93;95;
;E12;Cy5;;Unkn;;None;None;None;None;
;F01;Cy5;;Unkn;;None;None;None;None;
;F02;Cy5;;Unkn;;94,5;8,19236390531285;92,5;95;
;F03;Cy5;;Unkn;;None;None;None;None;
;F04;Cy5;;Unkn;;None;None;None;None;
;F05;Cy5;;Unkn;;94,5;6,97481088573159;90,5;95;
;F06;Cy5;;Unkn;;None;None;None;None;
;F07;Cy5;;Unkn;;None;None;None;None;
;F08;Cy5;;Unkn;;None;None;None;None;
;F09;Cy5;;Unkn;;None;None;None;None;
;F10;Cy5;;Unkn;;None;None;None;None;
;F11;Cy5;;Unkn;;None;None;None;None;
;F12;Cy5;;Unkn;;None;None;None;None;
;G01;Cy5;;Unkn;;94,5;7,51222363562715;89,5;95;
;G02;Cy5;;Unkn;;None;None;None;None;
;G03;Cy5;;Unkn;;94,5;6,95439501620427;92,5;95;
;G04;Cy5;;Unkn;;None;None;None;None;
;G05;Cy5;;Unkn;;None;None;None;None;
;G06;Cy5;;Unkn;;94,5;8,60611081769716;88,5;95;
;G07;Cy5;;Unkn;;94,5;6,73012626045934;93;95;
;G08;Cy5;;Unkn;;None;None;None;None;
;G09;Cy5;;Unkn;;94,5;7,99561275928917;92;95;
;G10;Cy5;;Unkn;;None;None;None;None;
;G11;Cy5;;Unkn;;None;None;None;None;
;G12;Cy5;;Unkn;;None;None;None;None;
;H01;Cy5;;Unkn;;None;None;None;None;
;H02;Cy5;;Unkn;;None;None;None;None;
;H03;Cy5;;Unkn;;None;None;None;None;
;H04;Cy5;;Unkn;;94,5;9,20125376778881;92,5;95;
;H05;Cy5;;Unkn;;94,5;7,69140612734705;88;95;
;H06;Cy5;;Unkn;;None;None;None;None;
;H07;Cy5;;Unkn;;94,5;6,90745470444318;88,5;95;
;H08;Cy5;;Unkn;;None;None;None;None;
;H09;Cy5;;Unkn;;None;None;None;None;
;H10;Cy5;;Unkn;;94,5;7,96409711821983;91,5;95;
;H11;Cy5;;Unkn;;None;None;None;None;
;H12;Cy5;;Unkn;;94,5;9,53753525632729;92,5;95;
;A01;FAM;;Unkn;;None;None;None;None;
;A02;FAM;;Unkn;;None;None;None;None;
;A03;FAM;;Unkn;;79,5;281,073962683784;67,5;86;
;A04;FAM;;Unkn;;79,5;437,107523092632;67,5;84,5;
