Pos,Name,Ct SYBR,Ct Mean SYBR,Ct Dev. SYBR,Amount SYBR,Target SYBR
A1,LM_0239,,,,-,CXCR3
A2,LM_0239,,,,-,CXCR3
B1,LM_0254,11.97,,,-,CXCR3
B2,LM_0254,,,,-,CXCR3
C1,LM_0234,38.03,,,-,CXCR3
C2,LM_0234,,,,-,CXCR3
D1,LM_0243,33.5,,,-,CXCR3
D2,LM_0243,,,,-,CXCR3
E1,LM_0236,37.52,29.51,11.33,-,CXCR3
E2,LM_0236,21.5,29.51,11.33,-,CXCR3
F1,LM_0239,35.32,,,-,CXCR3
F2,LM_0239,,,,-,CXCR3
A3,LM_0239,25.18,,,-,IRG6
A4,LM_0239,,,,-,IRG6
B3,LM_0254,,,,-,IRG6
B4,LM_0254,,,,-,IRG6
C3,LM_0234,21.81,22.07,0.36,-,IRG6
C4,LM_0234,22.32,22.07,0.36,-,IRG6
D3,LM_0243,22.01,21.73,0.4,-,IRG6
D4,LM_0243,21.45,21.73,0.4,-,IRG6
E3,LM_0236,21.99,21.35,0.9,-,IRG6
E4,LM_0236,20.71,21.35,0.9,-,IRG6
F3,LM_0239,25.95,23.66,3.23,-,IRG6
F4,LM_0239,21.37,23.66,3.23,-,IRG6
A5,LM_0239,,,,-,IL-12
A6,LM_0239,,,,-,IL-12
B5,LM_0254,,,,-,IL-12
B6,LM_0254,,,,-,IL-12
C5,LM_0234,25.12,25.85,1.03,-,IL-12
C6,LM_0234,26.58,25.85,1.03,-,IL-12
D5,LM_0243,24.83,25.46,0.89,-,IL-12
D6,LM_0243,26.09,25.46,0.89,-,IL-12
E5,LM_0236,24.25,24.4,0.22,-,IL-12
E6,LM_0236,24.55,24.4,0.22,-,IL-12
F5,LM_0239,24.23,22.92,1.85,-,IL-12
F6,LM_0239,21.61,22.92,1.85,-,IL-12
A7,LM_0239,,,,-,GAPDH
A8,LM_0239,,,,-,GAPDH
B7,LM_0254,37.46,30.63,9.66,-,GAPDH
B8,LM_0254,23.8,30.63,9.66,-,GAPDH
C7,LM_0234,20.53,19.08,2.06,-,GAPDH
C8,LM_0234,17.62,19.08,2.06,-,GAPDH
D7,LM_0243,18.21,18,0.3,-,GAPDH
D8,LM_0243,17.79,18,0.3,-,GAPDH
E7,LM_0236,19.2,18.31,1.25,-,GAPDH
E8,LM_0236,17.43,18.31,1.25,-,GAPDH
F7,LM_0239,15.78,15.34,0.62,-,GAPDH
F8,LM_0239,14.91,15.34,0.62,-,GAPDH
A9,LM_0239,,,,-,B-actin
A10,LM_0239,,,,-,B-actin
B9,LM_0254,35.18,29.78,7.64,-,B-actin
B10,LM_0254,24.38,29.78,7.64,-,B-actin
C9,LM_0234,23.31,22.97,0.48,-,B-actin
C10,LM_0234,22.63,22.97,0.48,-,B-actin
D9,LM_0243,,,,-,B-actin
D10,LM_0243,21.25,,,-,B-actin
E9,LM_0236,,,,-,B-actin
E10,LM_0236,20.3,,,-,B-actin
F9,LM_0239,19.94,19.11,1.17,-,B-actin
F10,LM_0239,18.28,19.11,1.17,-,B-actin
