;Well;Fluor;Target;Content;Sample;Melt Temperature;Peak Height;Begin Temperature;End Temperature;Well Note
;A01;SYBR;CXCL9;Unkn;MouseCaecum1;79;464,160652080314;67,5;85,5;
;A02;SYBR;IL-10;Unkn;MouseCaecum1;79;414,887838775909;67,5;82,5;
;A03;SYBR;IL-12;Unkn;MouseCaecum1;80;368,429877721972;67,5;87,5;
;A04;SYBR;IL-6;Unkn;MouseCaecum1;76;305,726636491694;67,5;82;
;A05;SYBR;IFN-g;Unkn;MouseCaecum1;79,5;420,146063379302;67,5;85,5;
;A06;SYBR;STAT6;Unkn;MouseCaecum1;82,5;337,708836046896;67,5;91;
;A07;SYBR;TGF-b;Unkn;MouseCaecum1;82,5;381,778514577324;67,5;89,5;
;A08;SYBR;Ppia;Unkn;MouseCaecum1;82,5;373,637305790546;69,5;91,5;
;A09;SYBR;Ppib;Pos Ctrl;MouseCaecum1;82;362,28045493303;68;87;
;A10;SYBR;CDC42;Pos Ctrl;MouseCaecum1;79;276,261366916106;67,5;83,5;
;A11;SYBR;;Neg Ctrl;;None;None;None;None;
;B01;SYBR;CXCL9;Unkn;MouseCaecum1;78;492,369404476046;67,5;84;
;B02;SYBR;IL-10;Unkn;MouseCaecum1;78,5;461,848896944579;73;84,5;
;B03;SYBR;IL-12;Unkn;MouseCaecum1;79,5;433,48803438677;73,5;85;
;B04;SYBR;IL-6;Unkn;MouseCaecum1;76;351,55441958609;67,5;84;
;B05;SYBR;IFN-g;Unkn;MouseCaecum1;79,5;433,174289180837;68,5;84,5;
;B06;SYBR;STAT6;Unkn;MouseCaecum1;82;361,987607022623;67,5;87;
;B07;SYBR;TGF-b;Unkn;MouseCaecum1;82;417,318705327308;67,5;87,5;
;B08;SYBR;Ppia;Unkn;MouseCaecum1;82,5;417,443075586768;68,5;89,5;
;B09;SYBR;Ppib;Pos Ctrl;MouseCaecum1;82;384,079766399117;69;86;
;B10;SYBR;CDC42;Pos Ctrl;MouseCaecum1;79;331,625780449492;68;84;
;B11;SYBR;;Neg Ctrl;;None;None;None;None;
;C01;SYBR;CXCL9;Unkn;MouseCaecum2;77,5;380,949425072498;67,5;85;
;C02;SYBR;IL-10;Unkn;MouseCaecum2;78,5;344,633564697757;73;85;
;C03;SYBR;IL-12;Unkn;MouseCaecum2;79;260,580459505538;67,5;82,5;
;C04;SYBR;IL-6;Unkn;MouseCaecum2;75,5;360,225228503061;67,5;83,5;
;C05;SYBR;IFN-g;Unkn;MouseCaecum2;79;269,041832033142;75,5;91;
;C06;SYBR;STAT6;Unkn;MouseCaecum2;82;361,94953583752;68;87,5;
;C07;SYBR;TGF-b;Unkn;MouseCaecum2;82,5;382,087095525397;77,5;87,5;
;C08;SYBR;Ppia;Unkn;MouseCaecum2;82,5;381,965868575563;69,5;90;
;C09;SYBR;Ppib;Pos Ctrl;MouseCaecum2;82,5;338,933929755779;69;91;
;C10;SYBR;CDC42;Pos Ctrl;MouseCaecum2;79,5;290,6631444173;67,5;91;
;C11;SYBR;;Neg Ctrl;;None;None;None;None;
;D01;SYBR;CXCL9;Unkn;MouseCaecum2;77,5;357,893800430977;67,5;83,5;
;D02;SYBR;IL-10;Unkn;MouseCaecum2;78,5;312,82512427508;71;81,5;
;D03;SYBR;IL-12;Unkn;MouseCaecum2;None;None;None;None;
;D04;SYBR;IL-6;Unkn;MouseCaecum2;75;358,894962463675;67,5;80;
;D05;SYBR;IFN-g;Unkn;MouseCaecum2;78,5;240,09698510386;76;85;
;D06;SYBR;STAT6;Unkn;MouseCaecum2;82;422,586964314199;74,5;86;
;D07;SYBR;TGF-b;Unkn;MouseCaecum2;82,5;416,708253033733;67,5;88;
;D08;SYBR;Ppia;Unkn;MouseCaecum2;82,5;375,646578489153;77;89,5;
;D09;SYBR;Ppib;Pos Ctrl;MouseCaecum2;82,5;288,748046145878;69;86,5;
;D10;SYBR;CDC42;Pos Ctrl;MouseCaecum2;None;None;None;None;
;D11;SYBR;;Neg Ctrl;;None;None;None;None;
;E01;SYBR;CXCL9;Unkn;MouseCaecum3;77,5;422,204746433783;67,5;84;
;E02;SYBR;IL-10;Unkn;MouseCaecum3;78;359,121415285194;72,5;81,5;
;E03;SYBR;IL-12;Unkn;MouseCaecum3;79;240,858922017618;71,5;84,5;
;E04;SYBR;IL-6;Unkn;MouseCaecum3;75;371,73822056762;67,5;79;
;E05;SYBR;IFN-g;Unkn;MouseCaecum3;78,5;556,155855687414;67,5;88;
;E06;SYBR;STAT6;Unkn;MouseCaecum3;82;465,331746087942;72;88;
;E07;SYBR;TGF-b;Unkn;MouseCaecum3;82;462,397160890509;75,5;88;
;E08;SYBR;Ppia;Unkn;MouseCaecum3;82,5;394,199742347051;74,5;87,5;
;E09;SYBR;Ppib;Pos Ctrl;MouseCaecum3;82,5;286,272712390792;68,5;88,5;
;E10;SYBR;CDC42;Pos Ctrl;MouseCaecum3;None;None;None;None;
;E11;SYBR;;Neg Ctrl;;None;None;None;None;
;F01;SYBR;CXCL9;Unkn;MouseCaecum3;77;422,433093332454;67,5;82;
;F02;SYBR;IL-10;Unkn;MouseCaecum3;77,5;306,808257870266;73;81;
;F03;SYBR;IL-12;Unkn;MouseCaecum3;77,5;232,044985802013;73;81,5;
;F04;SYBR;IL-6;Unkn;MouseCaecum3;74;298,532624728872;67,5;78,5;
;F05;SYBR;IFN-g;Unkn;MouseCaecum3;78;634,590702639188;67,5;84,5;
;F06;SYBR;STAT6;Unkn;MouseCaecum3;81,5;474,050757953991;67,5;89,5;
;F07;SYBR;TGF-b;Unkn;MouseCaecum3;82;515,876573415988;74,5;90,5;
;F08;SYBR;Ppia;Unkn;MouseCaecum3;82,5;391,735813547474;67,5;90;
;F09;SYBR;Ppib;Pos Ctrl;MouseCaecum3;82,5;282,315843986348;67,5;88;
;F10;SYBR;CDC42;Pos Ctrl;MouseCaecum3;None;None;None;None;
;F11;SYBR;;Neg Ctrl;;None;None;None;None;
;G01;SYBR;CXCL9;Unkn;MouseCaecum4;77,5;442,863694723144;67,5;84,5;
;G02;SYBR;IL-10;Unkn;MouseCaecum4;78;421,269132444243;71,5;82,5;
;G03;SYBR;IL-12;Unkn;MouseCaecum4;78;308,950488177645;71,5;82;
;G04;SYBR;IL-6;Unkn;MouseCaecum4;74;384,079346419667;67,5;80;
;G05;SYBR;IFN-g;Unkn;MouseCaecum4;78;608,176704268988;67,5;84,5;
;G06;SYBR;STAT6;Unkn;MouseCaecum4;82;453,317610539335;76;92,5;
;G07;SYBR;TGF-b;Unkn;MouseCaecum4;82,5;440,172089317172;67,5;90;
;G08;SYBR;Ppia;Unkn;MouseCaecum4;82,5;359,351235016954;70,5;88,5;
;G09;SYBR;Ppib;Pos Ctrl;MouseCaecum4;82,5;270,082082606134;73,5;91;
;G10;SYBR;CDC42;Pos Ctrl;MouseCaecum4;None;None;None;None;
;G11;SYBR;;Neg Ctrl;;None;None;None;None;
;H01;SYBR;CXCL9;Unkn;MouseCaecum4;77,5;452,346993303418;67,5;82;
;H02;SYBR;IL-10;Unkn;MouseCaecum4;78,5;407,074289732427;73;82;
;H03;SYBR;IL-12;Unkn;MouseCaecum4;79;390,943938817274;72,5;83,5;
;H04;SYBR;IL-6;Unkn;MouseCaecum4;75;423,840305683742;67,5;80;
;H05;SYBR;IFN-g;Unkn;MouseCaecum4;79;586,609956011955;69,5;88;
;H06;SYBR;STAT6;Unkn;MouseCaecum4;82;391,204187677072;67,5;87;
;H07;SYBR;TGF-b;Unkn;MouseCaecum4;82,5;380,460927290357;76,5;89;
;H08;SYBR;Ppia;Unkn;MouseCaecum4;82,5;314,714711519932;78;88;
;H09;SYBR;Ppib;Pos Ctrl;MouseCaecum4;82,5;257,343205547527;78;87;
;H10;SYBR;CDC42;Pos Ctrl;MouseCaecum4;None;None;None;None;
;H11;SYBR;;Neg Ctrl;;None;None;None;None;
