;Well;Fluor;Target;Content;Sample;Melt Temperature;Peak Height;Begin Temperature;End Temperature;Well Note
;A01;SYBR;CXCL9;Unkn;MouseCaecum1;77;266,775620942238;71,5;82,5;
;A02;SYBR;IL-10;Unkn;MouseCaecum1;None;None;None;None;
;A03;SYBR;IL-12;Unkn;MouseCaecum1;None;None;None;None;
;A04;SYBR;IL-6;Unkn;MouseCaecum1;None;None;None;None;
;A05;SYBR;IFN-g;Unkn;MouseCaecum1;78;322,721477934807;67,5;86,5;
;A06;SYBR;STAT6;Unkn;MouseCaecum1;82;307,47001868965;67,5;87,5;
;A07;SYBR;TGF-b;Unkn;MouseCaecum1;83;265,897760993102;79;89;
;A08;SYBR;Ppia;Unkn;MouseCaecum1;None;None;None;None;
;A09;SYBR;Ppib;Pos Ctrl;MouseCaecum1;None;None;None;None;
;A10;SYBR;CDC42;Pos Ctrl;MouseCaecum1;None;None;None;None;
;A11;SYBR;;Neg Ctrl;;None;None;None;None;
;B01;SYBR;CXCL9;Unkn;MouseCaecum1;77,5;336,53320263727;67,5;82,5;
;B02;SYBR;IL-10;Unkn;MouseCaecum1;None;None;None;None;
;B03;SYBR;IL-12;Unkn;MouseCaecum1;None;None;None;None;
;B04;SYBR;IL-6;Unkn;MouseCaecum1;74,5;221,256493948991;67,5;80;
;B05;SYBR;IFN-g;Unkn;MouseCaecum1;78,5;371,630132874389;67,5;90;
;B06;SYBR;STAT6;Unkn;MouseCaecum1;82;343,066617038666;74,5;86,5;
;B07;SYBR;TGF-b;Unkn;MouseCaecum1;83;290,911593771975;70,5;87,5;
;B08;SYBR;Ppia;Unkn;MouseCaecum1;None;None;None;None;
;B09;SYBR;Ppib;Pos Ctrl;MouseCaecum1;None;None;None;None;
;B10;SYBR;CDC42;Pos Ctrl;MouseCaecum1;None;None;None;None;
;B11;SYBR;;Neg Ctrl;;None;None;None;None;
;C01;SYBR;CXCL9;Unkn;MouseCaecum2;77;297,881422399574;67,5;84;
;C02;SYBR;IL-10;Unkn;MouseCaecum2;None;None;None;None;
;C03;SYBR;IL-12;Unkn;MouseCaecum2;None;None;None;None;
