"Pos","Name","Ct SYBR","Ct Mean SYBR","Ct Dev. SYBR","Amount SYBR","Target SYBR"
"A11","IRG6A","-","","","-","negative"
"B11","CXCR3","-","","","-","negative"
"C11","IL-12rb1","-","","","-","negative"
"D11","B-actin","-","","","-","negative"
"E11","GAPDH","-","","","-","negative"
"A1","LM_0336","","","","-","CXCR3"
"A2","LM_0336","","","","-","CXCR3"
"B1","LM_0336",23.86,31.75,11.16,"-","CXCR3"
"B2","LM_0336",39.64,31.75,11.16,"-","CXCR3"
"C1","LM_0337",30.18,31.45,1.80,"-","CXCR3"
"C2","LM_0337",32.73,31.45,1.80,"-","CXCR3"
"D1","LM_0337",24.83,25.12,0.41,"-","CXCR3"
"D2","LM_0337",25.41,25.12,0.41,"-","CXCR3"
"E1","LM_0338",23.56,21.06,3.53,"-","CXCR3"
"E2","LM_0338",18.56,21.06,3.53,"-","CXCR3"
"F1","LM_0338",23.35,24.55,1.70,"-","CXCR3"
"F2","LM_0338",25.76,24.55,1.70,"-","CXCR3"
"G1","LM_0339",26.77,25.45,1.86,"-","CXCR3"
"G2","LM_0339",24.14,25.45,1.86,"-","CXCR3"
"H1","LM_0339",33.18,28.86,6.12,"-","CXCR3"
"H2","LM_0339",24.53,28.86,6.12,"-","CXCR3"
"A3","LM_0336","","","","-","IRG6"
"A4","LM_0336","","","","-","IRG6"
"B3","LM_0336",7.56,22.05,20.49,"-","IRG6"
"B4","LM_0336",36.54,22.05,20.49,"-","IRG6"
"C3","LM_0337",26.92,19.15,10.98,"-","IRG6"
"C4","LM_0337",11.39,19.15,10.98,"-","IRG6"
"D3","LM_0337",21.99,21.91,0.11,"-","IRG6"
"D4","LM_0337",21.84,21.91,0.11,"-","IRG6"
"E3","LM_0338",20.25,20.17,0.11,"-","IRG6"
"E4","LM_0338",20.09,20.17,0.11,"-","IRG6"
"F3","LM_0338",19.98,20.02,0.06,"-","IRG6"
"F4","LM_0338",20.07,20.02,0.06,"-","IRG6"
"G3","LM_0339",21.75,21.77,0.02,"-","IRG6"
"G4","LM_0339",21.78,21.77,0.02,"-","IRG6"
"H3","LM_0339",22.69,23.05,0.51,"-","IRG6"
"H4","LM_0339",23.41,23.05,0.51,"-","IRG6"
"A5","LM_0336","","","","-","IL-12"
"A6","LM_0336","","","","-","IL-12"
"B5","LM_0336","","","","-","IL-12"
"B6","LM_0336","","","","-","IL-12"
"C5","LM_0337",7.79,19.74,16.91,"-","IL-12"
"C6","LM_0337",31.70,19.74,16.91,"-","IL-12"
"D5","LM_0337",28.92,26.80,3.01,"-","IL-12"
"D6","LM_0337",24.67,26.80,3.01,"-","IL-12"
"E5","LM_0338",23.08,"","","-","IL-12"
"E6","LM_0338","","","","-","IL-12"
"F5","LM_0338",18.15,20.09,2.74,"-","IL-12"
"F6","LM_0338",22.03,20.09,2.74,"-","IL-12"
"G5","LM_0339",23.51,23.73,0.32,"-","IL-12"
"G6","LM_0339",23.96,23.73,0.32,"-","IL-12"
"H5","LM_0339",23.23,23.67,0.62,"-","IL-12"
"H6","LM_0339",24.10,23.67,0.62,"-","IL-12"
"A7","LM_0336","","","","-","GAPDH"
"A8","LM_0336","","","","-","GAPDH"
"B7","LM_0336","","","","-","GAPDH"
"B8","LM_0336",32.88,"","","-","GAPDH"
"C7","LM_0337",27.31,23.34,5.62,"-","GAPDH"
"C8","LM_0337",19.37,23.34,5.62,"-","GAPDH"
"D7","LM_0337",17.30,16.91,0.56,"-","GAPDH"
"D8","LM_0337",16.51,16.91,0.56,"-","GAPDH"
"E7","LM_0338",16.19,16.08,0.17,"-","GAPDH"
"E8","LM_0338",15.96,16.08,0.17,"-","GAPDH"
"F7","LM_0338",15.51,15.64,0.19,"-","GAPDH"
"F8","LM_0338",15.77,15.64,0.19,"-","GAPDH"
"G7","LM_0339",17.04,17.07,0.03,"-","GAPDH"
"G8","LM_0339",17.09,17.07,0.03,"-","GAPDH"
"H7","LM_0339",17.10,17.48,0.55,"-","GAPDH"
"H8","LM_0339",17.87,17.48,0.55,"-","GAPDH"
"A9","LM_0336",32.59,"","","-","B-actin"
"A10","LM_0336","","","","-","B-actin"
"B9","LM_0336",22.49,22.51,0.04,"-","B-actin"
"B10","LM_0336",22.54,22.51,0.04,"-","B-actin"
"C9","LM_0337",24.75,27.27,3.56,"-","B-actin"
"C10","LM_0337",29.79,27.27,3.56,"-","B-actin"
"D9","LM_0337",21.15,21.06,0.13,"-","B-actin"
"D10","LM_0337",20.97,21.06,0.13,"-","B-actin"
"E9","LM_0338",21.07,20.58,0.69,"-","B-actin"
"E10","LM_0338",20.09,20.58,0.69,"-","B-actin"
"F9","LM_0338",21.18,20.70,0.68,"-","B-actin"
"F10","LM_0338",20.22,20.70,0.68,"-","B-actin"
"G9","LM_0339",21.91,21.64,0.39,"-","B-actin"
"G10","LM_0339",21.36,21.64,0.39,"-","B-actin"
"H9","LM_0339",21.80,21.78,0.04,"-","B-actin"
"H10","LM_0339",21.75,21.78,0.04,"-","B-actin"

"Main Assay","Analysis Parameters"
"Type of Application","Quantification"
"Dye(s)","SYBR"
"Inverted Data","OFF"
"Threshold setting","Noiseband"
"Threshold level",254
"Baseline setting","Automatic"
"Baseline range (from cycle no. ... to)","n/a"
"Drift Correction","OFF"

"Subassay CXCR3","Analysis Parameters"
"Type of Application","Quantification"
"Dye(s)","SYBR"
"Inverted Data","OFF"
"Threshold setting","Noiseband"
"Threshold level",547
"Baseline setting","Automatic"
"Baseline range (from cycle no. ... to)","n/a"
"Drift Correction","OFF"

"Subassay IRG6","Analysis Parameters"
"Type of Application","Quantification"
"Dye(s)","SYBR"
"Inverted Data","OFF"
"Threshold setting","Noiseband"
"Threshold level",383
"Baseline setting","Automatic"
"Baseline range (from cycle no. ... to)","n/a"
"Drift Correction","OFF"

"Subassay IL-12","Analysis Parameters"
"Type of Application","Quantification"
"Dye(s)","SYBR"
"Inverted Data","OFF"
"Threshold setting","Noiseband"
"Threshold level",507
"Baseline setting","Automatic"
"Baseline range (from cycle no. ... to)","n/a"
"Drift Correction","OFF"

"Subassay GAPDH","Analysis Parameters"
"Type of Application","Quantification"
"Dye(s)","SYBR"
"Inverted Data","OFF"
"Threshold setting","Noiseband"
"Threshold level",501
"Baseline setting","Automatic"
"Baseline range (from cycle no. ... to)","n/a"
"Drift Correction","OFF"

"Subassay B-actin","Analysis Parameters"
"Type of Application","Quantification"
"Dye(s)","SYBR"
"Inverted Data","OFF"
"Threshold setting","Noiseband"
"Threshold level",694
"Baseline setting","Automatic"
"Baseline range (from cycle no. ... to)","n/a"
"Drift Correction","OFF"
