Caecum,,,,,,,primers
dpi3,dpi5,dpi7,dpi9,dpi11,,,CXCL9
26,22,24,23,25,,,Mus MyDD 88
39,29,29,28,27,,,Mus SOCS1
40,50,37,30,31,,,Mus TGF-β
41,55,42,33,32,,,Mus TNF (?)
44,57,43,35,34,,,Mm IDO1
51,61,46,36,45,,,Mus IL-10
57,64,54,38,48,,,Mus IL-12b
63,68,59,54,49,,,Mus IFN-γ
67,70,62,56,53,,,Mus IL-6
76,77,65,58,71,,,Mus GAPDH
81,82,74,60,72,,,Eim qCOI
86,83,75,66,78,,,GAPDH
90,88,79,73,87,,,Ms gDNA SHH
95,93,84,80,,,,Ppia
,,85,89,,,,Ppib
,,94,91,,,,IFN-γ
,,,,,,,ms DNA CDC42
Spleen,,,,,,,Eim COI qX
dpi3,dpi5,dpi7,dpi9,dpi11,,,
26,22,24,23,27,,,
39,29,29,28,30,,,
40,47,37,30,31,,,
41,50,42,33,34,,,
44,55,43,36,48,,,
51,61,46,38,49,,,
57,64,59,45,53,,,
63,68,62,54,71,,,
69,70,65,56,72,,,
69,77,74,58,78,,,
76,82,75,60,87,,,
81,83,79,66,,,,
86,88,84,73,,,,
90,93,85,80,,,,
95,,94,89,,,,
,,,91,,,,
