HU_freezer_contents,,,,,,,
Mesenteric lymph nodes,,,,,,,total samples
dpi3,dpi5,dpi7,dpi9,dpi11,,,131
26,29,24,23,25,,,
41,47,29,28,27,,,
44,55,42,30,31,,,
51,61,43,33,32,,,
63,64,46,35,45,,missing,doubles
67,68,59,54,48,,21,29
69,77,75,56,49,,34,56
76,82,79,56,53,,36,
81,83,84,66,71,,52,
86,88,85,73,72,,65,
90,93,94,80,78,,87,
95,,,89,,,92,
,,,91,,,,
,,,,,,,
Caecum,,,,,,,
dpi3,dpi5,dpi7,dpi9,dpi11,,,
26,29,24,23,25,,,
41,55,29,28,27,,,primers
44,61,42,30,31,,,CXCL9
51,64,43,33,32,,,Mus MyDD 88
63,68,46,35,45,,,Mus SOCS1
67,77,54,54,48,,,Mus TGF-β
76,82,59,56,49,,,Mus TNF (?)
81,83,65,66,53,,,Mm IDO1
86,88,75,73,71,,,Mus IL-10
90,93,79,80,72,,,Mus IL-12b
95,,84,89,78,,,Mus IFN-γ
,,85,91,,,,Mus IL-6
,,94,,,,,Mus GAPDH
,,,,,,,Eim qCOI
,,,,,,,GAPDH
,,,,,,,Ms gDNA SHH
,,,,,,,Ppia
,,,,,,,Ppib
,,,,,,,IFN-γ
,,,,,,,ms DNA CDC42
,,,,,,,Eim COI qX
