;Well;Fluor;Target;Content;Sample;Melt Temp
;A01;SYBR;CXCL9;Unkn;LM36;76
;A02;SYBR;IL-10;Unkn;LM36;None
;A03;SYBR;IL-12;Unkn;LM36;84
;A04;SYBR;IL-6;Unkn;LM36;76
;A05;SYBR;IFN-y;Unkn;LM36;81
;A06;SYBR;STAT6;Unkn;LM36;82
;A07;SYBR;TGF-b;Unkn;LM36;82,5
;A08;SYBR;Ppia;Pos Ctrl;LM36;82
;A09;SYBR;Ppip;Pos Ctrl;LM36;82
;A10;SYBR;CDC42;Pos Ctrl;LM36;None
;A11;SYBR;;Neg Ctrl;;None
;B01;SYBR;CXCL9;Unkn;LM36;76
;B02;SYBR;IL-10;Unkn;LM36;None
;B03;SYBR;IL-12;Unkn;LM36;80
;B04;SYBR;IL-6;Unkn;LM36;76
;B05;SYBR;IFN-y;Unkn;LM36;81,5
;B06;SYBR;STAT6;Unkn;LM36;82
;B07;SYBR;TGF-b;Unkn;LM36;82,5
;B08;SYBR;Ppia;Pos Ctrl;LM36;82
;B09;SYBR;Ppip;Pos Ctrl;LM36;82
;B10;SYBR;CDC42;Pos Ctrl;LM36;79
;B11;SYBR;;Neg Ctrl;;None
;C01;SYBR;CXCL9;Unkn;LM37;76
;C02;SYBR;IL-10;Unkn;LM37;None
;C03;SYBR;IL-12;Unkn;LM37;None
;C04;SYBR;IL-6;Unkn;LM37;75,5
;C05;SYBR;IFN-y;Unkn;LM37;80,5
;C06;SYBR;STAT6;Unkn;LM37;None
;C07;SYBR;TGF-b;Unkn;LM37;None
;C08;SYBR;Ppia;Pos Ctrl;LM37;82
;C09;SYBR;Ppip;Pos Ctrl;LM37;82
;C10;SYBR;CDC42;Pos Ctrl;LM37;79
;C11;SYBR;;Neg Ctrl;;None
;D01;SYBR;CXCL9;Unkn;LM37;77,5
;D02;SYBR;IL-10;Unkn;LM37;79,5
;D03;SYBR;IL-12;Unkn;LM37;None
;D04;SYBR;IL-6;Unkn;LM37;76
;D05;SYBR;IFN-y;Unkn;LM37;80
;D06;SYBR;STAT6;Unkn;LM37;81,5
;D07;SYBR;TGF-b;Unkn;LM37;82,5
;D08;SYBR;Ppia;Pos Ctrl;LM37;82
;D09;SYBR;Ppip;Pos Ctrl;LM37;82
;D10;SYBR;CDC42;Pos Ctrl;LM37;79
;D11;SYBR;;Neg Ctrl;;None
;E01;SYBR;CXCL9;Unkn;LM38;79,5
;E02;SYBR;IL-10;Unkn;LM38;79
;E03;SYBR;IL-12;Unkn;LM38;80
;E03;SYBR;IL-12;Unkn;LM38;83,5
;E04;SYBR;IL-6;Unkn;LM38;75,5
;E05;SYBR;IFN-y;Unkn;LM38;82
;E06;SYBR;STAT6;Unkn;LM38;82
;E07;SYBR;TGF-b;Unkn;LM38;82
;E08;SYBR;Ppia;Pos Ctrl;LM38;81,5
;E09;SYBR;Ppip;Pos Ctrl;LM38;None
;E10;SYBR;CDC42;Pos Ctrl;LM38;79
;E11;SYBR;;Neg Ctrl;;None
;F01;SYBR;CXCL9;Unkn;LM38;79
;F02;SYBR;IL-10;Unkn;LM38;79,5
;F03;SYBR;IL-12;Unkn;LM38;84
;F04;SYBR;IL-6;Unkn;LM38;75,5
;F05;SYBR;IFN-y;Unkn;LM38;81
;F06;SYBR;STAT6;Unkn;LM38;81,5
;F07;SYBR;TGF-b;Unkn;LM38;81,5
;F08;SYBR;Ppia;Pos Ctrl;LM38;81,5
;F09;SYBR;Ppip;Pos Ctrl;LM38;81,5
;F10;SYBR;CDC42;Pos Ctrl;LM38;79
;F11;SYBR;;Neg Ctrl;;None
;G01;SYBR;CXCL9;Unkn;LM39;79
;G02;SYBR;IL-10;Unkn;LM39;79,5
;G03;SYBR;IL-12;Unkn;LM39;80
;G04;SYBR;IL-6;Unkn;LM39;76
;G05;SYBR;IFN-y;Unkn;LM39;79,5
;G06;SYBR;STAT6;Unkn;LM39;82
;G07;SYBR;TGF-b;Unkn;LM39;82,5
;G08;SYBR;Ppia;Pos Ctrl;LM39;83
;G09;SYBR;Ppip;Pos Ctrl;LM39;82
;G10;SYBR;CDC42;Pos Ctrl;LM39;79
;G11;SYBR;;Neg Ctrl;;None
;H01;SYBR;CXCL9;Unkn;LM39;78
;H02;SYBR;IL-10;Unkn;LM39;79,5
;H03;SYBR;IL-12;Unkn;LM39;79,5
;H04;SYBR;IL-6;Unkn;LM39;75,5
;H05;SYBR;IFN-y;Unkn;LM39;79,5
;H06;SYBR;STAT6;Unkn;LM39;81,5
;H07;SYBR;TGF-b;Unkn;LM39;82
;H08;SYBR;Ppia;Pos Ctrl;LM39;82
;H09;SYBR;Ppip;Pos Ctrl;LM39;82
;H10;SYBR;CDC42;Pos Ctrl;LM39;78,5
;H11;SYBR;;Neg Ctrl;;None
