,,,,,,,,,,,,,
,Sample,% CD4+,% Foxp3+ in CD4+ (Treg),% Ki-67+ in Foxp3+ (dividing Treg),% RORgt+ in Foxp3+ Treg,"FSC-A, SSC-A subset/single/live/CD4+/Foxp3-,Freq. of Parent",% T-bet+ in CD4+Foxp3- (Th1),% Ki-67+ in CD4+Foxp3-T-bet+ (dividing Th1),% RORgt+ in CD4+Foxp3- (Th17),% RORgt+ in CD4+Foxp3-RORgt+ (dividing Th17),% CD8+,% T-bet+ in CD8+ (activated CD8+),% Ki-67+ in CD8+T-bet+ (dividing activated CD8+)
,1: Anterior LN_60_026.fcs,58.47,3.82,34.86,8.04,96.12,5.06,52.25,1.15,31.7,11.86,10.16,40.97
,2: Anterior LN_62_027.fcs,29.24,8.39,34.95,9.02,91.56,5.48,67.53,2.27,35.18,37.37,18.73,32.05
,3: Anterior LN_63_028.fcs,53.14,8.28,13.65,4.53,91.64,2.52,39.48,0.68,21.64,17.45,8.82,26.4
,4: Anterior LN_65_029.fcs,51.02,4.21,29.25,9.91,95.71,2.4,63.69,0.43,33.06,28.02,3.93,48.39
,5: Anterior LN_69_036.fcs,56,3.71,22.21,12.01,96.21,3.41,38.66,0.86,22.16,7.27,8.22,41.3
,6: Anterior LN_70_030.fcs,55.73,4.09,25.55,7.75,95.9,3.81,51.34,0.76,31.78,14.84,5.48,49.2
,7: Anterior LN_72_040.fcs,56.2,7.15,21.09,4.09,92.59,2.22,35.52,0.48,11.86,11.84,2.58,28.97
,8: Anterior LN_73_049.fcs,56.76,4.62,18.18,8.45,95.22,2.83,19.32,0.59,20.11,16.84,2.32,16.31
,9: Anterior LN_75_041.fcs,46.13,11.94,20.38,4.95,87.68,3.26,37.45,1.08,57.32,24.2,15.26,31.73
,10: Anterior LN_76_039.fcs,50.34,4.78,18.78,4.62,95.14,3.43,25.85,0.67,24.09,10.24,5.07,15.77
,11: Anterior LN_77_046.fcs,54.71,4.31,17.2,6.83,95.56,2.19,22.67,0.57,6.34,21.06,2.37,12.97
,12: Anterior LN_78_050.fcs,54.16,4.46,14.17,2.64,95.44,1.17,26.29,0.39,19.23,26.02,2.21,6.23
,13: Anterior LN_79_031.fcs,51.48,13.08,49.93,12.21,86.79,7.18,71.89,1.29,66.28,22.09,18.95,37.13
,14: Anterior LN_80_037.fcs,62.61,2.29,21.6,13.6,97.69,2.57,44.53,1.07,21.05,17.2,4.47,43.28
,15: Anterior LN_82_042.fcs,48.06,4.79,23.42,4.67,95.14,2.52,26.81,0.47,30.73,8.85,7.02,15.14
,16: Anterior LN_83_043.fcs,50.68,10.26,20.36,5.58,89.59,1.86,29.61,1.07,26.05,27.74,1.56,22.64
