,,,,,,,,,,,,,
,Sample,% CD4+,% Foxp3+ in CD4+ (Treg),% Ki-67+ in Foxp3+ (dividing Treg),% RORgt+ in Foxp3+ Treg,"FSC-A, SSC-A subset/single/live/CD4+/Foxp3-,Freq. of Parent",% T-bet+ in CD4+Foxp3- (Th1),% Ki-67+ in CD4+Foxp3-T-bet+ (dividing Th1),% RORgt+ in CD4+Foxp3- (Th17),% RORgt+ in CD4+Foxp3-RORgt+ (dividing Th17),% CD8+,% T-bet+ in CD8+ (activated CD8+),% Ki-67+ in CD8+T-bet+ (dividing activated CD8+)
,1: Anterior LN_27_028.fcs,50.46,6.69,13.74,9.3,93.29,4.76,64.9,0.79,44.33,15.18,10.38,45.96
,2: Anterior LN_28_029.fcs,48.12,8.14,17.97,7.04,91.84,8.44,71.46,1.16,39.96,13.39,12.87,57.49
,3: Anterior LN_29_042.fcs,47.69,9.12,11.25,5.62,90.88,3.07,25.24,0.88,26.34,15.97,8.66,12.39
,4: Anterior LN_31_030.fcs,41.87,6.01,19.88,7.79,93.96,8,81.56,1.38,78.73,23.71,10.45,55.76
,5: Anterior LN_32_043.fcs,50.39,10.09,9.81,6.04,89.91,3.57,21.74,1.04,27.03,16.49,13.28,9.49
,6: Anterior LN_33_044.fcs,48.96,7.82,9.9,3.68,92.18,2.76,25.6,0.53,32.76,7.51,5.16,17.62
,7: Anterior LN_34_031.fcs,51.56,6.66,21.73,10.01,93.34,7.07,75.83,0.97,69.17,9.4,8.74,52.94
,8: Anterior LN_35_032.fcs,45.84,7.79,12.84,7.35,92.21,8.67,49.02,1.22,33.04,12.71,8.18,56.3
,9: Anterior LN_36_033.fcs,51.48,7.2,15.57,6.92,92.8,6.18,61.95,1.15,65.82,9.76,6.8,39.83
,10: Anterior LN_38_034.fcs,44.21,9.79,13.27,5.67,90.21,7.33,78.42,1.27,49.29,26.35,18.91,40.46
,11: Anterior LN_39_045.fcs,69.09,3.4,11.19,7.68,96.58,1.54,13.86,0.8,34.59,13.48,4.88,6.9
,12: Anterior LN_40_035.fcs,39.79,10.01,10.48,4.37,89.97,6.9,64.36,0.64,40.17,29.95,11.67,39.18
,13: Anterior LN_47_046.fcs,52.27,7.37,7.09,4.63,92.63,2.28,20.21,0.95,29.09,15.85,3.48,7.92
,14: Anterior LN_48_036.fcs,46.8,6.2,15.93,15.36,93.8,5.83,57.12,1.22,40.43,16.34,6.95,56.4
,15: Anterior LN_49_037.fcs,51.05,5.92,14.95,8.92,94.03,4.06,54.22,0.75,35.37,19.4,4.97,48.96
,16: Anterior LN_51_047.fcs,59.68,5.95,10.63,5.3,94.01,1.84,30.09,0.46,16.97,16.94,5.18,13
,17: Anterior LN_54_048.fcs,50.27,6.74,8.6,4.96,93.22,1.41,23.03,0.48,21.27,26.11,5.61,5.73
,18: Anterior LN_55_038.fcs,37.16,9.58,26.85,11.12,90.34,14.73,90.05,4.35,65.6,24.91,23.09,31.11
,19: Anterior LN_56_049.fcs,54.68,6.03,11.33,4.65,93.93,2.14,23.74,1.09,31.11,11.8,5.37,12.85
,20: Anterior LN_57_039.fcs,58.89,5.76,8.08,6.1,94.21,3.15,36.84,0.68,17.56,15.36,6.63,36.23
,21: Anterior LN_58_040.fcs,51.43,9.69,14.8,3.45,90.3,3.86,74.91,0.96,39.34,32.29,14.83,35.53
,22: Anterior LN_59_041.fcs,48.13,7.27,11.06,6.2,92.67,3.86,53.18,1.06,22.7,11.52,11.57,38.36
,23: Anterior LN_61_050.fcs,42.14,10.7,8.83,4.33,89.26,2.08,26.73,0.66,16.83,23.03,6,8.54
,24: Anterior LN_64_051.fcs,50.57,11.21,10.14,3.36,88.79,1.83,25,1.36,32.29,26.83,8.58,11.65
,25: Anterior LN_66_052.fcs,57.89,5.47,10.54,7.07,94.53,1.48,11.56,0.76,39,18.33,2.46,6.26
,26: Anterior LN_68_053.fcs,65.84,4.33,9.92,8.61,95.66,2.11,13.33,1.23,18.23,13.12,6.26,7.67
,27: Anterior LN_71_054.fcs,42.07,9.02,6.94,2.99,90.98,2.15,28.64,0.98,61.74,19.5,4.59,11.13
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,36: Posterior LN_27_001.fcs,39.34,6.08,18.67,17.74,93.92,8.8,77.5,0.99,49.42,13.6,12.62,53.08
,37: Posterior LN_28_002.fcs,44.17,5.87,24.76,16.09,94.1,13.4,78.77,0.99,44.82,14.29,13.54,60.69
,38: Posterior LN_29_015.fcs,64.75,5.18,13.66,13.39,94.81,2.86,14.44,2.38,33.77,4.07,13.17,10.68
,39: Posterior LN_31_003.fcs,39.31,6.89,27.64,17.77,93.05,10.5,80.86,2.03,77.88,26.9,11.76,56.11
,40: Posterior LN_32_016.fcs,54.1,7.3,17.12,22.76,92.7,1.52,33.96,1.08,27.86,18.61,6.35,16.17
,41: Posterior LN_33_017.fcs,44.83,5.96,16.81,10.39,94.04,3.04,25.44,0.86,31.63,7.47,5.63,25
,42: Posterior LN_34_004.fcs,47.38,5.47,27.86,17.89,94.53,6.67,77.2,1.25,62.3,8.73,9.06,58.44
,43: Posterior LN_35_005.fcs,45.64,5.25,21.39,9.94,94.71,10.5,54.72,0.96,48.16,15.28,10.22,55.64
,44: Posterior LN_36_006.fcs,41.18,5.73,26.43,22.16,94.27,7.86,72.77,2.08,64.29,7.92,9.95,51.96
,45: Posterior LN_38_007.fcs,42.44,8.04,12.91,7.98,91.94,8.09,79.62,1.1,62.38,26.66,17.61,36.44
,46: Posterior LN_39_018.fcs,66.93,3.86,17.03,21.02,96.14,1.92,14.76,1.05,31.56,14.32,2.69,11.07
,47: Posterior LN_40_008.fcs,35.08,8.08,30.55,14.15,91.9,11.3,64.38,0.97,59.65,32.28,15.25,37.85
,48: Posterior LN_47_019.fcs,54.23,6.42,8.61,13.4,93.57,2.73,18.17,0.94,28.54,20.31,3.43,9.5
,49: Posterior LN_48_009.fcs,39.38,6.04,27.84,35.6,93.93,9.41,64.44,1.61,50.22,15.77,8.68,64.11
,50: Posterior LN_49_010.fcs,43.63,7.01,18.6,17.71,92.99,5.62,55.05,1.19,35.18,19.07,4.89,39.52
,51: Posterior LN_51_020.fcs,63.37,5.35,14.79,14.02,94.65,1.91,29.06,0.61,25.34,17.22,4.33,17.82
,52: Posterior LN_54_021.fcs,52.68,6.64,15.62,10.11,93.36,1.5,19.84,0.62,24.57,30.61,5.67,6.94
,53: Posterior LN_55_011.fcs,35.15,8.17,21.37,6.82,91.69,8.35,91.51,3.75,69.96,23.44,17.91,27.62
,54: Posterior LN_56_022.fcs,54.47,4.19,14.68,13.61,95.81,1.53,20.86,1.06,30.67,11.02,3.54,12.5
,55: Posterior LN_57_012.fcs,58.95,4.39,25.07,24.46,95.6,5.74,59.57,0.91,39.15,20.25,8.63,43.63
,56: Posterior LN_58_013.fcs,48.42,6.14,16.79,5.11,93.82,3.56,76.53,0.57,54.1,34.95,11.94,31.2
,57: Posterior LN_59_014.fcs,38.41,7.04,21.67,14.7,92.92,7.11,77.67,1.28,35.84,9.61,11.29,56.35
,58: Posterior LN_61_023.fcs,56.56,7.33,7.69,4.41,92.64,0.99,18.6,0.5,21.63,30.3,3.48,6.58
,59: Posterior LN_64_024.fcs,57.96,7.74,10.96,5.08,92.26,1.02,19.15,0.78,31.04,28.93,4.65,10.17
,60: Posterior LN_66_025.fcs,55.67,4.2,23.13,18.94,95.8,1.99,12.26,1.48,61.14,17.71,2.27,7.37
,61: Posterior LN_68_026.fcs,69.02,3.47,16.08,16.83,96.5,1.6,12.74,1.65,20.01,16.16,3.27,7.81
,62: Posterior LN_71_027.fcs,43.65,7.91,9.51,17.1,92.09,1.41,33.65,1.24,64.73,22.21,3.12,9.13
,Mean,49.91,6.85,15.75,10.88,93.13,4.85,47.54,1.16,41.01,18.39,8.53,29.43
,StdDev,8.65,1.84,6.31,6.73,1.84,3.47,27.63,0.69,17.02,7.43,4.72,19.78
