,,,,
,Sample,% IFN-g+ in CD4+,% IL-17A+ in CD4+,% IFN-g+ in CD8+
,1: Anterior LN_27_028.fcs,3.37,0.35,20.89
,2: Anterior LN_28_029.fcs,5.13,0.28,22.26
,3: Anterior LN_29_042.fcs,2.7,0.59,38.9
,4: Anterior LN_31_030.fcs,7.54,0.81,35.28
,5: Anterior LN_32_043.fcs,2.19,0.3,16.82
,6: Anterior LN_33_044.fcs,2.75,0.22,20.1
,7: Anterior LN_34_031.fcs,7.41,0.18,26.46
,8: Anterior LN_35_032.fcs,8.22,0.34,27.15
,9: Anterior LN_36_033.fcs,11.39,0.51,51.56
,10: Anterior LN_38_034.fcs,3.76,0.15,27.62
,11: Anterior LN_39_045.fcs,1.22,0.27,13.46
,12: Anterior LN_40_035.fcs,6.79,0.2,22.77
,13: Anterior LN_47_046.fcs,1.43,0.12,12.29
,14: Anterior LN_48_036.fcs,6.7,0.77,25.08
,15: Anterior LN_49_037.fcs,4.06,0.48,21.27
,16: Anterior LN_51_047.fcs,1.67,0.36,5.94
,17: Anterior LN_54_048.fcs,1.16,0.28,12.72
,18: Anterior LN_55_038.fcs,3.76,1.11,21.56
,19: Anterior LN_56_049.fcs,2.56,0.54,24.28
,20: Anterior LN_57_039.fcs,4.19,0.27,23.75
,21: Anterior LN_58_040.fcs,0.82,0.43,10.89
,22: Anterior LN_59_041.fcs,2,0.34,22.61
,23: Anterior LN_61_050.fcs,2.31,0.3,17.56
,24: Anterior LN_64_051.fcs,0.97,0.57,19.62
,25: Anterior LN_66_052.fcs,1.09,0.17,6.2
,26: Anterior LN_68_053.fcs,1.24,0.46,11.23
,27: Anterior LN_71_054.fcs,1.21,0.33,9.98
,28: Posterior LN_27_001.fcs,6.46,0.48,22.59
,29: Posterior LN_28_002.fcs,13.04,0.49,32.81
,30: Posterior LN_29_015.fcs,3.39,0.56,43.82
,31: Posterior LN_31_003.fcs,10.63,0.89,41.05
,32: Posterior LN_32_016.fcs,1.82,0.2,21.96
,33: Posterior LN_33_017.fcs,2.84,0.32,18.36
,34: Posterior LN_34_004.fcs,9.5,0.41,42.16
,35: Posterior LN_35_005.fcs,9.29,0.22,30.23
,36: Posterior LN_36_006.fcs,14.43,0.71,40.97
,37: Posterior LN_38_007.fcs,5.42,0.52,27.98
,38: Posterior LN_39_018.fcs,2.16,0.5,14.05
,39: Posterior LN_40_008.fcs,12.41,1.08,38.24
,40: Posterior LN_47_019.fcs,2.47,0.21,14.69
,41: Posterior LN_48_009.fcs,10.06,1.28,34.01
,42: Posterior LN_49_010.fcs,4.65,0.98,26.18
,43: Posterior LN_51_020.fcs,1.95,0.4,17.71
,44: Posterior LN_54_021.fcs,2.14,0.26,19.48
,45: Posterior LN_55_011.fcs,2.72,1.04,32.66
,46: Posterior LN_56_022.fcs,2.6,0.42,20.84
,47: Posterior LN_57_012.fcs,5.5,0.57,29.91
,48: Posterior LN_58_013.fcs,2.66,0.6,21.86
,49: Posterior LN_59_014.fcs,4.83,0.66,30.92
,50: Posterior LN_61_023.fcs,1.21,0.2,11.69
,51: Posterior LN_64_024.fcs,1.25,0.22,21.51
,52: Posterior LN_66_025.fcs,1.17,0.6,10.47
,53: Posterior LN_68_026.fcs,2.41,0.59,19.98
,54: Posterior LN_71_027.fcs,1.51,0.37,6.69
,55: unstim ctr_33_056.fcs,0.35,0.08,0.4
,56: unstim ctr_57_055.fcs,0.44,0.23,0.91
,57: unstim ctr_66_057.fcs,0.17,0.15,0.27
,58: unstim ctr_71_058.fcs,0.28,0.1,0.3
,Mean,4.09,0.45,21.78
,StdDev,3.56,0.27,11.57
