Locality,Genome,Strain,IDD,Dam,Gen,Sir,IDS,Sir,Gen,Born,Fpar,LS,MM,FF,ID,PIN,Sex,Gen,Wean,BW10,BW20,Clip,Departure,,NOTE
Schweben 2,dom,SCHUNT,SY,5901,36,SCHUNT,SY,5900,36,01/14/2018,2,10,5,5,SY,8170,M,37,1M,6.09,8.51,P2,04/20/2018,isolation 28.2.18,
Schweben 2,dom,SCHUNT,SY,5901,36,SCHUNT,SY,5900,36,01/14/2018,2,10,5,5,SY,8171,M,37,1M,6.05,9.28,P3,04/20/2018,isolation 28.2.18,
Schweben 2,dom,SCHUNT,SY,5901,36,SCHUNT,SY,5900,36,02/08/2018,3,9,6,3,SY,8476,M,37,1M,5.05,8.39,P2,04/20/2018,,
Schweben 2,dom,SCHUNT,SY,5901,36,SCHUNT,SY,5900,36,02/08/2018,3,9,6,3,SY,8477,M,37,1M,5.17,8.62,P3,04/20/2018,,
Schweben 2,dom,SCHUNT,SY,5901,36,SCHUNT,SY,5900,36,02/08/2018,3,9,6,3,SY,8478,M,37,1M,5.03,8.2,P4,04/20/2018,,
Schweben 2,dom,SCHUNT,SY,6901,37,SCHUNT,SY,6900,37,02/08/2018,1,5,3,2,SY,8482,M,38,1M,6.37,9.26,L2,04/20/2018,,
Schweben 2,dom,SCHUNT,SY,6901,37,SCHUNT,SY,6900,37,02/08/2018,1,5,3,2,SY,8483,M,38,1M,6.45,9.59,L3,04/20/2018,,
Schweben 2,dom,SCHUNT,SY,5901,36,SCHUNT,SY,5900,36,21/12/17,1,6,4,2,SY,7518,F,37,1M,5.12,7.83,P4,04/20/2018,,DOB changed to 21.12.17
Schweben 2,dom,SCHUNT,SY,5901,36,SCHUNT,SY,5900,36,01/14/2018,2,10,5,5,SY,8174,F,37,1F,5.6,9.3,L3,04/20/2018,isolation 7.3.18,
Schweben 2,dom,SCHUNT,SY,5901,36,SCHUNT,SY,5900,36,01/14/2018,2,10,5,5,SY,8175,F,37,1F,5.78,8.91,L4,04/20/2018,isolation 7.3.18,
Schweben 2,dom,SCHUNT,SY,5901,36,SCHUNT,SY,5900,36,02/08/2018,3,9,6,3,SY,8479,F,37,1F,5.13,8.31,P5,04/20/2018,,
Schweben 2,dom,SCHUNT,SY,5901,36,SCHUNT,SY,5900,36,02/08/2018,3,9,6,3,SY,8480,F,37,1F,5.38,8.46,L2,04/20/2018,,
Schweben 2,dom,SCHUNT,SY,5901,36,SCHUNT,SY,5900,36,02/08/2018,3,9,6,3,SY,8481,F,37,1F,5.32,8.65,L3,04/20/2018,,
Schweben 2,dom,SCHUNT,SY,6901,37,SCHUNT,SY,6900,37,02/08/2018,1,5,3,2,SY,8486,F,38,1F,6.2,8.77,P5,04/20/2018,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Straas2,dom,STRA,SY,3007,54,STRA,SY,3006,54,29/1/18,4,6,2,4,EX,524,M,55,1M,6.84,11.33,L2,04/20/2018,,
Straas2,dom,STRA,SY,3007,54,STRA,SY,3006,54,29/1/18,4,6,2,4,EX,525,M,55,1M,6.88,10.93,L3,04/20/2018,,
Straas2,dom,STRA,SY,5825,55,STRA,SY,5822,55,15/1/18,2,9,5,2,SY,8246,M,56,1M,5.96,11.23,P2,04/20/2018,,
Straas2,dom,STRA,SY,5825,55,STRA,SY,5822,55,15/1/18,2,9,5,2,SY,8247,M,56,1M,6.26,11.1,P3,04/20/2018,,
Straas2,dom,STRA,SY,5825,55,STRA,SY,5822,55,15/1/18,2,9,5,2,SY,8248,M,56,1M,5.77,10.09,P4,04/20/2018,,
Straas2,dom,STRA,SY,5825,55,STRA,SY,5822,55,15/1/18,2,9,5,2,SY,8249,M,56,1M,5.88,11.01,L2,04/20/2018,,
Straas2,dom,STRA,SY,6347,55,STRA,SY,6343,55,02/23/2018,1,9,4,5,SY,9339,M,56,1M,6.35,10.99,L2,04/20/2018,,
Straas2,dom,STRA,SY,3007,54,STRA,SY,3006,54,29/1/18,4,6,2,4,EX,526,F,55,1M,7.21,11.33,P2,04/20/2018,,
Straas2,dom,STRA,SY,3007,54,STRA,SY,3006,54,29/1/18,4,6,2,4,EX,527,F,55,1F,7.32,11.47,P3,04/20/2018,,
Straas2,dom,STRA,SY,3007,54,STRA,SY,3006,54,29/1/18,4,6,2,4,EX,528,F,55,1F,6.87,11.67,P4,04/20/2018,,
Straas2,dom,STRA,SY,3007,54,STRA,SY,3006,54,29/1/18,4,6,2,4,EX,529,F,55,1F,6.22,10.85,P5,04/20/2018,,
Straas2,dom,STRA,SY,4494,55,STRA,SY,4490,55,01/12/2018,1,5,1,4,SY,8112,F,56,1F,6.49,10.28,L3,04/20/2018,isolation 7.3.18,
Straas2,dom,STRA,SY,4494,55,STRA,SY,4490,55,01/12/2018,1,5,1,4,SY,8114,F,56,1F,6.55,10.25,P2,04/20/2018,isolation 7.3.18,
Straas2,dom,STRA,SY,4494,55,STRA,SY,4490,55,01/12/2018,1,5,1,4,SY,8115,F,56,1F,6.64,8.21,P3,04/20/2018,isolation 7.3.18,
,,,,,,,,,,,,,,,,,,,,,,,,,
Buskovice,mus,BUSNA,SY,6612,61,BUSNA,SY,6610,61,16/1/18,1,9,5,4,SY,8277,M,61,1M,2.72,6.95,P2,04/20/2018,isolation 28.2.18,"was 8280, is 8277"
Buskovice,mus,BUSNA,SY,6612,61,BUSNA,SY,6610,61,16/1/18,1,9,5,4,SY,8278,M,61,1M,2.53,7.02,L3,04/20/2018,isolation 28.2.18,"was 8281, is 8278"
Buskovice,mus,BUSNA,SY,7196,60,BUSNA,SY,7192,60,14/2/18,1,3,2,0,SY,8612,M,61,1M,5.75,7.89,P2,04/20/2018,,
Buskovice,mus,BUSNA,SY,7196,60,BUSNA,SY,7192,60,14/2/18,1,3,2,0,SY,8613,M,61,1M,5.98,8.12,P3,04/20/2018,,
Buskovice,mus,BUSNA,SY,5146,59,BUSNA,SY,5144,59,03/06/2018,6,6,2,3,SY,9616,M,60,1M,5.11,9.77,L2,04/20/2018,,
Buskovice,mus,BUSNA,SY,5146,59,BUSNA,SY,5144,59,03/06/2018,6,6,2,3,SY,9617,M,60,1M,5.32,9.22,L3,04/20/2018,,
Buskovice,mus,BUSNA,SY,8280,62,BUSNA,SY,8281,62,03/26/2018,1,4,0,4,SX,144,F,63,1F,5.11,7.83,L3,04/20/2018,,"was SY144, is SX144"
Buskovice,mus,BUSNA,SY,8280,62,BUSNA,SY,8281,62,03/26/2018,1,4,0,4,SX,145,F,63,1F,5.14,7.63,L4,04/20/2018,,"was SY143, is SX145"
