;Well;Fluor;Target;Content;Sample;Melt Temperature;Peak Height;Begin Temperature;End Temperature;Well Note
;A01;SYBR;CXCL9;Unkn;MouseCaecum1;77,5;273,274891699935;67,5;85;
;A02;SYBR;IL-10;Unkn;MouseCaecum1;None;None;None;None;
;A03;SYBR;IL-12;Unkn;MouseCaecum1;83;174,743070933582;81;86,5;
;A04;SYBR;IL-6;Unkn;MouseCaecum1;75;300,058817642095;67,5;79,5;
;A05;SYBR;IFN-g;Unkn;MouseCaecum1;80;226,034770755756;70;89,5;
;A06;SYBR;STAT6;Unkn;MouseCaecum1;82,5;288,090534680541;69,5;91,5;
;A07;SYBR;TGF-b;Unkn;MouseCaecum1;None;None;None;None;
;A08;SYBR;Ppia;Unkn;MouseCaecum1;None;None;None;None;
;A09;SYBR;Ppib;Pos Ctrl;MouseCaecum1;None;None;None;None;
;A10;SYBR;CDC42;Pos Ctrl;MouseCaecum1;None;None;None;None;
;A11;SYBR;;Neg Ctrl;;None;None;None;None;
;B01;SYBR;CXCL9;Unkn;MouseCaecum1;77,5;302,912882672879;67,5;85,5;
;B02;SYBR;IL-10;Unkn;MouseCaecum1;None;None;None;None;
;B03;SYBR;IL-12;Unkn;MouseCaecum1;83;179,168811452977;80,5;88,5;
;B04;SYBR;IL-6;Unkn;MouseCaecum1;75;318,222607551374;67,5;80;
;B05;SYBR;IFN-g;Unkn;MouseCaecum1;79,5;234,997688550877;68,5;88;
;B06;SYBR;STAT6;Unkn;MouseCaecum1;82;401,451016617794;69;88;
;B07;SYBR;TGF-b;Unkn;MouseCaecum1;82,5;220,824683151281;71;90,5;
;B08;SYBR;Ppia;Unkn;MouseCaecum1;82;214,434357771635;72,5;88,5;
;B09;SYBR;Ppib;Pos Ctrl;MouseCaecum1;None;None;None;None;
;B10;SYBR;CDC42;Pos Ctrl;MouseCaecum1;None;None;None;None;
;B11;SYBR;;Neg Ctrl;;None;None;None;None;
;C01;SYBR;CXCL9;Unkn;MouseCaecum2;None;None;None;None;
;C02;SYBR;IL-10;Unkn;MouseCaecum2;None;None;None;None;
;C03;SYBR;IL-12;Unkn;MouseCaecum2;None;None;None;None;
;C04;SYBR;IL-6;Unkn;MouseCaecum2;75;234,423742376989;67,5;81;
;C05;SYBR;IFN-g;Unkn;MouseCaecum2;78,5;260,427463936942;73;83;
;C06;SYBR;STAT6;Unkn;MouseCaecum2;82;291,284190217647;67,5;88;
;C07;SYBR;TGF-b;Unkn;MouseCaecum2;82,5;333,294477964241;74,5;86,5;
;C08;SYBR;Ppia;Unkn;MouseCaecum2;82,5;288,203880692743;74,5;87,5;
;C09;SYBR;Ppib;Pos Ctrl;MouseCaecum2;82,5;215,804035038717;70,5;88;
;C10;SYBR;CDC42;Pos Ctrl;MouseCaecum2;79,5;178,348296574411;70,5;85,5;
;C11;SYBR;;Neg Ctrl;;None;None;None;None;
;D01;SYBR;CXCL9;Unkn;MouseCaecum2;78;318,547772314778;67,5;83;
;D02;SYBR;IL-10;Unkn;MouseCaecum2;None;None;None;None;
;D03;SYBR;IL-12;Unkn;MouseCaecum2;None;None;None;None;
;D04;SYBR;IL-6;Unkn;MouseCaecum2;75,5;266,745342716767;67,5;79,5;
;D05;SYBR;IFN-g;Unkn;MouseCaecum2;None;None;None;None;
;D06;SYBR;STAT6;Unkn;MouseCaecum2;82;288,518470907019;67,5;85,5;
