;Well;Fluor;Target;Content;Sample;Melt Temperature;Peak Height;Begin Temperature;End Temperature;Well Note
;A01;SYBR;CXCL9;Unkn;MouseCaecum1;78,5;519,721071813104;67,5;87;
;A02;SYBR;IL-10;Unkn;MouseCaecum1;79,5;482,990089846;67,5;88;
;A03;SYBR;IL-12;Unkn;MouseCaecum1;80;301,022408716045;67,5;83;
;A04;SYBR;IL-6;Unkn;MouseCaecum1;76,5;325,409227254239;67,5;81,5;
;A05;SYBR;IFN-g;Unkn;MouseCaecum1;79,5;427,793825296371;67,5;86,5;
;A06;SYBR;STAT6;Unkn;MouseCaecum1;82,5;353,89587541782;67,5;87,5;
;A07;SYBR;TGF-b;Unkn;MouseCaecum1;82,5;398,971143477314;67,5;91,5;
;A08;SYBR;Ppia;Unkn;MouseCaecum1;82,5;396,871161585041;67,5;91;
;A09;SYBR;Ppib;Pos Ctrl;MouseCaecum1;82,5;378,828259476982;67,5;87,5;
;A10;SYBR;CDC42;Pos Ctrl;MouseCaecum1;79,5;288,29111953313;67,5;90;
;A11;SYBR;;Neg Ctrl;;None;None;None;None;
;B01;SYBR;CXCL9;Unkn;MouseCaecum1;78;515,897027730509;67,5;84,5;
;B02;SYBR;IL-10;Unkn;MouseCaecum1;79;524,511849658569;67,5;86;
;B03;SYBR;IL-12;Unkn;MouseCaecum1;80;388,783743028168;74;83,5;
;B04;SYBR;IL-6;Unkn;MouseCaecum1;76;374,840358533908;67,5;83;
;B05;SYBR;IFN-g;Unkn;MouseCaecum1;79,5;435,822804655138;67,5;90;
;B06;SYBR;STAT6;Unkn;MouseCaecum1;82,5;388,409301650617;74;91;
;B07;SYBR;TGF-b;Unkn;MouseCaecum1;82,5;455,38438085265;69;91,5;
;B08;SYBR;Ppia;Unkn;MouseCaecum1;82,5;447,825365938979;76;91;
;B09;SYBR;Ppib;Pos Ctrl;MouseCaecum1;82;415,491716610941;68;92;
;B10;SYBR;CDC42;Pos Ctrl;MouseCaecum1;79,5;357,745710625159;67,5;85,5;
;B11;SYBR;;Neg Ctrl;;None;None;None;None;
;C01;SYBR;CXCL9;Unkn;MouseCaecum2;78;448,307247097272;72;85,5;
;C02;SYBR;IL-10;Unkn;MouseCaecum2;79;342,164590576973;74,5;82;
;C03;SYBR;IL-12;Unkn;MouseCaecum2;80;222,70417480164;67,5;82;
;C04;SYBR;IL-6;Unkn;MouseCaecum2;76;396,971294318096;67,5;83;
;C05;SYBR;IFN-g;Unkn;MouseCaecum2;82;285,43575881556;69;91;
;C06;SYBR;STAT6;Unkn;MouseCaecum2;82,5;391,566635890324;69;88;
;C07;SYBR;TGF-b;Unkn;MouseCaecum2;82,5;400,7804129854;77;92;
;C08;SYBR;Ppia;Unkn;MouseCaecum2;82,5;361,872511058627;69,5;87;
;C09;SYBR;Ppib;Pos Ctrl;MouseCaecum2;82,5;338,843122883309;67,5;90,5;
;C10;SYBR;CDC42;Pos Ctrl;MouseCaecum2;79,5;286,972732502064;68;84,5;
;C11;SYBR;;Neg Ctrl;;None;None;None;None;
;D01;SYBR;CXCL9;Unkn;MouseCaecum2;78;448,519398241087;67,5;88;
;D02;SYBR;IL-10;Unkn;MouseCaecum2;79;253,223285849001;73;82,5;
;D03;SYBR;IL-12;Unkn;MouseCaecum2;79,5;252,476234505877;67,5;82;
;D04;SYBR;IL-6;Unkn;MouseCaecum2;76;426,630459292012;67,5;82,5;
;D05;SYBR;IFN-g;Unkn;MouseCaecum2;73;191,382773708635;68;76,5;
;D06;SYBR;STAT6;Unkn;MouseCaecum2;82,5;403,408828196792;76;90;
;D07;SYBR;TGF-b;Unkn;MouseCaecum2;82,5;422,61834921966;68,5;87,5;
;D08;SYBR;Ppia;Unkn;MouseCaecum2;82,5;368,970008210222;68;88;
;D09;SYBR;Ppib;Pos Ctrl;MouseCaecum2;82,5;329,916236667989;68;90;
;D10;SYBR;CDC42;Pos Ctrl;MouseCaecum2;79,5;296,655522052184;68;86;
;D11;SYBR;;Neg Ctrl;;None;None;None;None;
;E01;SYBR;CXCL9;Unkn;MouseCaecum3;78;388,161657005344;67,5;84;
;E02;SYBR;IL-10;Unkn;MouseCaecum3;79;273,674167482756;71;87,5;
;E03;SYBR;IL-12;Unkn;MouseCaecum3;79,5;203,108893841582;76,5;81,5;
;E03;SYBR;IL-12;Unkn;MouseCaecum3;84;211,371505621754;81,5;88;
;E04;SYBR;IL-6;Unkn;MouseCaecum3;75,5;443,805849556141;67,5;82;
;E05;SYBR;IFN-g;Unkn;MouseCaecum3;80,5;202,027549494861;77,5;86;
;E06;SYBR;STAT6;Unkn;MouseCaecum3;82;469,523191873432;68;90;
;E07;SYBR;TGF-b;Unkn;MouseCaecum3;82,5;421,927860963614;68,5;90,5;
;E08;SYBR;Ppia;Unkn;MouseCaecum3;82;340,937960317203;70,5;86,5;
;E09;SYBR;Ppib;Pos Ctrl;MouseCaecum3;82,5;315,550357629049;68,5;91;
;E10;SYBR;CDC42;Pos Ctrl;MouseCaecum3;79,5;286,165797067724;71;87;
;E11;SYBR;;Neg Ctrl;;None;None;None;None;
;F01;SYBR;CXCL9;Unkn;MouseCaecum3;78;405,598685302185;67,5;84;
;F02;SYBR;IL-10;Unkn;MouseCaecum3;79,5;277,435717588974;74,5;82,5;
;F03;SYBR;IL-12;Unkn;MouseCaecum3;84;215,987874878157;82,5;87,5;
;F03;SYBR;IL-12;Unkn;MouseCaecum3;80;259,612231227011;67,5;82;
;F04;SYBR;IL-6;Unkn;MouseCaecum3;75,5;446,309919899737;67,5;83,5;
;F05;SYBR;IFN-g;Unkn;MouseCaecum3;79,5;349,336211227791;68;88,5;
;F06;SYBR;STAT6;Unkn;MouseCaecum3;82;457,776311898195;74,5;88,5;
;F07;SYBR;TGF-b;Unkn;MouseCaecum3;82,5;433,847894018;69;90;
;F08;SYBR;Ppia;Unkn;MouseCaecum3;82;351,515422962366;70;93;
;F09;SYBR;Ppib;Pos Ctrl;MouseCaecum3;82,5;350,262407040804;67,5;89;
;F10;SYBR;CDC42;Pos Ctrl;MouseCaecum3;79,5;328,398739670945;67,5;88,5;
;F11;SYBR;;Neg Ctrl;;None;None;None;None;
;G01;SYBR;CXCL9;Unkn;MouseCaecum4;78;448,486830191356;67,5;89,5;
;G02;SYBR;IL-10;Unkn;MouseCaecum4;79;342,962938451976;74,5;84,5;
;G03;SYBR;IL-12;Unkn;MouseCaecum4;79,5;215,735454121946;73,5;88;
;G04;SYBR;IL-6;Unkn;MouseCaecum4;75;381,943873304314;67,5;82,5;
;G05;SYBR;IFN-g;Unkn;MouseCaecum4;79,5;278,745272677248;75,5;88;
;G06;SYBR;STAT6;Unkn;MouseCaecum4;82,5;409,584219104579;77;88;
;G07;SYBR;TGF-b;Unkn;MouseCaecum4;82,5;424,147226108566;76,5;89;
