,,,,
,Sample,% IFN-g+ in CD4+,% IL-17A+ in CD4+,% IFN-g+ in CD8+
,1: Anterior LN_60_026.fcs,1.18,0.34,10.43
,2: Anterior LN_62_027.fcs,2.09,0.66,18.09
,3: Anterior LN_63_028.fcs,1.63,0.61,20.74
,4: Anterior LN_65_029.fcs,0.86,1.04,5.27
,5: Anterior LN_69_036.fcs,1.66,0.53,16.36
,6: Anterior LN_70_030.fcs,2.65,0.65,17.11
,7: Anterior LN_72_040.fcs,0.84,0.7,8.22
,8: Anterior LN_73_049.fcs,1.72,0.2,10.02
,9: Anterior LN_75_041.fcs,1.69,0.85,31.03
,10: Anterior LN_76_039.fcs,3.09,1.61,17.87
,11: Anterior LN_77_046.fcs,0.41,0.51,0.45
,12: Anterior LN_78_050.fcs,0.53,0.42,4.35
,13: Anterior LN_79_031.fcs,1.93,2.93,11.49
,14: Anterior LN_80_037.fcs,0.86,0.36,10.32
,15: Anterior LN_82_042.fcs,1.95,0.99,16.54
,16: Anterior LN_83_043.fcs,0.75,0.96,9.43
,17: Anterior LN_84_032.fcs,0.72,1.07,3.68
,18: Anterior LN_85_033.fcs,1.73,2.17,4.33
,19: Anterior LN_86_045.fcs,0.44,0.63,4.15
,20: Anterior LN_87_034.fcs,1.02,0.83,7.85
,21: Anterior LN_88_047.fcs,0.48,0.49,4.85
,22: Anterior LN_89_048.fcs,0.61,0.2,10.71
,23: Anterior LN_91_035.fcs,3.46,1.19,6.11
,24: Anterior LN_92_044.fcs,0.59,0.54,5.49
,25: Anterior LN_93_051.fcs,0.33,1.16,6.75
,26: Anterior LN_94_038.fcs,2.31,3.46,14.33
,27: Posterior LN_60_001.fcs,4.06,0.86,23.48
,28: Posterior LN_62_002.fcs,4.02,0.26,20.12
,29: Posterior LN_63_003.fcs,4.17,0.91,26.33
,30: Posterior LN_65_004.fcs,3.17,1.41,17.79
,31: Posterior LN_69_011.fcs,9.29,0.4,46.37
,32: Posterior LN_70_005.fcs,7.69,2.17,25.71
,33: Posterior LN_72_015.fcs,1.61,0.54,12.95
,34: Posterior LN_73_024.fcs,2.3,0.72,7.74
,35: Posterior LN_75_016.fcs,4.74,0.87,37.51
,36: Posterior LN_76_014.fcs,4.12,1.02,26.66
,37: Posterior LN_77_021.fcs,0.41,0.26,6.76
,38: Posterior LN_78_025.fcs,1.51,0.53,10.49
,39: Posterior LN_79_006.fcs,2.7,1.75,18.06
,40: Posterior LN_80_012.fcs,3.76,0.84,24.6
,41: Posterior LN_82_017.fcs,3.61,0.43,20.16
,42: Posterior LN_83_018.fcs,0.91,0.53,10.22
,43: Posterior LN_84_007.fcs,1.93,0.63,5.32
,44: Posterior LN_85_008.fcs,1.18,1.04,10.29
,45: Posterior LN_86_020.fcs,0.36,0.23,5.87
,46: Posterior LN_87_009.fcs,2.06,1.98,10.68
,47: Posterior LN_88_022.fcs,0.38,0.18,3.78
,48: Posterior LN_89_023.fcs,1.53,0.16,8.75
,49: Posterior LN_91_010.fcs,4.11,1.67,19.54
,50: Posterior LN_92_019.fcs,0.74,0.55,10.12
,51: Posterior LN_94_013.fcs,2.73,0.62,15.48
,Mean,2.13,0.9,13.74
,StdDev,1.81,0.69,9.25
