;Well;Fluor;Target;Content;Sample;Melt Temperature;Peak Height;Begin Temperature;End Temperature;Well Note
;A01;SYBR;CXCL9;Unkn;MouseCaecum1;79;287,884622059198;68;84,5;
;A02;SYBR;IL-10;Unkn;MouseCaecum1;79,5;320,378660304557;68,5;87,5;
;A03;SYBR;IL-12;Unkn;MouseCaecum1;80,5;275,28359899561;69;88;
;A04;SYBR;IL-6;Unkn;MouseCaecum1;76;233,001422740005;67,5;81;
;A05;SYBR;IFN-g;Unkn;MouseCaecum1;80;272,08426773421;67,5;86;
;A06;SYBR;STAT6;Unkn;MouseCaecum1;82,5;213,542303615782;68;87,5;
;A07;SYBR;TGF-b;Unkn;MouseCaecum1;82,5;244,268688497048;74,5;88,5;
;A08;SYBR;Ppia;Unkn;MouseCaecum1;82,5;261,067100155213;76,5;90;
;A09;SYBR;Ppib;Pos Ctrl;MouseCaecum1;82,5;232,651344771537;69;86;
;A10;SYBR;CDC42;Pos Ctrl;MouseCaecum1;None;None;None;None;
;A11;SYBR;;Neg Ctrl;;None;None;None;None;
;B01;SYBR;CXCL9;Unkn;MouseCaecum1;77,5;325,82448187206;71;84;
;B02;SYBR;IL-10;Unkn;MouseCaecum1;78,5;308,028545900743;72;82;
;B03;SYBR;IL-12;Unkn;MouseCaecum1;79,5;276,981160462888;72;84,5;
;B04;SYBR;IL-6;Unkn;MouseCaecum1;75,5;286,746982419802;67,5;80;
;B05;SYBR;IFN-g;Unkn;MouseCaecum1;79,5;340,454381184721;73,5;86;
;B06;SYBR;STAT6;Unkn;MouseCaecum1;82;230,229753243125;69;86,5;
;B07;SYBR;TGF-b;Unkn;MouseCaecum1;82,5;289,268183852671;70;86,5;
;B08;SYBR;Ppia;Unkn;MouseCaecum1;82,5;278,043564882253;70,5;90;
;B09;SYBR;Ppib;Pos Ctrl;MouseCaecum1;82,5;249,771722249482;77;88;
;B10;SYBR;CDC42;Pos Ctrl;MouseCaecum1;79,5;199,260182789843;70;85;
;B11;SYBR;;Neg Ctrl;;None;None;None;None;
;C01;SYBR;CXCL9;Unkn;MouseCaecum2;78;308,92808802577;71;83;
;C02;SYBR;IL-10;Unkn;MouseCaecum2;79;352,375142564801;71;86,5;
;C03;SYBR;IL-12;Unkn;MouseCaecum2;79,5;173,261814669661;67,5;81,5;
;C04;SYBR;IL-6;Unkn;MouseCaecum2;75,5;300,172938866748;67,5;80;
;C05;SYBR;IFN-g;Unkn;MouseCaecum2;79,5;252,752783097715;68;87,5;
;C06;SYBR;STAT6;Unkn;MouseCaecum2;82;312,429862322742;73;87;
;C07;SYBR;TGF-b;Unkn;MouseCaecum2;82,5;333,31924025898;74,5;90;
;C08;SYBR;Ppia;Unkn;MouseCaecum2;82,5;295,825799684492;75,5;88;
;C09;SYBR;Ppib;Pos Ctrl;MouseCaecum2;82,5;235,70937526782;76;87,5;
;C10;SYBR;CDC42;Pos Ctrl;MouseCaecum2;79,5;197,993918146901;69,5;83,5;
;C11;SYBR;;Neg Ctrl;;None;None;None;None;
;D01;SYBR;CXCL9;Unkn;MouseCaecum2;78;299,396520505375;67,5;85;
;D02;SYBR;IL-10;Unkn;MouseCaecum2;79;331,728926814459;67,5;82,5;
;D03;SYBR;IL-12;Unkn;MouseCaecum2;79,5;162,553281072622;67,5;81,5;
;D03;SYBR;IL-12;Unkn;MouseCaecum2;84;171,301989036647;81,5;87;
;D04;SYBR;IL-6;Unkn;MouseCaecum2;75,5;313,29334665251;67,5;80,5;
;D05;SYBR;IFN-g;Unkn;MouseCaecum2;79,5;259,682380857085;68;88;
;D06;SYBR;STAT6;Unkn;MouseCaecum2;82;326,785471156323;75;87;
;D07;SYBR;TGF-b;Unkn;MouseCaecum2;82,5;348,929028670411;79;88;
;D08;SYBR;Ppia;Unkn;MouseCaecum2;82,5;311,401187123872;74,5;89;
;D09;SYBR;Ppib;Pos Ctrl;MouseCaecum2;82;198,458538782386;70,5;90;
;D10;SYBR;CDC42;Pos Ctrl;MouseCaecum2;79,5;228,999848952727;70,5;86,5;
;D11;SYBR;;Neg Ctrl;;None;None;None;None;
;E01;SYBR;CXCL9;Unkn;MouseCaecum3;78,5;357,585856288589;72;83,5;
;E02;SYBR;IL-10;Unkn;MouseCaecum3;79;252,214733201387;75,5;82,5;
;E03;SYBR;IL-12;Unkn;MouseCaecum3;79,5;266,138632871313;72,5;87;
;E04;SYBR;IL-6;Unkn;MouseCaecum3;75,5;301,925038257035;67,5;80;
;E05;SYBR;IFN-g;Unkn;MouseCaecum3;79,5;391,158124347678;68;87;
;E06;SYBR;STAT6;Unkn;MouseCaecum3;82;281,192627780363;73,5;87;
;E07;SYBR;TGF-b;Unkn;MouseCaecum3;82,5;313,037747705411;75;88,5;
;E08;SYBR;Ppia;Unkn;MouseCaecum3;82,5;292,999149239652;75,5;88,5;
;E09;SYBR;Ppib;Pos Ctrl;MouseCaecum3;82,5;226,456118382354;70;88,5;
;E10;SYBR;CDC42;Pos Ctrl;MouseCaecum3;79,5;204,792261211761;69,5;84,5;
;E11;SYBR;;Neg Ctrl;;None;None;None;None;
;F01;SYBR;CXCL9;Unkn;MouseCaecum3;78,5;371,025359660847;72,5;83,5;
;F02;SYBR;IL-10;Unkn;MouseCaecum3;79,5;320,071482632335;67,5;84;
;F03;SYBR;IL-12;Unkn;MouseCaecum3;80;300,805032604813;67,5;88;
;F04;SYBR;IL-6;Unkn;MouseCaecum3;76;289,606923775261;67,5;83,5;
;F05;SYBR;IFN-g;Unkn;MouseCaecum3;79,5;361,05794701999;70;87;
;F06;SYBR;STAT6;Unkn;MouseCaecum3;82,5;265,31412503873;74,5;87,5;
;F07;SYBR;TGF-b;Unkn;MouseCaecum3;82,5;347,288465564654;74,5;88;
;F08;SYBR;Ppia;Unkn;MouseCaecum3;82,5;326,490288570162;75;87;
;F09;SYBR;Ppib;Pos Ctrl;MouseCaecum3;82;300,055389506577;75;88,5;
;F10;SYBR;CDC42;Pos Ctrl;MouseCaecum3;79,5;274,403422925279;74,5;83,5;
;F11;SYBR;;Neg Ctrl;;None;None;None;None;
;G01;SYBR;CXCL9;Unkn;MouseCaecum4;78,5;438,082774247561;72,5;89;
;G02;SYBR;IL-10;Unkn;MouseCaecum4;79,5;423,25784757668;72;82,5;
;G03;SYBR;IL-12;Unkn;MouseCaecum4;80;313,388841067843;72,5;83,5;
;G04;SYBR;IL-6;Unkn;MouseCaecum4;76;320,62742840721;67,5;85;
;G05;SYBR;IFN-g;Unkn;MouseCaecum4;79,5;410,768041052664;74;84,5;
;G06;SYBR;STAT6;Unkn;MouseCaecum4;82,5;333,475479292148;73,5;88,5;
;G07;SYBR;TGF-b;Unkn;MouseCaecum4;82,5;370,983436190469;74;87,5;
;G08;SYBR;Ppia;Unkn;MouseCaecum4;82,5;377,16116428656;75;91,5;
;G09;SYBR;Ppib;Pos Ctrl;MouseCaecum4;82;363,007061124372;75,5;88,5;
;G10;SYBR;CDC42;Pos Ctrl;MouseCaecum4;79;337,350581947285;68,5;85,5;
;G11;SYBR;;Neg Ctrl;;None;None;None;None;
;H01;SYBR;CXCL9;Unkn;MouseCaecum4;78,5;390,833170058011;67,5;83,5;
;H02;SYBR;IL-10;Unkn;MouseCaecum4;79,5;380,794636482936;74,5;85;
;H03;SYBR;IL-12;Unkn;MouseCaecum4;80,5;309,38443250525;68,5;83,5;
